,ugd
Cr_1,0.00522205335334205
Cr_2,0.011748981224693185
Cr_3,0.027012764541218752
Cr_4,0.042022683293054135
Cr_5,0.0608639996999593
Cr_6,0.08066672028646904
Fe_1,0.00027628859986507983
Fe_2,-0.005333491012031275
Fe_3,-0.014215081715718296
Fe_4,-0.037103742989819916
Fe_5,-0.07019632810215776
Fe_6,-0.09914664929623808
Cd_1,-0.0010388169239525114
Cd_2,-0.0003057671374266412
Cd_3,-0.0014160403502474178
Cd_4,-0.008323248971218791
Cd_5,-0.022787830842716274
Cd_6,-0.02984134676917336
Zn_1,-0.007586568767523566
Zn_2,-0.021044860456241318
Zn_3,-0.030552404457163517
Zn_4,-0.04347985710249305
Zn_5,-0.06283298635058393
Zn_6,-0.08344239219674361
Cu_1,0.014197612251789097
Cu_2,0.02717657719606294
Cu_3,0.03452333136910095
Cu_4,0.03194070808178145
Cu_5,0.02611959246890966
Cu_6,0.01617663914521817
Pb_1,0.01801823490583125
Pb_2,0.042356715159001065
Pb_3,0.06814714204802001
Pb_4,0.08858958841848838
Pb_5,0.10433816584682556
Pb_6,0.1170801113340839
