,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.00631008871430476,,1.0,0.0,-0.00631008871430476
1,Cr__2,-0.007412730892177306,,1.0,1.0,-0.007412730892177306
2,Cr__3,-0.013357915477563716,,1.0,2.0,-0.013357915477563716
3,Cr__4,-0.015398512435529876,,1.0,3.0,-0.015398512435529876
4,Cr__5,-0.0162436627944068,,1.0,4.0,-0.0162436627944068
5,Cr__6,-0.01807183714670297,,1.0,5.0,-0.01807183714670297
6,Fe__1,-0.017456129278547818,,1.0,6.0,-0.017456129278547818
7,Fe__2,-0.02331730824731449,,1.0,7.0,-0.02331730824731449
8,Fe__3,-0.02950477425759513,,1.0,8.0,-0.02950477425759513
9,Fe__4,-0.04141852852951347,,1.0,9.0,-0.04141852852951347
10,Fe__5,-0.05546733737125584,,1.0,10.0,-0.05546733737125584
11,Fe__6,-0.06886753882262278,,1.0,11.0,-0.06886753882262278
12,Cd__1,-0.0014067063687160483,,1.0,12.0,-0.0014067063687160483
13,Cd__2,-0.0016237455095950795,,1.0,13.0,-0.0016237455095950795
14,Cd__3,-0.003594833315854505,,1.0,14.0,-0.003594833315854505
15,Cd__4,-0.0033185201223752147,,1.0,15.0,-0.0033185201223752147
16,Cd__5,-0.006190136083437372,,1.0,16.0,-0.006190136083437372
17,Cd__6,-0.00433891966546375,,1.0,17.0,-0.00433891966546375
18,Zn__1,0.02423791345315437,,1.0,18.0,0.02423791345315437
19,Zn__2,0.02175302861573046,,1.0,19.0,0.02175302861573046
20,Zn__3,0.031806405489475074,,1.0,20.0,0.031806405489475074
21,Zn__4,0.03902222796979282,,1.0,21.0,0.03902222796979282
22,Zn__5,0.04056675285988105,,1.0,22.0,0.04056675285988105
23,Zn__6,0.04295277458519773,,1.0,23.0,0.04295277458519773
24,Cu__1,-0.001153144642294105,,1.0,24.0,-0.001153144642294105
25,Cu__2,-0.005498802312011025,,1.0,25.0,-0.005498802312011025
26,Cu__3,-0.00970695619216928,,1.0,26.0,-0.00970695619216928
27,Cu__4,-0.009939919014945365,,1.0,27.0,-0.009939919014945365
28,Cu__5,-0.008315421535965529,,1.0,28.0,-0.008315421535965529
29,Cu__6,-0.006628031714375044,,1.0,29.0,-0.006628031714375044
30,Pb__1,0.005433871486829924,,1.0,30.0,0.005433871486829924
31,Pb__2,0.010522685926331436,,1.0,31.0,0.010522685926331436
32,Pb__3,0.017472100683142814,,1.0,32.0,0.017472100683142814
33,Pb__4,0.01647934980845875,,1.0,33.0,0.01647934980845875
34,Pb__5,0.018795842906228752,,1.0,34.0,0.018795842906228752
35,Pb__6,0.028369272858829588,,1.0,35.0,0.028369272858829588
