k,name,in_iM,gene_weight,regulator,function,category
7,Zinc - Steady,False,-0.0233303021080792,,,
5,Lead,False,0.018595359083265067,,,
3,Cadmium,False,-0.015028799241408706,,,
13,UC-6,False,-0.0141198377776891,,,
2,UC-3,False,-0.009853561911731958,,,
11,Chromium,False,0.009199661491438749,,,
6,Iron,False,-0.008446767330169677,,,
12,Zinc - Intermediate,False,0.008114831867145306,,,
14,UC-7,False,0.006087409504689276,,,
9,UC-5,False,-0.004119996784440051,,,
4,UC-4,False,0.002072969290893525,,,
8,Zinc - Fast,False,0.002002761054900475,,,
1,UC-2,False,0.0013860786199802533,,,
0,UC-1,False,0.0004958169348537922,,,
10,Copper,False,-0.00024899615556932985,,,
