,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.002604584042997348,,1.0,0.0,0.002604584042997348
1,Cr__2,-0.003793780955432197,,1.0,1.0,-0.003793780955432197
2,Cr__3,-0.0096032811969869,,1.0,2.0,-0.0096032811969869
3,Cr__4,-0.014087279977320719,,1.0,3.0,-0.014087279977320719
4,Cr__5,-0.018221087129559558,,1.0,4.0,-0.018221087129559558
5,Cr__6,-0.027359009152986332,,1.0,5.0,-0.027359009152986332
6,Fe__1,-0.03033085532488714,,1.0,6.0,-0.03033085532488714
7,Fe__2,-0.06149664463701045,,1.0,7.0,-0.06149664463701045
8,Fe__3,-0.07501487780859767,,1.0,8.0,-0.07501487780859767
9,Fe__4,-0.08741005019806627,,1.0,9.0,-0.08741005019806627
10,Fe__5,-0.08890191261807627,,1.0,10.0,-0.08890191261807627
11,Fe__6,-0.08651738721010302,,1.0,11.0,-0.08651738721010302
12,Cd__1,0.0026113984961639285,,1.0,12.0,0.0026113984961639285
13,Cd__2,0.007292353282726344,,1.0,13.0,0.007292353282726344
14,Cd__3,0.014445623626591691,,1.0,14.0,0.014445623626591691
15,Cd__4,0.019264638727833468,,1.0,15.0,0.019264638727833468
16,Cd__5,0.02101743214601666,,1.0,16.0,0.02101743214601666
17,Cd__6,0.026627383424575785,,1.0,17.0,0.026627383424575785
18,Zn__1,0.060489915378119125,,1.0,18.0,0.060489915378119125
19,Zn__2,0.06278461121091762,,1.0,19.0,0.06278461121091762
20,Zn__3,0.03672969768657478,,1.0,20.0,0.03672969768657478
21,Zn__4,0.13845555392739614,,1.0,21.0,0.13845555392739614
22,Zn__5,0.17928988789120587,,1.0,22.0,0.17928988789120587
23,Zn__6,0.21122817213816397,,1.0,23.0,0.21122817213816397
24,Cu__1,0.005447120101849582,,1.0,24.0,0.005447120101849582
25,Cu__2,0.008023551501526815,,1.0,25.0,0.008023551501526815
26,Cu__3,0.014402360411118838,,1.0,26.0,0.014402360411118838
27,Cu__4,0.014945616538367913,,1.0,27.0,0.014945616538367913
28,Cu__5,0.02904907798879897,,1.0,28.0,0.02904907798879897
29,Cu__6,0.032310827379651304,,1.0,29.0,0.032310827379651304
30,Pb__1,-0.008035241729555024,,1.0,30.0,-0.008035241729555024
31,Pb__2,-0.005191021561627265,,1.0,31.0,-0.005191021561627265
32,Pb__3,0.011399354478877893,,1.0,32.0,0.011399354478877893
33,Pb__4,0.009415824910038782,,1.0,33.0,0.009415824910038782
34,Pb__5,0.012961894277494702,,1.0,34.0,0.012961894277494702
35,Pb__6,0.013224793304550566,,1.0,35.0,0.013224793304550566
