,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.0010694672602058457,,1.0,0.0,-0.0010694672602058457
1,Cr__2,-0.001158864610644094,,1.0,1.0,-0.001158864610644094
2,Cr__3,-6.719581273652262e-05,,1.0,2.0,-6.719581273652262e-05
3,Cr__4,0.0026915923625061176,,1.0,3.0,0.0026915923625061176
4,Cr__5,0.006949094568532873,,1.0,4.0,0.006949094568532873
5,Cr__6,0.010326142231400524,,1.0,5.0,0.010326142231400524
6,Fe__1,-0.009691055513825524,,1.0,6.0,-0.009691055513825524
7,Fe__2,-0.03608738977717362,,1.0,7.0,-0.03608738977717362
8,Fe__3,-0.07721836213085585,,1.0,8.0,-0.07721836213085585
9,Fe__4,-0.12989857701865426,,1.0,9.0,-0.12989857701865426
10,Fe__5,-0.1815628233849891,,1.0,10.0,-0.1815628233849891
11,Fe__6,-0.2293151812439993,,1.0,11.0,-0.2293151812439993
12,Cd__1,0.0015663286327092206,,1.0,12.0,0.0015663286327092206
13,Cd__2,0.004150475456283833,,1.0,13.0,0.004150475456283833
14,Cd__3,0.00670618308014507,,1.0,14.0,0.00670618308014507
15,Cd__4,0.008533624083546036,,1.0,15.0,0.008533624083546036
16,Cd__5,0.0071317419924966236,,1.0,16.0,0.0071317419924966236
17,Cd__6,0.009555661029134604,,1.0,17.0,0.009555661029134604
18,Zn__1,-0.017686102397027243,,1.0,18.0,-0.017686102397027243
19,Zn__2,-0.02902715573077094,,1.0,19.0,-0.02902715573077094
20,Zn__3,-0.039696741823324284,,1.0,20.0,-0.039696741823324284
21,Zn__4,-0.04591920866989629,,1.0,21.0,-0.04591920866989629
22,Zn__5,-0.05073843172346122,,1.0,22.0,-0.05073843172346122
23,Zn__6,-0.054878918846681085,,1.0,23.0,-0.054878918846681085
24,Cu__1,0.003114712671313809,,1.0,24.0,0.003114712671313809
25,Cu__2,0.007387717812851781,,1.0,25.0,0.007387717812851781
26,Cu__3,0.011677846377485005,,1.0,26.0,0.011677846377485005
27,Cu__4,0.014929343160700175,,1.0,27.0,0.014929343160700175
28,Cu__5,0.017391360519241953,,1.0,28.0,0.017391360519241953
29,Cu__6,0.020908898882115803,,1.0,29.0,0.020908898882115803
30,Pb__1,0.002835410739828553,,1.0,30.0,0.002835410739828553
31,Pb__2,0.00864898633493332,,1.0,31.0,0.00864898633493332
32,Pb__3,0.014852690488807118,,1.0,32.0,0.014852690488807118
33,Pb__4,0.02098813743485478,,1.0,33.0,0.02098813743485478
34,Pb__5,0.02458207761182939,,1.0,34.0,0.02458207761182939
35,Pb__6,0.028792091952812557,,1.0,35.0,0.028792091952812557
