,wrbA
Cr_1,-0.0010694672602058457
Cr_2,-0.001158864610644094
Cr_3,-6.719581273652262e-05
Cr_4,0.0026915923625061176
Cr_5,0.006949094568532873
Cr_6,0.010326142231400524
Fe_1,-0.009691055513825524
Fe_2,-0.03608738977717362
Fe_3,-0.07721836213085585
Fe_4,-0.12989857701865426
Fe_5,-0.1815628233849891
Fe_6,-0.2293151812439993
Cd_1,0.0015663286327092206
Cd_2,0.004150475456283833
Cd_3,0.00670618308014507
Cd_4,0.008533624083546036
Cd_5,0.0071317419924966236
Cd_6,0.009555661029134604
Zn_1,-0.017686102397027243
Zn_2,-0.02902715573077094
Zn_3,-0.039696741823324284
Zn_4,-0.04591920866989629
Zn_5,-0.05073843172346122
Zn_6,-0.054878918846681085
Cu_1,0.003114712671313809
Cu_2,0.007387717812851781
Cu_3,0.011677846377485005
Cu_4,0.014929343160700175
Cu_5,0.017391360519241953
Cu_6,0.020908898882115803
Pb_1,0.002835410739828553
Pb_2,0.00864898633493332
Pb_3,0.014852690488807118
Pb_4,0.02098813743485478
Pb_5,0.02458207761182939
Pb_6,0.028792091952812557
