,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.0014403781958316193,,1.0,0.0,0.0014403781958316193
1,Cr__2,0.0004169077477743655,,1.0,1.0,0.0004169077477743655
2,Cr__3,0.0009088637478491838,,1.0,2.0,0.0009088637478491838
3,Cr__4,0.007044427775280399,,1.0,3.0,0.007044427775280399
4,Cr__5,0.013751926578568779,,1.0,4.0,0.013751926578568779
5,Cr__6,0.014768005142612431,,1.0,5.0,0.014768005142612431
6,Fe__1,-0.005417446992611264,,1.0,6.0,-0.005417446992611264
7,Fe__2,-0.02306268039871849,,1.0,7.0,-0.02306268039871849
8,Fe__3,-0.04042369937677155,,1.0,8.0,-0.04042369937677155
9,Fe__4,-0.057768736771857176,,1.0,9.0,-0.057768736771857176
10,Fe__5,-0.06626310020087854,,1.0,10.0,-0.06626310020087854
11,Fe__6,-0.0741267722829255,,1.0,11.0,-0.0741267722829255
12,Cd__1,0.002649770266293345,,1.0,12.0,0.002649770266293345
13,Cd__2,0.002572100986316785,,1.0,13.0,0.002572100986316785
14,Cd__3,-0.004985889082361882,,1.0,14.0,-0.004985889082361882
15,Cd__4,-0.019538766876869958,,1.0,15.0,-0.019538766876869958
16,Cd__5,-0.037011766665405996,,1.0,16.0,-0.037011766665405996
17,Cd__6,-0.045796374836539366,,1.0,17.0,-0.045796374836539366
18,Zn__1,0.0009163467980323939,,1.0,18.0,0.0009163467980323939
19,Zn__2,8.21144580738491e-05,,1.0,19.0,8.21144580738491e-05
20,Zn__3,0.006543887548360791,,1.0,20.0,0.006543887548360791
21,Zn__4,0.019532080705761446,,1.0,21.0,0.019532080705761446
22,Zn__5,0.0336175266908803,,1.0,22.0,0.0336175266908803
23,Zn__6,0.04227123202689485,,1.0,23.0,0.04227123202689485
24,Cu__1,0.0020868774149265146,,1.0,24.0,0.0020868774149265146
25,Cu__2,0.007513192720748873,,1.0,25.0,0.007513192720748873
26,Cu__3,0.01386614519255074,,1.0,26.0,0.01386614519255074
27,Cu__4,0.01926522872406421,,1.0,27.0,0.01926522872406421
28,Cu__5,0.02524176275134433,,1.0,28.0,0.02524176275134433
29,Cu__6,0.033530758896300056,,1.0,29.0,0.033530758896300056
30,Pb__1,0.003182962366068021,,1.0,30.0,0.003182962366068021
31,Pb__2,0.008691819182845024,,1.0,31.0,0.008691819182845024
32,Pb__3,0.016734781089726737,,1.0,32.0,0.016734781089726737
33,Pb__4,0.02426332135669354,,1.0,33.0,0.02426332135669354
34,Pb__5,0.03672422523375729,,1.0,34.0,0.03672422523375729
35,Pb__6,0.04737749335975595,,1.0,35.0,0.04737749335975595
