,yahN
Cr_1,0.002588378858662777
Cr_2,0.009025500408844951
Cr_3,0.012190376493135677
Cr_4,0.017346114749921576
Cr_5,0.018487571939702702
Cr_6,0.023155064052891382
Fe_1,-0.008578715294045391
Fe_2,-0.03050717642354116
Fe_3,-0.06281856582578524
Fe_4,-0.09500130620898033
Fe_5,-0.11803342362735228
Fe_6,-0.13578174870416732
Cd_1,-0.001199926632364431
Cd_2,-0.0059739253846180975
Cd_3,-0.01220153718238125
Cd_4,-0.013319619647449049
Cd_5,-0.022999508203948287
Cd_6,-0.027684490452587997
Zn_1,-0.00516225806345721
Zn_2,-0.004718850355503989
Zn_3,-0.002496384960803416
Zn_4,0.012028190953512824
Zn_5,0.023568255690222414
Zn_6,0.03430837473813856
Cu_1,-0.0020539459754758188
Cu_2,0.0001143306112437961
Cu_3,0.007589388456292276
Cu_4,0.010372743957864104
Cu_5,0.01885937286123154
Cu_6,0.02513177016384199
Pb_1,0.0028921272450232946
Pb_2,0.009505376354701264
Pb_3,0.017692429398362224
Pb_4,0.027315920279227614
Pb_5,0.04100789017117502
Pb_6,0.04898348126585912
