,ybjS
Cr_1,-0.025595814018783514
Cr_2,-0.04412172086457858
Cr_3,-0.05502914750433824
Cr_4,-0.059193321339039436
Cr_5,-0.05940483427578274
Cr_6,-0.058977490053160775
Fe_1,-0.024738235377686543
Fe_2,-0.03741641636789085
Fe_3,-0.0485333432668108
Fe_4,-0.04700708795057392
Fe_5,-0.04261642408514102
Fe_6,-0.040106548808964713
Cd_1,-0.004439060063001621
Cd_2,-0.005279642725284152
Cd_3,-0.0033923342074320155
Cd_4,-0.0009392545956579838
Cd_5,-0.00187664979513451
Cd_6,0.0017678449288508914
Zn_1,-0.042019978256780166
Zn_2,-0.0616053488908061
Zn_3,-0.06752211979138148
Zn_4,-0.06254172410681677
Zn_5,-0.0603404096910072
Zn_6,-0.054694923004352185
Cu_1,0.0010737043220764486
Cu_2,0.006335502886045203
Cu_3,0.012394959104155296
Cu_4,0.02157570882298966
Cu_5,0.029221791195484476
Cu_6,0.041505888894160965
Pb_1,0.0106214596832391
Pb_2,0.022386051331555863
Pb_3,0.01792641600214036
Pb_4,0.01731442768221451
Pb_5,0.023737851789596108
Pb_6,0.030490867179553682
