,yceP
Cr_1,0.0033829650396100305
Cr_2,0.010674901545924886
Cr_3,0.019196711970613883
Cr_4,0.030360276427056264
Cr_5,0.03896000887235308
Cr_6,0.04597221882129607
Fe_1,-0.01603290619569412
Fe_2,-0.031494904276086345
Fe_3,-0.042621159311207385
Fe_4,-0.058954000289194786
Fe_5,-0.06383546447923201
Fe_6,-0.06361723138671277
Cd_1,-0.0005965539413276944
Cd_2,0.0017505204269497026
Cd_3,0.00483120704317883
Cd_4,0.00654733693984258
Cd_5,0.0040007292698662645
Cd_6,0.007642807721909835
Zn_1,-0.002610597127499742
Zn_2,0.0006044561676744331
Zn_3,0.023409955519366414
Zn_4,0.044733615307207465
Zn_5,0.06072928512515202
Zn_6,0.06627967401761492
Cu_1,0.0027461673779699035
Cu_2,0.008706220439149677
Cu_3,0.008290685016842402
Cu_4,0.010163462652291205
Cu_5,0.01687695331455627
Cu_6,0.021792927096844432
Pb_1,-0.003091214225017524
Pb_2,0.0015746800531800352
Pb_3,0.01190275893374448
Pb_4,0.02746506777518232
Pb_5,0.041703649376701415
Pb_6,0.0536331482847161
