,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.0010426187208818225,,1.0,0.0,-0.0010426187208818225
1,Cr__2,0.001428041719823442,,1.0,1.0,0.001428041719823442
2,Cr__3,0.011823021003269304,,1.0,2.0,0.011823021003269304
3,Cr__4,0.017965017914727648,,1.0,3.0,0.017965017914727648
4,Cr__5,0.025012390570597343,,1.0,4.0,0.025012390570597343
5,Cr__6,0.029321681550544505,,1.0,5.0,0.029321681550544505
6,Fe__1,-0.005399009493236281,,1.0,6.0,-0.005399009493236281
7,Fe__2,-0.031917897101485126,,1.0,7.0,-0.031917897101485126
8,Fe__3,-0.05886149608760905,,1.0,8.0,-0.05886149608760905
9,Fe__4,-0.10136723360292796,,1.0,9.0,-0.10136723360292796
10,Fe__5,-0.1457883893983992,,1.0,10.0,-0.1457883893983992
11,Fe__6,-0.17846695360678455,,1.0,11.0,-0.17846695360678455
12,Cd__1,0.0013063669303502025,,1.0,12.0,0.0013063669303502025
13,Cd__2,0.006622156261226317,,1.0,13.0,0.006622156261226317
14,Cd__3,0.013253059792398977,,1.0,14.0,0.013253059792398977
15,Cd__4,0.012771944507052341,,1.0,15.0,0.012771944507052341
16,Cd__5,0.0075548947961598546,,1.0,16.0,0.0075548947961598546
17,Cd__6,0.014808981170326932,,1.0,17.0,0.014808981170326932
18,Zn__1,-0.057094945548012366,,1.0,18.0,-0.057094945548012366
19,Zn__2,-0.07479598838207918,,1.0,19.0,-0.07479598838207918
20,Zn__3,-0.06582618128823506,,1.0,20.0,-0.06582618128823506
21,Zn__4,-0.06816405559612877,,1.0,21.0,-0.06816405559612877
22,Zn__5,-0.06814790062448435,,1.0,22.0,-0.06814790062448435
23,Zn__6,-0.036501159587084345,,1.0,23.0,-0.036501159587084345
24,Cu__1,0.009050353996064405,,1.0,24.0,0.009050353996064405
25,Cu__2,0.013111507914636882,,1.0,25.0,0.013111507914636882
26,Cu__3,0.02351948122912406,,1.0,26.0,0.02351948122912406
27,Cu__4,0.02868348906436438,,1.0,27.0,0.02868348906436438
28,Cu__5,0.03423615270840336,,1.0,28.0,0.03423615270840336
29,Cu__6,0.04190648479252487,,1.0,29.0,0.04190648479252487
30,Pb__1,0.006978410638460211,,1.0,30.0,0.006978410638460211
31,Pb__2,0.017627950716345916,,1.0,31.0,0.017627950716345916
32,Pb__3,0.029095758365360706,,1.0,32.0,0.029095758365360706
33,Pb__4,0.04064921215130834,,1.0,33.0,0.04064921215130834
34,Pb__5,0.052431813903512335,,1.0,34.0,0.052431813903512335
35,Pb__6,0.06410062217359694,,1.0,35.0,0.06410062217359694
