k,name,in_iM,gene_weight,regulator,function,category
10,Copper,False,0.021641424484550958,,,
1,UC-2,False,-0.014267972111701966,,,
11,Chromium,False,-0.009760966105386615,,,
13,UC-6,False,-0.007631502295844256,,,
7,Zinc - Steady,False,0.00592684586532414,,,
14,UC-7,False,0.005542454700917006,,,
2,UC-3,False,-0.005099851782433689,,,
3,Cadmium,False,-0.003927166289649904,,,
4,UC-4,False,0.0036819034069776532,,,
5,Lead,False,0.002563087737653405,,,
12,Zinc - Intermediate,False,-0.0019048940536218239,,,
6,Iron,False,-0.0018792290496639906,,,
8,Zinc - Fast,False,-0.0017542577872518448,,,
9,UC-5,False,-0.0013299252205326345,,,
0,UC-1,False,0.00029402097658021376,,,
