k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,0.015602211775258184,,,
7,Zinc - Steady,False,-0.01100769410841167,,,
6,Iron,False,-0.009334066044539213,,,
10,Copper,False,0.009228252610191702,,,
14,UC-7,False,0.004870697325095534,,,
8,Zinc - Fast,False,-0.003520030011422932,,,
12,Zinc - Intermediate,False,0.003502781696460513,,,
11,Chromium,False,-0.0021103950869292023,,,
1,UC-2,False,0.00194689474417828,,,
3,Cadmium,False,-0.0015933942527044565,,,
9,UC-5,False,-0.0015453373061041842,,,
13,UC-6,False,0.001071130372583866,,,
2,UC-3,False,-0.0005558700376423075,,,
0,UC-1,False,-0.00015038049969007258,,,
4,UC-4,False,-0.0001266072470752988,,,
