,ydiU
Cr_1,-0.0007684236544251178
Cr_2,-0.0016783627163457714
Cr_3,0.002892083528286559
Cr_4,0.0050137461081473
Cr_5,0.0063168423707969466
Cr_6,0.0073756431046137425
Fe_1,0.0026483899876251853
Fe_2,0.0012956203256100454
Fe_3,-0.006035851811453954
Fe_4,-0.02698367384137473
Fe_5,-0.05058123642103904
Fe_6,-0.07758500617487671
Cd_1,0.005047043930490552
Cd_2,0.013565897715358408
Cd_3,0.021889486422783173
Cd_4,0.032972506205478716
Cd_5,0.037628423181734164
Cd_6,0.046948853925375914
Zn_1,0.001479822221260957
Zn_2,0.009799290860418438
Zn_3,0.018949194963679798
Zn_4,0.042539679817146805
Zn_5,0.0636505507909211
Zn_6,0.08401704958947459
Cu_1,0.003775849713663053
Cu_2,0.01266524412328172
Cu_3,0.017522284093329427
Cu_4,0.02802852488677571
Cu_5,0.03534028003485997
Cu_6,0.0472615573491051
Pb_1,0.002568445781162353
Pb_2,0.010726450933500309
Pb_3,0.019809552803353937
Pb_4,0.029017258924772926
Pb_5,0.03971263773865138
Pb_6,0.0536031926123406
