,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.002908541018875614,,1.0,0.0,-0.002908541018875614
1,Cr__2,-0.012969158587612724,,1.0,1.0,-0.012969158587612724
2,Cr__3,-0.017724611361710326,,1.0,2.0,-0.017724611361710326
3,Cr__4,-0.011541127153011874,,1.0,3.0,-0.011541127153011874
4,Cr__5,-0.005854992023223596,,1.0,4.0,-0.005854992023223596
5,Cr__6,-0.0007911642333920747,,1.0,5.0,-0.0007911642333920747
6,Fe__1,-0.03893798410036014,,1.0,6.0,-0.03893798410036014
7,Fe__2,-0.07493339859581208,,1.0,7.0,-0.07493339859581208
8,Fe__3,-0.09244929626762943,,1.0,8.0,-0.09244929626762943
9,Fe__4,-0.11249119890681117,,1.0,9.0,-0.11249119890681117
10,Fe__5,-0.1321948960901508,,1.0,10.0,-0.1321948960901508
11,Fe__6,-0.14303848139960176,,1.0,11.0,-0.14303848139960176
12,Cd__1,0.005905043112747764,,1.0,12.0,0.005905043112747764
13,Cd__2,0.012973750032134015,,1.0,13.0,0.012973750032134015
14,Cd__3,0.016976529146321587,,1.0,14.0,0.016976529146321587
15,Cd__4,0.024142399307974672,,1.0,15.0,0.024142399307974672
16,Cd__5,0.029445889462272293,,1.0,16.0,0.029445889462272293
17,Cd__6,0.04183339152624197,,1.0,17.0,0.04183339152624197
18,Zn__1,-0.009619994572433616,,1.0,18.0,-0.009619994572433616
19,Zn__2,-0.009415704164296344,,1.0,19.0,-0.009415704164296344
20,Zn__3,-0.022682925210025632,,1.0,20.0,-0.022682925210025632
21,Zn__4,-0.050754208897102734,,1.0,21.0,-0.050754208897102734
22,Zn__5,-0.09335383142029104,,1.0,22.0,-0.09335383142029104
23,Zn__6,-0.11703152269036833,,1.0,23.0,-0.11703152269036833
24,Cu__1,-0.002278139055153818,,1.0,24.0,-0.002278139055153818
25,Cu__2,-0.0005953622276162968,,1.0,25.0,-0.0005953622276162968
26,Cu__3,0.0036912587519942718,,1.0,26.0,0.0036912587519942718
27,Cu__4,0.014598473178688225,,1.0,27.0,0.014598473178688225
28,Cu__5,0.024524733920259032,,1.0,28.0,0.024524733920259032
29,Cu__6,0.032594230466144625,,1.0,29.0,0.032594230466144625
30,Pb__1,-0.004659228941300785,,1.0,30.0,-0.004659228941300785
31,Pb__2,0.006326461061372959,,1.0,31.0,0.006326461061372959
32,Pb__3,0.01944791200926784,,1.0,32.0,0.01944791200926784
33,Pb__4,0.02873573164416078,,1.0,33.0,0.02873573164416078
34,Pb__5,0.05226032358058659,,1.0,34.0,0.05226032358058659
35,Pb__6,0.07696968115955702,,1.0,35.0,0.07696968115955702
