k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.030710324756801133,,,
7,Zinc - Steady,False,-0.0076116410456597795,,,
12,Zinc - Intermediate,False,-0.007229327100766711,,,
2,UC-3,False,-0.005999915916472674,,,
5,Lead,False,0.005352181866765022,,,
8,Zinc - Fast,False,-0.0031630040262825786,,,
13,UC-6,False,-0.0026757913199253387,,,
11,Chromium,False,-0.002571538109332323,,,
10,Copper,False,-0.0014639535010792315,,,
9,UC-5,False,0.001173897089537637,,,
1,UC-2,False,-0.0004840330962906592,,,
4,UC-4,False,0.00038471624458907166,,,
3,Cadmium,False,0.00033283660101005806,,,
14,UC-7,False,0.00033120589389000086,,,
0,UC-1,False,0.00012429606307705395,,,
