k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,-0.01747084803879261,,,
0,UC-1,False,0.004907886455766857,,,
6,Iron,False,0.004688563370145857,,,
1,UC-2,False,0.004667714387178421,,,
12,Zinc - Intermediate,False,0.0040518710984433284,,,
14,UC-7,False,-0.0033117367047816515,,,
4,UC-4,False,0.003127386474516243,,,
7,Zinc - Steady,False,-0.002576012911740691,,,
8,Zinc - Fast,False,-0.002297603916376829,,,
9,UC-5,False,-0.001435205204421458,,,
10,Copper,False,-0.0011036246619187298,,,
11,Chromium,False,-0.0009428670513443649,,,
3,Cadmium,False,0.0006892882485408336,,,
13,UC-6,False,0.0006370275601511821,,,
2,UC-3,False,-0.00040100571932271116,,,
