,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.001472537560405196,,1.0,0.0,-0.001472537560405196
1,Cr__2,-0.008961012596072985,,1.0,1.0,-0.008961012596072985
2,Cr__3,0.0027422688006024038,,1.0,2.0,0.0027422688006024038
3,Cr__4,0.012405406686887315,,1.0,3.0,0.012405406686887315
4,Cr__5,0.012279216272644321,,1.0,4.0,0.012279216272644321
5,Cr__6,0.016219280579865,,1.0,5.0,0.016219280579865
6,Fe__1,-0.012127823764327344,,1.0,6.0,-0.012127823764327344
7,Fe__2,-0.03587965330591033,,1.0,7.0,-0.03587965330591033
8,Fe__3,-0.05039634749293501,,1.0,8.0,-0.05039634749293501
9,Fe__4,-0.06442976806091046,,1.0,9.0,-0.06442976806091046
10,Fe__5,-0.07025121861428585,,1.0,10.0,-0.07025121861428585
11,Fe__6,-0.07889649818921841,,1.0,11.0,-0.07889649818921841
12,Cd__1,0.005327684360588074,,1.0,12.0,0.005327684360588074
13,Cd__2,0.011092460098715395,,1.0,13.0,0.011092460098715395
14,Cd__3,0.01539878217882799,,1.0,14.0,0.01539878217882799
15,Cd__4,0.017358957290058208,,1.0,15.0,0.017358957290058208
16,Cd__5,0.01343081407743447,,1.0,16.0,0.01343081407743447
17,Cd__6,0.0186841709882298,,1.0,17.0,0.0186841709882298
18,Zn__1,-0.02644701415275717,,1.0,18.0,-0.02644701415275717
19,Zn__2,-0.05065344940382853,,1.0,19.0,-0.05065344940382853
20,Zn__3,-0.07062073579276293,,1.0,20.0,-0.07062073579276293
21,Zn__4,-0.07647919251453594,,1.0,21.0,-0.07647919251453594
22,Zn__5,-0.08532258419884406,,1.0,22.0,-0.08532258419884406
23,Zn__6,-0.09797060640574436,,1.0,23.0,-0.09797060640574436
24,Cu__1,0.00636958508429854,,1.0,24.0,0.00636958508429854
25,Cu__2,0.009599304348374842,,1.0,25.0,0.009599304348374842
26,Cu__3,0.012144212702887904,,1.0,26.0,0.012144212702887904
27,Cu__4,0.004353100722905681,,1.0,27.0,0.004353100722905681
28,Cu__5,-0.0014466395050360134,,1.0,28.0,-0.0014466395050360134
29,Cu__6,0.0009174392240698262,,1.0,29.0,0.0009174392240698262
30,Pb__1,0.011012465122353456,,1.0,30.0,0.011012465122353456
31,Pb__2,0.01969240055726677,,1.0,31.0,0.01969240055726677
32,Pb__3,0.025569334784289084,,1.0,32.0,0.025569334784289084
33,Pb__4,0.03172305442016042,,1.0,33.0,0.03172305442016042
34,Pb__5,0.038259584392055054,,1.0,34.0,0.038259584392055054
35,Pb__6,0.041348233296881816,,1.0,35.0,0.041348233296881816
