k,name,in_iM,gene_weight,regulator,function,category
7,Zinc - Steady,False,0.016337097603827715,,,
12,Zinc - Intermediate,False,-0.011412314924759321,,,
1,UC-2,False,-0.010285966899245977,,,
3,Cadmium,False,-0.006227174811065197,,,
10,Copper,False,-0.005315082245506347,,,
11,Chromium,False,-0.004781597116962075,,,
8,Zinc - Fast,False,0.004743626434355974,,,
6,Iron,False,-0.004541864190250635,,,
9,UC-5,False,-0.004203938912734928,,,
4,UC-4,False,0.004200505265034735,,,
5,Lead,False,0.004061613623052835,,,
2,UC-3,False,-0.0039195061288774015,,,
13,UC-6,False,-0.003454812900163233,,,
0,UC-1,False,-0.002250591835472733,,,
14,UC-7,False,-0.0016567156789824367,,,
