,yfaY
Cr_1,0.00454085268665551
Cr_2,0.008797823756296145
Cr_3,0.01367076865471247
Cr_4,0.01648973787076015
Cr_5,0.019896861994789104
Cr_6,0.02237400490643521
Fe_1,-0.0037381931561025743
Fe_2,-0.02566089686212273
Fe_3,-0.042245803346133474
Fe_4,-0.05942334294753755
Fe_5,-0.07431301059659311
Fe_6,-0.08393305754304475
Cd_1,0.0023069097883887234
Cd_2,0.0059377978478016725
Cd_3,0.009230606483496205
Cd_4,0.012631005794701585
Cd_5,0.00792887097113144
Cd_6,0.01039849888028243
Zn_1,-0.0025249528799696553
Zn_2,-0.0036663139572032
Zn_3,-0.007275077940656077
Zn_4,-0.00402211396627309
Zn_5,-0.003436074436376251
Zn_6,-0.004451515805374678
Cu_1,0.0032088448371953783
Cu_2,0.013428153840279792
Cu_3,0.022274644350526472
Cu_4,0.029930740720158125
Cu_5,0.03343342024702905
Cu_6,0.03845009921728075
Pb_1,0.004982461462649584
Pb_2,0.01003345536927752
Pb_3,0.00048101868196250263
Pb_4,-0.002484983027871521
Pb_5,-0.002260720209199348
Pb_6,0.0025884688218588987
