k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,-0.011840636758133771,,,
11,Chromium,False,-0.010484995627775787,,,
13,UC-6,False,0.006599444448947906,,,
6,Iron,False,-0.006433447785675526,,,
10,Copper,False,-0.005506397387944162,,,
4,UC-4,False,-0.005164419682696462,,,
1,UC-2,False,-0.00261418440612033,,,
3,Cadmium,False,-0.002581986263394356,,,
9,UC-5,False,-0.002081878017634153,,,
2,UC-3,False,0.0014959526364691554,,,
8,Zinc - Fast,False,-0.0013791341613978148,,,
0,UC-1,False,-0.0007686868449673056,,,
7,Zinc - Steady,False,0.0004590479799662717,,,
14,UC-7,False,-0.0004576713161077351,,,
12,Zinc - Intermediate,False,-0.000281472335547119,,,
