,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.009039991060882987,,1.0,0.0,-0.009039991060882987
1,Cr__2,-0.018658519980590208,,1.0,1.0,-0.018658519980590208
2,Cr__3,-0.016739849301370208,,1.0,2.0,-0.016739849301370208
3,Cr__4,-0.001831868679859096,,1.0,3.0,-0.001831868679859096
4,Cr__5,0.01778472348410813,,1.0,4.0,0.01778472348410813
5,Cr__6,0.01762707273415651,,1.0,5.0,0.01762707273415651
6,Fe__1,-0.016695610840333212,,1.0,6.0,-0.016695610840333212
7,Fe__2,-0.028896122104120275,,1.0,7.0,-0.028896122104120275
8,Fe__3,-0.023818504132457924,,1.0,8.0,-0.023818504132457924
9,Fe__4,0.0023241903094270737,,1.0,9.0,0.0023241903094270737
10,Fe__5,0.029887471739615958,,1.0,10.0,0.029887471739615958
11,Fe__6,0.05699008040848622,,1.0,11.0,0.05699008040848622
12,Cd__1,0.0030036731320598905,,1.0,12.0,0.0030036731320598905
13,Cd__2,0.009204666249901766,,1.0,13.0,0.009204666249901766
14,Cd__3,0.016782482807155847,,1.0,14.0,0.016782482807155847
15,Cd__4,0.02167897831109521,,1.0,15.0,0.02167897831109521
16,Cd__5,0.01900079871828966,,1.0,16.0,0.01900079871828966
17,Cd__6,0.010102087953676977,,1.0,17.0,0.010102087953676977
18,Zn__1,0.05478432918687235,,1.0,18.0,0.05478432918687235
19,Zn__2,0.10292634062284038,,1.0,19.0,0.10292634062284038
20,Zn__3,0.12540030342440794,,1.0,20.0,0.12540030342440794
21,Zn__4,0.1357230280334196,,1.0,21.0,0.1357230280334196
22,Zn__5,0.1177822396967105,,1.0,22.0,0.1177822396967105
23,Zn__6,0.06305000964460844,,1.0,23.0,0.06305000964460844
24,Cu__1,-0.010782031556571212,,1.0,24.0,-0.010782031556571212
25,Cu__2,-0.012638612560364193,,1.0,25.0,-0.012638612560364193
26,Cu__3,-0.009731455420532229,,1.0,26.0,-0.009731455420532229
27,Cu__4,-0.011171834370559552,,1.0,27.0,-0.011171834370559552
28,Cu__5,-0.01699443338392053,,1.0,28.0,-0.01699443338392053
29,Cu__6,-0.014998376705124276,,1.0,29.0,-0.014998376705124276
30,Pb__1,0.008422909471088272,,1.0,30.0,0.008422909471088272
31,Pb__2,0.019355488307318043,,1.0,31.0,0.019355488307318043
32,Pb__3,0.02859279120626068,,1.0,32.0,0.02859279120626068
33,Pb__4,0.03318057909474564,,1.0,33.0,0.03318057909474564
34,Pb__5,0.039706968567508716,,1.0,34.0,0.039706968567508716
35,Pb__6,0.03870493547578052,,1.0,35.0,0.03870493547578052
