,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.0039189679538417024,,1.0,0.0,0.0039189679538417024
1,Cr__2,0.006522179538573964,,1.0,1.0,0.006522179538573964
2,Cr__3,0.014396870283375041,,1.0,2.0,0.014396870283375041
3,Cr__4,0.026837044341216768,,1.0,3.0,0.026837044341216768
4,Cr__5,0.03445650017735214,,1.0,4.0,0.03445650017735214
5,Cr__6,0.02956015945974576,,1.0,5.0,0.02956015945974576
6,Fe__1,-0.03911151633535116,,1.0,6.0,-0.03911151633535116
7,Fe__2,-0.0741934150947164,,1.0,7.0,-0.0741934150947164
8,Fe__3,-0.09631490969644524,,1.0,8.0,-0.09631490969644524
9,Fe__4,-0.11564687823718955,,1.0,9.0,-0.11564687823718955
10,Fe__5,-0.1119122979130584,,1.0,10.0,-0.1119122979130584
11,Fe__6,-0.12539011805625372,,1.0,11.0,-0.12539011805625372
12,Cd__1,0.012118320859934023,,1.0,12.0,0.012118320859934023
13,Cd__2,0.01108226365517331,,1.0,13.0,0.01108226365517331
14,Cd__3,0.02063999804855465,,1.0,14.0,0.02063999804855465
15,Cd__4,0.023049421548692037,,1.0,15.0,0.023049421548692037
16,Cd__5,0.01527549034184363,,1.0,16.0,0.01527549034184363
17,Cd__6,0.025314137519494715,,1.0,17.0,0.025314137519494715
18,Zn__1,-0.09561127348172273,,1.0,18.0,-0.09561127348172273
19,Zn__2,-0.12571268394531976,,1.0,19.0,-0.12571268394531976
20,Zn__3,-0.14539757191759045,,1.0,20.0,-0.14539757191759045
21,Zn__4,-0.12477893125891396,,1.0,21.0,-0.12477893125891396
22,Zn__5,-0.10233370524387372,,1.0,22.0,-0.10233370524387372
23,Zn__6,-0.07520611879050505,,1.0,23.0,-0.07520611879050505
24,Cu__1,0.011142841834114271,,1.0,24.0,0.011142841834114271
25,Cu__2,0.007334658041194019,,1.0,25.0,0.007334658041194019
26,Cu__3,0.007918080613023163,,1.0,26.0,0.007918080613023163
27,Cu__4,0.0095123386145575,,1.0,27.0,0.0095123386145575
28,Cu__5,0.021173001412786014,,1.0,28.0,0.021173001412786014
29,Cu__6,0.033800425209344585,,1.0,29.0,0.033800425209344585
30,Pb__1,0.03339273141201308,,1.0,30.0,0.03339273141201308
31,Pb__2,0.02953916778610125,,1.0,31.0,0.02953916778610125
32,Pb__3,0.04178071880067685,,1.0,32.0,0.04178071880067685
33,Pb__4,0.062996855023287,,1.0,33.0,0.062996855023287
34,Pb__5,0.08595978396536115,,1.0,34.0,0.08595978396536115
35,Pb__6,0.1360567099567401,,1.0,35.0,0.1360567099567401
