,yibL
Cr_1,0.00011607949433265971
Cr_2,-0.00028364530915747307
Cr_3,-0.0007702418125948262
Cr_4,-0.001787519040718089
Cr_5,0.0008118912478418979
Cr_6,-0.0031469599876812397
Fe_1,-0.013069352253055907
Fe_2,-0.03642557993002959
Fe_3,-0.0568668678933993
Fe_4,-0.07929786201706855
Fe_5,-0.09377926226269467
Fe_6,-0.10126874837131676
Cd_1,0.0009922519655281002
Cd_2,0.002859726861460893
Cd_3,0.003906492916011739
Cd_4,0.0047553525692807614
Cd_5,0.0003483578479769395
Cd_6,0.0022974053040433623
Zn_1,-0.0016495767353678728
Zn_2,-0.0003679251626288971
Zn_3,0.0063420889995073676
Zn_4,0.018001534650298485
Zn_5,0.024674429128193492
Zn_6,0.030713273044632318
Cu_1,0.0030696623105476253
Cu_2,0.0064944134000064005
Cu_3,0.0090966133254736
Cu_4,0.009761944360642448
Cu_5,0.011718312392026151
Cu_6,0.022769759942253408
Pb_1,0.002358904392043824
Pb_2,0.0056778033647965
Pb_3,0.013784771621840509
Pb_4,0.022574700082143316
Pb_5,0.03391827162304459
Pb_6,0.045830890839774485
