,yjeK
Cr_1,0.00047453512215367216
Cr_2,0.011019703621092572
Cr_3,0.01842646305398317
Cr_4,0.026802105747475033
Cr_5,0.04156370445168701
Cr_6,0.056082703331267504
Fe_1,-0.025796842330181268
Fe_2,-0.058101077049005564
Fe_3,-0.08275243406153351
Fe_4,-0.1095418680717255
Fe_5,-0.1345373451390688
Fe_6,-0.15500169412538065
Cd_1,0.00011573416154081909
Cd_2,0.0053030148729548135
Cd_3,0.01119327934064481
Cd_4,0.015258258151738615
Cd_5,0.012027557718333977
Cd_6,0.016925696717816102
Zn_1,-0.024359713417807797
Zn_2,-0.03485929709395093
Zn_3,-0.019085730591016457
Zn_4,-0.039291223878265454
Zn_5,-0.02837675614573224
Zn_6,-0.044565650452182685
Cu_1,0.004605820985281217
Cu_2,0.010788488300038479
Cu_3,0.0092261671174098
Cu_4,0.0014709094492386641
Cu_5,0.004419252935050765
Cu_6,0.012425249067475427
Pb_1,0.0027133186437744874
Pb_2,0.006925860591043222
Pb_3,0.021786661891122296
Pb_4,0.03975849465091115
Pb_5,0.05783926781258565
Pb_6,0.0744131344174013
