,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.004003863602522142,,1.0,0.0,0.004003863602522142
1,Cr__2,0.007174462323597536,,1.0,1.0,0.007174462323597536
2,Cr__3,0.016045244986865482,,1.0,2.0,0.016045244986865482
3,Cr__4,0.017970433670608764,,1.0,3.0,0.017970433670608764
4,Cr__5,0.02679691390825529,,1.0,4.0,0.02679691390825529
5,Cr__6,0.027622315304022114,,1.0,5.0,0.027622315304022114
6,Fe__1,-0.03933810449675605,,1.0,6.0,-0.03933810449675605
7,Fe__2,-0.06620896813058208,,1.0,7.0,-0.06620896813058208
8,Fe__3,-0.07772843676082263,,1.0,8.0,-0.07772843676082263
9,Fe__4,-0.0881941545769728,,1.0,9.0,-0.0881941545769728
10,Fe__5,-0.1009021897882264,,1.0,10.0,-0.1009021897882264
11,Fe__6,-0.11201268635236156,,1.0,11.0,-0.11201268635236156
12,Cd__1,-0.0050863299614963605,,1.0,12.0,-0.0050863299614963605
13,Cd__2,-0.007587865551304819,,1.0,13.0,-0.007587865551304819
14,Cd__3,-0.011020330850146169,,1.0,14.0,-0.011020330850146169
15,Cd__4,-0.01890956240301256,,1.0,15.0,-0.01890956240301256
16,Cd__5,-0.026691253269264237,,1.0,16.0,-0.026691253269264237
17,Cd__6,-0.03645556009220845,,1.0,17.0,-0.03645556009220845
18,Zn__1,-0.008256528501778194,,1.0,18.0,-0.008256528501778194
19,Zn__2,-0.02028011464765539,,1.0,19.0,-0.02028011464765539
20,Zn__3,-0.023570174846851446,,1.0,20.0,-0.023570174846851446
21,Zn__4,-0.02563633800751771,,1.0,21.0,-0.02563633800751771
22,Zn__5,-0.03765265402598125,,1.0,22.0,-0.03765265402598125
23,Zn__6,-0.05393283961730837,,1.0,23.0,-0.05393283961730837
24,Cu__1,0.0011003098149625367,,1.0,24.0,0.0011003098149625367
25,Cu__2,0.0015074291458205215,,1.0,25.0,0.0015074291458205215
26,Cu__3,0.00440151281586326,,1.0,26.0,0.00440151281586326
27,Cu__4,0.002596129571670368,,1.0,27.0,0.002596129571670368
28,Cu__5,0.0040351053410292775,,1.0,28.0,0.0040351053410292775
29,Cu__6,0.0061425896195148,,1.0,29.0,0.0061425896195148
30,Pb__1,0.004980949381221073,,1.0,30.0,0.004980949381221073
31,Pb__2,0.008357518311765752,,1.0,31.0,0.008357518311765752
32,Pb__3,0.010120186236867905,,1.0,32.0,0.010120186236867905
33,Pb__4,0.013118895712655341,,1.0,33.0,0.013118895712655341
34,Pb__5,0.010134220372375543,,1.0,34.0,0.010134220372375543
35,Pb__6,0.014895747111943134,,1.0,35.0,0.014895747111943134
