,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.012013179146903736,,1.0,0.0,0.012013179146903736
1,Cr__2,0.026968990695397738,,1.0,1.0,0.026968990695397738
2,Cr__3,0.04296305367216898,,1.0,2.0,0.04296305367216898
3,Cr__4,0.05247757883735302,,1.0,3.0,0.05247757883735302
4,Cr__5,0.060196918331998986,,1.0,4.0,0.060196918331998986
5,Cr__6,0.06389953330638845,,1.0,5.0,0.06389953330638845
6,Fe__1,0.003044370464210639,,1.0,6.0,0.003044370464210639
7,Fe__2,-0.0036921689370225204,,1.0,7.0,-0.0036921689370225204
8,Fe__3,-0.017265615417124895,,1.0,8.0,-0.017265615417124895
9,Fe__4,-0.025892043060417376,,1.0,9.0,-0.025892043060417376
10,Fe__5,-0.03111951045947828,,1.0,10.0,-0.03111951045947828
11,Fe__6,-0.03338482701859105,,1.0,11.0,-0.03338482701859105
12,Cd__1,0.0031161072462747674,,1.0,12.0,0.0031161072462747674
13,Cd__2,0.008242210296570652,,1.0,13.0,0.008242210296570652
14,Cd__3,0.011477675589895726,,1.0,14.0,0.011477675589895726
15,Cd__4,0.013534705072709482,,1.0,15.0,0.013534705072709482
16,Cd__5,0.011030701812575358,,1.0,16.0,0.011030701812575358
17,Cd__6,0.013609693009555638,,1.0,17.0,0.013609693009555638
18,Zn__1,0.004680457723525304,,1.0,18.0,0.004680457723525304
19,Zn__2,0.004760236190260935,,1.0,19.0,0.004760236190260935
20,Zn__3,0.008207794097287247,,1.0,20.0,0.008207794097287247
21,Zn__4,0.013962057333009727,,1.0,21.0,0.013962057333009727
22,Zn__5,0.02091435896782219,,1.0,22.0,0.02091435896782219
23,Zn__6,0.032063719793560694,,1.0,23.0,0.032063719793560694
24,Cu__1,0.0005179770708273674,,1.0,24.0,0.0005179770708273674
25,Cu__2,0.0003977021462575461,,1.0,25.0,0.0003977021462575461
26,Cu__3,0.001402487635361593,,1.0,26.0,0.001402487635361593
27,Cu__4,0.0019294281843208567,,1.0,27.0,0.0019294281843208567
28,Cu__5,-0.001264613793798778,,1.0,28.0,-0.001264613793798778
29,Cu__6,-0.005283320064049043,,1.0,29.0,-0.005283320064049043
30,Pb__1,0.004338091726104511,,1.0,30.0,0.004338091726104511
31,Pb__2,0.007505339179361602,,1.0,31.0,0.007505339179361602
32,Pb__3,0.010756139818878293,,1.0,32.0,0.010756139818878293
33,Pb__4,0.012939489398255457,,1.0,33.0,0.012939489398255457
34,Pb__5,0.018017604590668916,,1.0,34.0,0.018017604590668916
35,Pb__6,0.02216609119960001,,1.0,35.0,0.02216609119960001
