,yncG
Cr_1,-0.008541387039868297
Cr_2,-0.01108232129945875
Cr_3,-0.010754260742266156
Cr_4,-0.0077742855447954316
Cr_5,-0.0048982365949544575
Cr_6,-0.0024185656025619245
Fe_1,-0.012538187474324251
Fe_2,-0.045366103455757686
Fe_3,-0.08986389092704798
Fe_4,-0.14201076164571635
Fe_5,-0.19191144022609416
Fe_6,-0.2318917294438504
Cd_1,-0.005891691849502298
Cd_2,-0.011116419008824235
Cd_3,-0.01411978337521057
Cd_4,-0.014945612923815996
Cd_5,-0.019225938573126312
Cd_6,-0.015319042847071074
Zn_1,-0.004904851923310363
Zn_2,-0.012019661788129769
Zn_3,-0.010724883245816195
Zn_4,-0.0009832987906291117
Zn_5,0.014038168592431849
Zn_6,0.02690303295671721
Cu_1,0.0012303620095511273
Cu_2,0.0046690745987253
Cu_3,0.006247074039930704
Cu_4,0.007834531396840094
Cu_5,0.010519467143444582
Cu_6,0.016816105749951963
Pb_1,0.005414471094630798
Pb_2,0.00925825894640521
Pb_3,0.01715699010666756
Pb_4,0.03148409089292415
Pb_5,0.04570769540272465
Pb_6,0.06202055465866009
