,yoaD
Cr_1,-0.004980458851038696
Cr_2,-0.004349516982368056
Cr_3,-0.006516656247304669
Cr_4,-0.005052812981916128
Cr_5,0.0037427137186959595
Cr_6,-0.0032940573185831585
Fe_1,-0.08808142942074093
Fe_2,-0.1769822683300402
Fe_3,-0.24636184816379395
Fe_4,-0.2431214896015373
Fe_5,-0.327237689171221
Fe_6,-0.4066651926121486
Cd_1,0.0049864576889961714
Cd_2,0.007613371574280347
Cd_3,0.00937293692025993
Cd_4,0.01962790320280146
Cd_5,0.02024035001955265
Cd_6,0.020271314887645768
Zn_1,0.01971081634425121
Zn_2,0.004468188593490461
Zn_3,0.007206627733017606
Zn_4,-0.003453371654499427
Zn_5,0.019928177542099586
Zn_6,0.011322992843603162
Cu_1,0.008105974737125422
Cu_2,0.010485516550150255
Cu_3,0.014930107607732269
Cu_4,0.026191098727117338
Cu_5,0.02972442055154512
Cu_6,0.0294459463633606
Pb_1,0.006082161994136418
Pb_2,0.003852017670667108
Pb_3,0.011087329479326056
Pb_4,0.02423216848905704
Pb_5,0.04006636251226987
Pb_6,0.049999473350677184
