,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.009220010613639546,,1.0,0.0,0.009220010613639546
1,Cr__2,0.012320817181558372,,1.0,1.0,0.012320817181558372
2,Cr__3,0.019864179323788474,,1.0,2.0,0.019864179323788474
3,Cr__4,0.02768771711707132,,1.0,3.0,0.02768771711707132
4,Cr__5,0.030095735337147614,,1.0,4.0,0.030095735337147614
5,Cr__6,0.031371048170605875,,1.0,5.0,0.031371048170605875
6,Fe__1,-0.008107442496351215,,1.0,6.0,-0.008107442496351215
7,Fe__2,0.0035796207259586282,,1.0,7.0,0.0035796207259586282
8,Fe__3,0.019720866075396918,,1.0,8.0,0.019720866075396918
9,Fe__4,0.040021987124284265,,1.0,9.0,0.040021987124284265
10,Fe__5,0.055673494559010064,,1.0,10.0,0.055673494559010064
11,Fe__6,0.06892948827549744,,1.0,11.0,0.06892948827549744
12,Cd__1,-0.0004611736577849122,,1.0,12.0,-0.0004611736577849122
13,Cd__2,0.00010844811656816331,,1.0,13.0,0.00010844811656816331
14,Cd__3,0.0010554785664059192,,1.0,14.0,0.0010554785664059192
15,Cd__4,0.003071653367557221,,1.0,15.0,0.003071653367557221
16,Cd__5,-0.00531592012349201,,1.0,16.0,-0.00531592012349201
17,Cd__6,0.0005182482479967815,,1.0,17.0,0.0005182482479967815
18,Zn__1,0.00031554911119379065,,1.0,18.0,0.00031554911119379065
19,Zn__2,0.007700343607768145,,1.0,19.0,0.007700343607768145
20,Zn__3,0.02189870677224981,,1.0,20.0,0.02189870677224981
21,Zn__4,0.035824897359150364,,1.0,21.0,0.035824897359150364
22,Zn__5,0.041069701947958365,,1.0,22.0,0.041069701947958365
23,Zn__6,0.050044310068211285,,1.0,23.0,0.050044310068211285
24,Cu__1,-0.002232231596473554,,1.0,24.0,-0.002232231596473554
25,Cu__2,-0.0008652433069495449,,1.0,25.0,-0.0008652433069495449
26,Cu__3,0.0017984915277476886,,1.0,26.0,0.0017984915277476886
27,Cu__4,0.01195450940849083,,1.0,27.0,0.01195450940849083
28,Cu__5,0.023078461131641474,,1.0,28.0,0.023078461131641474
29,Cu__6,0.03440287284492987,,1.0,29.0,0.03440287284492987
30,Pb__1,-0.003208716322366823,,1.0,30.0,-0.003208716322366823
31,Pb__2,-0.009823588450530428,,1.0,31.0,-0.009823588450530428
32,Pb__3,-0.008739464154829412,,1.0,32.0,-0.008739464154829412
33,Pb__4,-0.006740753386300393,,1.0,33.0,-0.006740753386300393
34,Pb__5,-0.002807641267975308,,1.0,34.0,-0.002807641267975308
35,Pb__6,0.0060038615929991065,,1.0,35.0,0.0060038615929991065
