,ytfF
Cr_1,-0.0010546030429191065
Cr_2,-0.0033351092091326267
Cr_3,-0.004666182228446184
Cr_4,-0.004757662050815989
Cr_5,0.0019914414699947714
Cr_6,0.003575109061753824
Fe_1,-0.055056851804986526
Fe_2,-0.12605661605087054
Fe_3,-0.18172030581420973
Fe_4,-0.2312712776247589
Fe_5,-0.28216473026177485
Fe_6,-0.3267113153183074
Cd_1,-0.005328753004597979
Cd_2,-0.00620158017596236
Cd_3,-0.0013695491900049502
Cd_4,0.0007349640505676598
Cd_5,-0.004993476953246811
Cd_6,-0.005070041159097862
Zn_1,-0.015124513632007943
Zn_2,-0.03595955656021098
Zn_3,-0.03291563374027512
Zn_4,-0.02668132682628161
Zn_5,-0.01677071088264256
Zn_6,0.005080442171910071
Cu_1,-0.0008825337287264467
Cu_2,0.009169310601593886
Cu_3,0.020833375128198238
Cu_4,0.03071587322920684
Cu_5,0.03629983931277153
Cu_6,0.04431587827452532
Pb_1,0.008447093471559714
Pb_2,0.012322789568343864
Pb_3,0.03383472534440449
Pb_4,0.05386664865353378
Pb_5,0.05848814347578137
Pb_6,0.07059635390967639
