,ytfM
Cr_1,0.0046960010850095974
Cr_2,0.012927903342774898
Cr_3,0.020308816646316327
Cr_4,0.029513837878702136
Cr_5,0.0343521979405214
Cr_6,0.0385089838325341
Fe_1,-0.005876667506641217
Fe_2,-0.017871367662914084
Fe_3,-0.022854214961249737
Fe_4,-0.02972611149023441
Fe_5,-0.03163636721281035
Fe_6,-0.032825749545809885
Cd_1,0.002067106035127698
Cd_2,0.007095983547678622
Cd_3,0.012109635687567387
Cd_4,0.016614956195556103
Cd_5,0.016362150643765103
Cd_6,0.020716323550330745
Zn_1,-0.00841332571773612
Zn_2,-0.017832140428279294
Zn_3,-0.016542345091734176
Zn_4,-0.009505346382796622
Zn_5,-0.006066420365804858
Zn_6,-0.0020418104917985136
Cu_1,0.003371194848508369
Cu_2,0.00820362450212579
Cu_3,0.012929716591559129
Cu_4,0.011016295047768623
Cu_5,0.014038106825779209
Cu_6,0.02192480687640041
Pb_1,0.006169667102762883
Pb_2,0.010790709959985151
Pb_3,0.016165716774332366
Pb_4,0.022486977347771667
Pb_5,0.02905801181338993
Pb_6,0.036186860645994266
