,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,0.06228748314082622,,1.0,0.0,0.06228748314082622
1,Cr__2,0.2011380137503147,,1.0,1.0,0.2011380137503147
2,Cr__3,0.4340325310826302,,1.0,2.0,0.4340325310826302
3,Cr__4,0.8161779862642288,,1.0,3.0,0.8161779862642288
4,Cr__5,1.363775417804718,,1.0,4.0,1.363775417804718
5,Cr__6,2.635316302776337,,1.0,5.0,2.635316302776337
6,Fe__1,-0.017848312258720397,,1.0,6.0,-0.017848312258720397
7,Fe__2,-0.010512108169496059,,1.0,7.0,-0.010512108169496059
8,Fe__3,-0.022905838284641503,,1.0,8.0,-0.022905838284641503
9,Fe__4,-0.0263970535248518,,1.0,9.0,-0.0263970535248518
10,Fe__5,0.024584735613316297,,1.0,10.0,0.024584735613316297
11,Fe__6,-0.018172754403203727,,1.0,11.0,-0.018172754403203727
12,Cd__1,0.0012969181768130512,,1.0,12.0,0.0012969181768130512
13,Cd__2,0.011659338809549807,,1.0,13.0,0.011659338809549807
14,Cd__3,0.07307147920131682,,1.0,14.0,0.07307147920131682
15,Cd__4,0.0758744253218174,,1.0,15.0,0.0758744253218174
16,Cd__5,0.127634464353323,,1.0,16.0,0.127634464353323
17,Cd__6,0.1569049108028412,,1.0,17.0,0.1569049108028412
18,Zn__1,0.0017345684622341651,,1.0,18.0,0.0017345684622341651
19,Zn__2,0.013405502862297,,1.0,19.0,0.013405502862297
20,Zn__3,0.08153962284326552,,1.0,20.0,0.08153962284326552
21,Zn__4,0.029649253450334076,,1.0,21.0,0.029649253450334076
22,Zn__5,0.02559190117754042,,1.0,22.0,0.02559190117754042
23,Zn__6,-0.0005074277651146987,,1.0,23.0,-0.0005074277651146987
24,Cu__1,0.0040038116555660965,,1.0,24.0,0.0040038116555660965
25,Cu__2,0.0024534456268884247,,1.0,25.0,0.0024534456268884247
26,Cu__3,0.00870344191789627,,1.0,26.0,0.00870344191789627
27,Cu__4,0.010436149258166551,,1.0,27.0,0.010436149258166551
28,Cu__5,0.03255249850451946,,1.0,28.0,0.03255249850451946
29,Cu__6,0.050703349635005,,1.0,29.0,0.050703349635005
30,Pb__1,-0.022151929587125783,,1.0,30.0,-0.022151929587125783
31,Pb__2,0.016437607370316982,,1.0,31.0,0.016437607370316982
32,Pb__3,0.05318767916411162,,1.0,32.0,0.05318767916411162
33,Pb__4,0.0813769606500864,,1.0,33.0,0.0813769606500864
34,Pb__5,0.07617760919034483,,1.0,34.0,0.07617760919034483
35,Pb__6,0.08363256573677064,,1.0,35.0,0.08363256573677064
