,PA5183a
SRX7442752,0.116883232
SRX7442753,-0.116883233
SRX7442754,-0.6803525380000001
SRX7442755,-0.516047983
SRX7442756,-0.592062328
SRX7442757,-0.8985428430000001
SRX7442758,-0.739942289
SRX7442759,-0.76625785
SRX7442761,-0.788632145
SRX7874204,-0.051503667
SRX7874205,0.051503668
SRX7874206,0.9448957680000001
SRX7874207,1.051240397
SRX8639787,-0.007663953
SRX8639788,0.007663953
SRX8639789,-1.475388245
SRX8639790,-1.2471193999999999
SRX8639791,-0.655326434
SRX8639792,-0.802630088
SRX8639793,-1.98525098
SRX8639794,-1.695746022
SRX8639795,-1.679845531
SRX8639796,-1.6399831790000001
SRX8639797,-0.867400723
SRX8639798,-0.88914581
SRX8639800,-1.144395364
SRX1156127,0.08676556
SRX1156135,-0.08676556
SRX1156136,-0.185492645
SRX1156137,-0.045547044
SRX1156138,-0.034062666000000005
SRX1156140,-0.20788529300000003
ERX2195929,0.011507511000000002
ERX2195930,-0.011507511000000002
ERX2195931,-0.25163957600000003
ERX2195932,-0.066417453
ERX2195933,0.471390546
ERX2195934,0.23834649300000002
SRX4579961,0.21327151300000002
SRX4579962,0.13939431900000002
SRX4579963,-0.35266583100000004
SRX4579964,-0.8138410420000001
SRX4579965,-0.740913598
SRX4579966,-0.39359582400000004
SRX5630349,-0.12938891
SRX5630350,0.12938891
SRX5630351,-0.605574641
SRX5630352,-0.464674578
SRX1411278,0.029369958
SRX1411287,0.11438503
SRX1411289,0.060138743
SRX1411279,-0.041393142
SRX1411280,0.012023185
SRX1411281,-0.442209565
SRX1411282,-0.41067866700000005
SRX1411283,-0.45437785500000005
SRX1411284,-0.010064383000000001
SRX1411285,0.19151525800000002
SRX1411286,0.14688837200000002
SRX1411288,0.132504642
SRX2711962,-0.027104332000000002
SRX2711963,0.027104332000000002
SRX2711964,0.265243292
SRX2711965,0.167527321
SRX2711966,-0.5340507480000001
SRX2711967,-0.8056130180000001
ERX3558798,0.273743159
ERX3558799,-0.41379966700000004
ERX3558800,-0.325140963
ERX3558801,-0.440078668
ERX3558802,0.136818344
ERX3558803,-0.28477129900000003
ERX3558804,-0.211195709
ERX3558805,0.35914866300000003
ERX3593017,3.454938916
ERX3593018,3.6075599560000002
ERX3593020,0.256534085
ERX3593021,-0.16504984
ERX3593022,-0.091484244
SRX7058492,-0.192293706
SRX7058494,0.477706401
SRX7058495,0.526253757
SRX7058509,0.192293706
SRX2662717,-0.999989898
SRX2662718,-0.9919791840000001
SRX2662721,-0.134060496
SRX2662722,0.134060496
SRX8143226,-0.043367325000000005
SRX8143227,0.043367325000000005
SRX8143228,-0.210679536
SRX8143229,-0.004126619000000001
ERX2456848,0.29115155400000003
ERX2456849,0.413751635
ERX2456850,0.319375091
ERX2456851,-0.34017884400000004
ERX2456852,-0.358676891
ERX2456853,0.133804201
ERX2456854,-0.079610079
ERX2456855,0.006416757
ERX2456856,0.08897801
ERX2456857,-0.09839060100000001
ERX2456858,0.005267061
ERX2456859,0.077338852
SRX540108,0.002031609
SRX540109,-0.00203161
SRX540110,1.06104187
SRX540111,0.628649342
SRX540112,-1.035847913
SRX540113,-0.714834437
SRX540114,-0.33177822
SRX540115,-0.920917053
SRX1737662,-0.132739506
SRX1737664,-0.14488478700000001
SRX1737665,-0.358950435
SRX1737667,0.026924937000000003
SRX1737668,-0.046140917000000004
SRX1737670,0.019215981
SRX1516139,0.047679138
SRX1516140,-0.047679138
SRX1516141,0.10305971800000001
SRX1516142,0.039791982000000004
SRX591667,0.7343479260000001
SRX591668,-0.182745178
SRX591669,0.5692925360000001
SRX591670,-0.9472983140000001
SRX591671,-0.420206519
SRX591675,-0.7343479270000001
SRX591676,-0.548186737
SRX591677,0.10783205500000001
SRX591678,-1.252444864
SRX591679,-0.7258393830000001
SRX2520351,-0.725279356
SRX2520352,-1.002694446
SRX2520353,-1.5016773159999999
SRX2520354,-1.470023786
SRX2520355,0.7476395640000001
SRX2520356,0.587880054
SRX2520357,0.39245418400000004
SRX2520358,0.7158033340000001
SRX2520359,0.482739544
SRX2520360,0.636134504
SRX2652927,-0.475477829
SRX2652931,-0.6575713350000001
SRX2652933,-0.178558623
SRX2652935,-0.218174428
SRX2652937,0.396733051
SRX2940624,-0.677592166
SRX2940626,-0.8896502510000001
SRX2940627,-0.23634422500000002
SRX2940628,0.209746874
SRX2940629,0.026597351
SRX3763712,0.030427313
SRX3763714,-0.030427313
SRX3763715,-0.17714585700000002
SRX3763716,-0.49721706800000004
SRX3763717,0.37159777
ERX2259197,0.318213897
ERX2259198,0.632934467
ERX2259199,0.182841825
ERX2259200,-0.18284182400000001
SRX6976948,0.261955775
SRX6976949,0.068782807
SRX6976950,-0.330738582
SRX6976951,0.405768291
SRX6976952,0.43404719900000005
SRX6976953,0.224391847
SRX4342817,0.206357856
SRX4342818,-0.17534742
SRX4342819,-0.046157072
SRX4342820,-0.200073248
SRX4342821,0.169062812
SRX4342822,1.504874129
ERX2300159,0.098190725
ERX2300160,-0.098190726
ERX2300161,-0.217884547
ERX2300162,0.05797978300000001
ERX2300163,-0.460389337
ERX2300164,0.300269767
ERX2300165,0.099145759
ERX2300166,0.14624975
ERX2300167,-0.69638975
ERX2300168,-0.677107153
ERX2300169,0.360614247
ERX2300170,-0.22637984600000002
ERX2068556,-0.12072534
ERX2068557,-0.13509289
ERX2068558,0.283108701
ERX2068559,-0.332438241
ERX2068560,-0.09800578900000001
ERX2068561,0.430444029
SRX6747256,0.808828512
SRX6747257,0.19844122600000003
SRX6747258,-0.664411552
SRX6747259,-0.273008429
SRX6747260,-0.06984975900000001
SRX6747265,0.135464112
SRX6747266,0.030784995000000002
SRX6747268,0.199424188
SRX6747269,0.17187491600000002
SRX6747953,0.134401465
SRX6747954,-0.12583632
SRX6747955,-0.008565145
SRX6747957,-1.2061849040000001
SRX6747958,-1.63190061
SRX7747527,-0.570138096
SRX7747528,-0.907418975
SRX7747537,-0.34546495600000005
SRX7747538,0.16022676800000002
SRX7747540,-0.16022676700000002
ERX2813653,-0.003016164
ERX2813654,0.003016164
ERX2813656,1.088087757
ERX2813657,1.185554112
ERX2813658,1.251287137
Paeru_0017,0.665947444
Paeru_0018,0.930606773
Paeru_0019,1.562761519
Paeru_0020,1.448455129
Paeru_0033,1.071691212
Paeru_0034,0.814392839
Paeru_0035,0.976028658
Paeru_0036,0.90365846
Paeru_0037,1.272500814
Paeru_0038,0.9344900570000001
Paeru_0039,0.751956417
Paeru_0040,0.6698519970000001
Paeru_0041,1.407685692
Paeru_0042,0.403856941
Paeru_0043,-0.14588876
Paeru_0044,-0.16343094100000002
Paeru_0045,-0.22867846
Paeru_0046,0.392061508
Paeru_0047,0.8631860960000001
Paeru_0048,0.743819094
Paeru_0049,0.484018414
Paeru_0050,0.886594671
Paeru_0051,0.954187196
Paeru_0052,0.380287136
Paeru_0053,1.118985526
Paeru_0056,-0.156388666
Paeru_0057,0.42468364000000003
Paeru_0058,0.572035049
Paeru_0059,0.529786375
Paeru_0060,0.441917549
Paeru_0061,0.19194941000000001
Paeru_0062,0.406987688
Paeru_0063,0.6358380410000001
Paeru_0064,0.7136669080000001
Paeru_0065,0.680512984
Paeru_0066,0.58433801
Paeru_0068,0.627235905
Paeru_0069,0.692164576
Paeru_0070,0.6604349460000001
Paeru_0071,0.8004686080000001
Paeru_0072,0.712531173
Paeru_0073,0.809813518
Paeru_0074,1.294248267
Paeru_0075,1.17230934
Paeru_0077,0.6127259770000001
Paeru_0106,1.691098913
Paeru_0107,1.829687768
Paeru_0111,1.7057207390000002
Paeru_0112,1.284962136
Paeru_0131,1.555862177
Paeru_0132,1.467645691
Paeru_0133,0.5317565830000001
Paeru_0134,0.504838275
Paeru_0135,1.450360477
Paeru_0136,1.247103681
Paeru_0137,0.27330250300000003
Paeru_0138,-0.0042878330000000004
