,A,AmiR,GlcC
R2,,0.7144845096942974,0.07912335534562154
xmin,,-3.872596982,-2.653950721
xmid,,-0.3467815671553825,0.08199173370653585
xmax,,6.256909725,2.9603814230000003
ystart,,-1.597522256005554,0.08552414980551307
yend,,21.053422820825826,8.378617729881613
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,1.27170811,0.043977339000000004,-0.26627727700000003
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-1.27170811,-0.043977338000000005,0.26627727700000003
AB569_EDTA_NaNO2:NaNO2:1,11.42477137,1.7767902420000001,0.868247733
AB569_EDTA_NaNO2:NaNO2:2,11.31669473,1.7875745420000002,1.15884629
AB569_EDTA_NaNO2:EDTA:1,0.729723442,0.748493524,0.139902788
AB569_EDTA_NaNO2:EDTA:2,1.511427445,0.8164206190000001,0.580719548
AB569_EDTA_NaNO2:EDTA:3,1.966135014,0.888906853,0.79217129
AB569_EDTA_NaNO2:NaNO2_EDTA:1,14.3278003,1.725567923,1.044522957
AB569_EDTA_NaNO2:NaNO2_EDTA:2,15.12996837,1.9649537810000002,1.560757656
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.24077004000000002,-0.0035981990000000003,-0.19147389
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.24077004000000002,0.0035981990000000003,0.19147389
Anthranilate_metabolism_GntR_AntP:antP:1,0.668316302,-0.459325437,0.458738177
Anthranilate_metabolism_GntR_AntP:antP:2,0.502136177,-0.208792462,0.49062148800000005
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.293388525,-0.191666143,-0.09241808600000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.293388525,0.191666143,0.09241808600000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.439918314,-0.45967017800000004,-0.45974733700000003
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-0.44654415500000005,0.45104326400000005,-0.559288831
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,1.466419613,0.003272661,-0.20042857400000003
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,1.130401825,0.429128885,0.3548977
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,0.61353325,-3.400642999,-2.283943878
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,0.73587183,-3.340692042,-1.902540471
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,1.60012229,-3.260851143,-2.267567513
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,1.168284592,-3.299301482,-1.9752734470000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,1.304313127,0.53399143,0.208465221
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,-0.092153698,0.502273206,0.041991414000000005
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,0.46095539300000005,0.47885994600000004,0.13633017
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:1,0.24522168400000002,-0.018407498,0.182313318
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:2,-0.24522168400000002,0.018407498,-0.182313318
Pseudomonas_culture_Cisplatin_Bile:PAO1_cisplatin:1,1.513920727,-0.13165651,-0.401833885
Pseudomonas_culture_Cisplatin_Bile:PAO1_cisplatin:2,2.244897137,-0.19702301600000002,-0.437244385
Pseudomonas_culture_Cisplatin_Bile:PAO1_bile:1,1.284699254,0.744134415,-0.915075421
