,PA1112b
SRX7442752,0.425069081
SRX7442753,-0.42506908200000004
SRX7442754,1.0987147130000001
SRX7442755,1.049998453
SRX7442756,0.056085457000000005
SRX7442757,0.42619682200000003
SRX7442758,0.332362052
SRX7442759,1.193730643
SRX7442761,1.362094943
SRX7874204,0.040944189000000006
SRX7874205,-0.040944188
SRX7874206,0.40296839700000003
SRX7874207,0.49742865700000005
SRX8639787,0.19494399
SRX8639788,-0.19494399
SRX8639789,-0.17264020700000002
SRX8639790,-0.016814805000000002
SRX8639791,-2.041356074
SRX8639792,-2.413185264
SRX8639793,1.255371302
SRX8639794,1.051949332
SRX8639795,1.376597742
SRX8639796,1.016649392
SRX8639797,-2.531424808
SRX8639798,-1.456491012
SRX8639800,-0.80376556
SRX1156127,0.132946367
SRX1156135,-0.132946366
SRX1156136,-0.802105908
SRX1156137,-0.780744188
SRX1156138,-0.526858201
SRX1156140,0.017656237
ERX2195929,0.026841475
ERX2195930,-0.026841475
ERX2195931,-0.526474895
ERX2195932,-0.372716425
ERX2195933,-0.7561139050000001
ERX2195934,-0.637252405
SRX4579961,0.30930656
SRX4579962,-0.029909190000000002
SRX4579963,-0.27939737
SRX4579964,-0.9917970450000001
SRX4579965,-0.03928327
SRX4579966,-0.19934569
SRX5630349,-0.069071423
SRX5630350,0.069071423
SRX5630351,-0.093903391
SRX5630352,0.22626562100000003
SRX1411278,-0.199243051
SRX1411287,0.09652484400000001
SRX1411289,0.16533341000000001
SRX1411279,0.30062619100000004
SRX1411280,-0.10138313900000001
SRX1411281,-0.68140366
SRX1411282,-0.134722276
SRX1411283,-0.23098812300000002
SRX1411284,-0.48556661700000003
SRX1411285,-0.515336698
SRX1411286,-0.23736894600000003
SRX1411288,0.030822021
SRX2711962,0.051568109
SRX2711963,-0.051568109
SRX2711964,-0.41760238200000005
SRX2711965,-0.49213540400000005
SRX2711966,1.372899045
SRX2711967,-0.46193225200000004
ERX3558798,-0.052952498
ERX3558799,-0.017340586
ERX3558800,0.772974727
ERX3558801,0.709705396
ERX3558802,0.461848531
ERX3558803,-0.195692357
ERX3558804,-0.40349726300000005
ERX3558805,0.13734109
ERX3593017,0.11999781300000001
ERX3593018,-0.295972349
ERX3593020,0.507628411
ERX3593021,-0.149906754
ERX3593022,-0.357721658
SRX7058492,-0.43992826100000004
SRX7058494,-0.181341726
SRX7058495,-0.246618953
SRX7058509,0.439928262
SRX2662717,0.55862877
SRX2662718,0.37349968
SRX2662721,0.030890380000000002
SRX2662722,-0.030890380000000002
SRX8143226,0.00653173
SRX8143227,-0.00653173
SRX8143228,0.15437645
SRX8143229,-0.20409551
ERX2456848,0.42900061700000003
ERX2456849,0.171789567
ERX2456850,0.747054807
ERX2456851,-0.48804137300000006
ERX2456852,0.147665507
ERX2456853,0.247811627
ERX2456854,0.052692647
ERX2456855,-0.056261783
ERX2456856,0.735910917
ERX2456857,-0.742981903
ERX2456858,-0.027418533000000002
ERX2456859,0.038058657
SRX540108,-0.19554960500000002
SRX540109,0.19554960500000002
SRX540110,-0.196339691
SRX540111,-0.14199615200000001
SRX540112,-0.7749731870000001
SRX540113,-0.574627651
SRX540114,-0.836360183
SRX540115,-1.254876344
SRX1737662,-0.342758384
SRX1737664,-0.222254098
SRX1737665,-0.260838589
SRX1737667,-0.135964293
SRX1737668,0.143511929
SRX1737670,-0.007547637
SRX1516139,-0.054797151
SRX1516140,0.054797151
SRX1516141,0.14835851700000002
SRX1516142,-0.059315562
SRX591667,0.50667576
SRX591668,0.7657759670000001
SRX591669,1.4160215470000002
SRX591670,0.59540265
SRX591671,1.5169668170000001
SRX591675,-0.50667576
SRX591676,-0.28610623900000004
SRX591677,-0.11534950100000001
SRX591678,-0.021289792000000002
SRX591679,-0.759076622
SRX2520351,1.346833205
SRX2520352,1.4392030550000001
SRX2520353,-1.531558216
SRX2520354,-1.96558412
SRX2520355,-0.999988881
SRX2520356,-0.9275336540000001
SRX2520357,-0.858513725
SRX2520358,-0.465907296
SRX2520359,-0.504454869
SRX2520360,-0.36290173400000003
SRX2652927,0.20599187400000002
SRX2652931,-0.117368858
SRX2652933,0.069992544
SRX2652935,0.027752718000000003
SRX2652937,-0.09774526300000001
SRX2940624,-1.871466237
SRX2940626,-1.6021244970000001
SRX2940627,0.16660011300000002
SRX2940628,0.051861023000000006
SRX2940629,-0.21846113700000003
SRX3763712,-0.088459491
SRX3763714,0.088459492
SRX3763715,1.6564377490000002
SRX3763716,1.53261734
SRX3763717,1.485908334
ERX2259197,0.788755237
ERX2259198,0.24321361900000002
ERX2259199,0.036621252
ERX2259200,-0.036621252
SRX6976948,-0.030982067000000002
SRX6976949,0.009412793000000001
SRX6976950,0.021569273
SRX6976951,0.12375820300000001
SRX6976952,-0.117804897
SRX6976953,-0.071355297
SRX4342817,-0.08830470800000001
SRX4342818,0.189524571
SRX4342819,1.021170791
SRX4342820,-0.6582432460000001
SRX4342821,0.5570233840000001
SRX4342822,0.799877484
ERX2300159,0.223996474
ERX2300160,-0.223996474
ERX2300161,0.613768104
ERX2300162,0.758037764
ERX2300163,0.9711968740000001
ERX2300164,0.625888522
ERX2300165,0.339424277
ERX2300166,0.405219058
ERX2300167,0.428234104
ERX2300168,0.528087657
ERX2300169,0.561902036
ERX2300170,0.27608839100000004
ERX2068556,0.156043504
ERX2068557,-0.21310805100000002
ERX2068558,-0.337864724
ERX2068559,0.049052547
ERX2068560,-0.09106096300000001
ERX2068561,0.042008417
SRX6747256,-0.29012257
SRX6747257,-0.017200382
SRX6747258,0.173665914
SRX6747259,0.15860900800000002
SRX6747260,-0.024951971
SRX6747265,1.297442771
SRX6747266,0.9707632810000001
SRX6747268,0.050803453000000005
SRX6747269,-0.14599631
SRX6747953,0.08393859000000001
SRX6747954,-0.01292713
SRX6747955,-0.07101146
SRX6747957,0.85355084
SRX6747958,0.67743387
SRX7747527,-0.24882209600000002
SRX7747528,0.053717282000000005
SRX7747537,-0.296780462
SRX7747538,-0.17396676600000002
SRX7747540,0.17396676600000002
ERX2813653,0.407703445
ERX2813654,-0.407703444
ERX2813656,0.6426599740000001
ERX2813657,0.390587245
ERX2813658,1.045425575
Paeru_0017,2.341830805
Paeru_0018,2.251172023
Paeru_0019,1.832379788
Paeru_0020,1.6607992710000001
Paeru_0033,1.231703115
Paeru_0034,1.224742105
Paeru_0035,0.9467121340000001
Paeru_0036,1.237494415
Paeru_0037,1.168104864
Paeru_0038,1.129452124
