,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,0.27628772513278904,2.0,0.0,-0.19536492400000002,1.0,0.19536492400000002,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,0.389189059,0.058111452319899996,2.0,2.0,0.43028006100000005,3.0,0.348098057,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,0.16867063766666668,0.09228075090867713,3.0,4.0,0.062331176,5.0,0.215951722,6.0,0.227729015,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,0.31438963600000003,0.1446347648206456,2.0,7.0,0.212117413,8.0,0.416661859,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,4.999999997368221e-10,0.05533440569519514,2.0,9.0,-0.039127333,10.0,0.039127334,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,-0.841453722,0.1195793566823294,2.0,11.0,-0.926009096,12.0,-0.756898348,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.027277433215438875,2.0,13.0,0.019288058,14.0,-0.019288058,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,-0.04775366050000002,0.30149713408600365,4.0,15.0,0.087042594,16.0,0.287751629,17.0,-0.40815610900000004,18.0,-0.157652756,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,-1.19541977425,0.0652326121877141,4.0,19.0,-1.268434961,20.0,-1.229358092,21.0,-1.125160172,22.0,-1.158725872,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,0.20897032866666665,0.4914962148504835,3.0,23.0,-0.317280326,24.0,0.288074691,25.0,0.656116621,,,,,,,,,,
10,Pseudomonas_culture_Cisplatin_Bile__PAO1_untreated,0.0,0.3311978108978365,2.0,26.0,0.234192218,27.0,-0.234192218,,,,,,,,,,,,
11,Pseudomonas_culture_Cisplatin_Bile__PAO1_cisplatin,0.036949118,0.058357297791369354,2.0,28.0,-0.0043157230000000005,29.0,0.078213959,,,,,,,,,,,,
12,Pseudomonas_culture_Cisplatin_Bile__PAO1_bile,-0.21147047300000002,0.09803633743078415,2.0,30.0,-0.28079263200000004,31.0,-0.142148314,,,,,,,,,,,,
13,Catabolite_repression__del_hfq_crc_wt,0.0,0.04772076282930995,2.0,32.0,-0.033743675,33.0,0.033743675,,,,,,,,,,,,
