,PA5314
SRX7442752,-0.116570481
SRX7442753,0.116570481
SRX7442754,1.439865434
SRX7442755,1.253531296
SRX7442756,0.5783674120000001
SRX7442757,1.327513099
SRX7442758,0.8770933080000001
SRX7442759,0.690145094
SRX7442761,0.7611705820000001
SRX7874204,-0.004711739
SRX7874205,0.004711739
SRX7874206,-0.592087541
SRX7874207,-0.5601146920000001
SRX8639787,-0.052007601
SRX8639788,0.052007601
SRX8639789,-0.504841742
SRX8639790,-0.08790320700000001
SRX8639791,-0.27167895000000003
SRX8639792,-0.49922374900000005
SRX8639793,-1.692157549
SRX8639794,-1.505935462
SRX8639795,-1.533299504
SRX8639796,-1.419466675
SRX8639797,-0.34431232
SRX8639798,0.188314443
SRX8639800,-0.017481238
SRX1156127,0.08667968200000001
SRX1156135,-0.08667968200000001
SRX1156136,-0.427717031
SRX1156137,-0.345828104
SRX1156138,-0.86049444
SRX1156140,-0.867392358
ERX2195929,0.161104467
ERX2195930,-0.161104467
ERX2195931,-0.23800479200000002
ERX2195932,-0.10618640500000001
ERX2195933,-0.307940062
ERX2195934,-0.51823666
SRX4579961,0.18509608
SRX4579962,0.091050006
SRX4579963,-0.276146086
SRX4579964,1.43324784
SRX4579965,1.0667705060000001
SRX4579966,1.3941590270000002
SRX5630349,0.04721397
SRX5630350,-0.04721397
SRX5630351,0.567135901
SRX5630352,0.277576671
SRX1411278,-0.26687240500000003
SRX1411287,0.521719654
SRX1411289,0.223704867
SRX1411279,0.316457774
SRX1411280,-0.049585369000000004
SRX1411281,-0.423787297
SRX1411282,0.040341838000000005
SRX1411283,-0.861230347
SRX1411284,0.23477592500000002
SRX1411285,-0.312665226
SRX1411286,0.085224671
SRX1411288,0.545967879
SRX2711962,0.11928084
SRX2711963,-0.11928083900000001
SRX2711964,-0.44070764300000004
SRX2711965,-0.19468637900000002
SRX2711966,-0.767156995
SRX2711967,-1.249133233
ERX3558798,-0.149183731
ERX3558799,-0.128636538
ERX3558800,-0.037045439
ERX3558801,0.059561822
ERX3558802,0.024980503
ERX3558803,0.063599844
ERX3558804,-0.164690359
ERX3558805,0.076110013
ERX3593017,-0.506851024
ERX3593018,-0.7009018530000001
ERX3593020,0.050350032
ERX3593021,0.088974858
ERX3593022,-0.139324889
SRX7058492,0.169974812
SRX7058494,-0.579533771
SRX7058495,-0.6423642030000001
SRX7058509,-0.169974812
SRX2662717,-1.110983409
SRX2662718,-1.668894414
SRX2662721,0.217677905
SRX2662722,-0.217677904
SRX8143226,-0.539902041
SRX8143227,0.539902041
SRX8143228,-0.9160625960000001
SRX8143229,0.75887454
ERX2456848,0.624370293
ERX2456849,0.900093659
ERX2456850,0.765393408
ERX2456851,-1.331693424
ERX2456852,-0.809728497
ERX2456853,-0.702317056
ERX2456854,0.438718655
ERX2456855,0.601458983
ERX2456856,0.47735761400000004
ERX2456857,-0.788179096
ERX2456858,-0.267314486
ERX2456859,-0.462041672
SRX540108,-0.008681734
SRX540109,0.008681734
SRX540110,2.546127468
SRX540111,2.503950778
SRX540112,3.433042433
SRX540113,3.711736996
SRX540114,3.133205866
SRX540115,3.568066575
SRX1737662,0.925004904
SRX1737664,1.053586226
SRX1737665,0.924092879
SRX1737667,-0.137352103
SRX1737668,-0.014708259000000001
SRX1737670,0.152060363
SRX1516139,0.024652577000000002
SRX1516140,-0.024652578
SRX1516141,-0.189732651
SRX1516142,-0.455741129
SRX591667,-0.023035119
SRX591668,-0.45452421200000004
SRX591669,0.5831102
SRX591670,0.298832147
SRX591671,1.14078927
SRX591675,0.023035119
SRX591676,0.0011700220000000002
SRX591677,0.13747124
SRX591678,-0.5773438670000001
SRX591679,0.29143541700000003
SRX2520351,-0.579220252
SRX2520352,-0.5336708990000001
SRX2520353,-0.173294469
SRX2520354,-0.526946743
SRX2520355,0.27144865100000004
SRX2520356,0.38940057
SRX2520357,0.45204192800000004
SRX2520358,0.014293946
SRX2520359,-0.06649313
SRX2520360,0.16453904900000002
SRX2652927,0.6636784090000001
SRX2652931,0.870322546
SRX2652933,-0.100828995
SRX2652935,-0.068051437
SRX2652937,0.168880432
SRX2940624,-0.10415138500000001
SRX2940626,-0.610405921
SRX2940627,0.152350758
SRX2940628,-0.119130283
SRX2940629,-0.033220474
SRX3763712,-0.011418048
SRX3763714,0.011418049000000001
SRX3763715,0.8401659650000001
SRX3763716,0.9350718280000001
SRX3763717,1.079563348
ERX2259197,0.00273393
ERX2259198,-1.665502332
ERX2259199,-0.030223287
ERX2259200,0.030223287
SRX6976948,-0.186656377
SRX6976949,0.155717656
SRX6976950,0.030938722000000002
SRX6976951,1.544215729
SRX6976952,1.941452943
SRX6976953,1.914621667
SRX4342817,0.878854966
SRX4342818,-0.157527673
SRX4342819,1.911260977
SRX4342820,-0.704964127
SRX4342821,-0.016363167
SRX4342822,1.177304789
ERX2300159,-0.457811181
ERX2300160,0.457811181
ERX2300161,-0.403896497
ERX2300162,-0.7517720710000001
ERX2300163,2.122734987
ERX2300164,2.5441424440000002
ERX2300165,-0.787742312
ERX2300166,-0.643969208
ERX2300167,0.37712551
ERX2300168,0.20161033
ERX2300169,-1.4138152
ERX2300170,-0.6441879340000001
ERX2068556,-0.066795834
ERX2068557,-0.343875725
ERX2068558,-0.18298597300000002
ERX2068559,0.319945656
ERX2068560,-0.408240488
ERX2068561,0.088294833
SRX6747256,0.348877604
SRX6747257,0.246425782
SRX6747258,-0.01162406
SRX6747259,-0.333391239
SRX6747260,-0.250288087
SRX6747265,-2.235372333
SRX6747266,-2.284705651
SRX6747268,0.16953469300000001
SRX6747269,-0.168458391
SRX6747953,-0.137656222
SRX6747954,-0.09712198400000001
SRX6747955,0.23477820500000002
SRX6747957,-0.061485861
SRX6747958,-0.8163142290000001
SRX7747527,1.6701585520000002
SRX7747528,1.260072549
SRX7747537,1.736415547
SRX7747538,0.138833652
SRX7747540,-0.138833652
ERX2813653,-0.15946817700000002
ERX2813654,0.15946817700000002
ERX2813656,-1.940212489
ERX2813657,-1.830425374
ERX2813658,-1.975665217
Paeru_0017,-0.486668578
Paeru_0018,-0.19176874200000002
Paeru_0019,-0.8272713270000001
Paeru_0020,-0.9416595350000001
Paeru_0033,0.7384527620000001
Paeru_0034,0.569263512
Paeru_0035,0.01083628
Paeru_0036,0.105270371
Paeru_0037,-0.435786667
Paeru_0038,-0.268070443
Paeru_0039,-1.129725582
Paeru_0040,-1.008563848
Paeru_0041,-1.339961368
Paeru_0042,0.30915288500000004
Paeru_0043,-0.11493338300000001
Paeru_0044,-1.652131759
Paeru_0045,-1.121684442
Paeru_0046,1.870118715
Paeru_0047,1.671459863
Paeru_0048,-1.209351751
Paeru_0049,-1.372268456
Paeru_0050,-0.49696600900000004
Paeru_0051,-0.072641885
Paeru_0052,-2.171687019
Paeru_0053,-2.054320464
Paeru_0056,-0.787744273
Paeru_0057,-1.127278363
Paeru_0058,-2.256276124
Paeru_0059,-2.229899557
Paeru_0060,-0.147079338
Paeru_0061,-0.421130946
Paeru_0062,-0.717478826
Paeru_0063,1.6978396500000001
Paeru_0064,1.718112539
Paeru_0065,2.366986045
Paeru_0066,2.259234377
Paeru_0068,-0.8897547990000001
Paeru_0069,0.14477097700000002
Paeru_0070,1.920151448
Paeru_0071,2.079093418
Paeru_0072,2.101153685
Paeru_0073,0.5588591150000001
Paeru_0074,-0.18479552200000002
Paeru_0075,0.19510670500000002
Paeru_0077,-0.721515491
Paeru_0106,-0.10600163200000001
Paeru_0107,0.145273821
Paeru_0111,-0.463161804
Paeru_0112,-0.524620388
Paeru_0131,-0.12123624300000001
Paeru_0132,0.919181392
Paeru_0133,0.7168822970000001
Paeru_0134,1.122529214
Paeru_0135,1.6549304519999999
Paeru_0136,1.6485563010000002
Paeru_0137,0.232285552
Paeru_0138,0.396763868
Paeru_0161,-2.636530628
Paeru_0162,-2.53207817
Paeru_0166,0.602717112
Paeru_0167,0.9723959470000001
Paeru_0220,-2.804483326
Paeru_0221,-2.4294806700000002
Paeru_0258,0.473357662
Paeru_0259,1.357130593
Paeru_0260,-2.624493217
Paeru_0261,-7.169360381
Paeru_0262,-3.852519037
Paeru_0263,-1.214157403
Paeru_0264,-2.731163192
Paeru_0265,-0.644564682
Paeru_0266,0.03040261
Paeru_0267,-1.9931890970000001
Paeru_0268,1.599602345
Paeru_0269,-0.28806545100000003
Paeru_0270,0.7765253350000001
Paeru_0271,0.223252312
Paeru_0282,0.532029544
Paeru_0283,-1.319215687
Paeru_0284,-1.6086796520000002
Paeru_0285,-1.469566184
Paeru_0286,-1.220381063
Paeru_0287,-0.9170853590000001
SRX6923929,-0.106449712
SRX6923930,0.5137918810000001
SRX6923932,0.6528673570000001
SRX6923933,-0.38858116
SRX6923934,0.24857129600000002
SRX6923935,0.140009863
SRX7940213,-0.178924402
SRX7940214,-0.184784143
SRX7940215,0.36370854500000005
SRX7940216,-0.503975971
SRX7940217,-0.7212274740000001
SRX3169722,0.452910974
SRX3169723,0.508396119
SRX3169725,-0.021890184
SRX3169726,0.15873772900000002
