,PA3440a
SRX7442752,-0.018759323
SRX7442753,0.018759323
SRX7442754,-0.39618088
SRX7442755,-0.46886304900000003
SRX7442756,0.023108741000000002
SRX7442757,0.022994122000000002
SRX7442758,-0.039291014
SRX7442759,-0.9935272820000001
SRX7442761,-1.109669152
SRX7874204,-0.08964135000000001
SRX7874205,0.08964135000000001
SRX7874206,-0.8434703370000001
SRX7874207,-0.523681225
SRX8639787,-0.059127069000000004
SRX8639788,0.059127069000000004
SRX8639789,-0.47023310500000004
SRX8639790,-0.319883018
SRX8639791,0.284886876
SRX8639792,-0.08344958400000001
SRX8639793,-2.02494458
SRX8639794,-1.9260839
SRX8639795,-1.951014862
SRX8639796,-1.912198909
SRX8639797,-0.223819555
SRX8639798,0.09444740800000001
SRX8639800,0.11864577800000001
SRX2940624,0.174259814
SRX2940626,-0.554190838
SRX2940627,0.20032951000000002
SRX2940628,-0.217480674
SRX2940629,0.017151164
ERX2195929,0.11082659600000001
ERX2195930,-0.11082659600000001
ERX2195931,0.266595201
ERX2195932,0.056734621000000006
ERX2195933,-0.115607386
ERX2195934,0.015738212
SRX4579961,0.207738052
SRX4579962,0.40441139400000004
SRX4579963,-0.612149446
SRX4579964,2.003054484
SRX4579965,1.74561667
SRX4579966,1.769150104
SRX540108,-0.44538976700000005
SRX540109,0.44538976700000005
SRX540110,0.6685954430000001
SRX540111,0.9124021600000001
SRX540112,-1.157004424
SRX540113,-1.919922313
SRX540114,0.383222086
SRX540115,0.46829371500000005
SRX1737662,-0.148132822
SRX1737664,0.064355137
SRX1737665,-0.372153975
SRX1737667,-0.491646815
SRX1737668,0.119210515
SRX1737670,0.3724363
SRX6976948,0.062145471
SRX6976949,-0.11363938200000001
SRX6976950,0.051493911
SRX6976951,0.192351026
SRX6976952,0.22848400600000002
SRX6976953,0.229863441
SRX5630349,0.030368483
SRX5630350,-0.030368483
SRX5630351,-0.283068278
SRX5630352,-0.580628687
SRX4342817,0.26787621100000003
SRX4342818,0.097750317
SRX4342819,0.810270366
SRX4342820,-0.6019819150000001
SRX4342821,0.23635538800000003
SRX4342822,0.253404306
SRX1411278,-0.174705989
SRX1411287,-0.12341894900000001
SRX1411289,-0.121565457
SRX1411279,-0.07915024500000001
SRX1411280,0.253856234
SRX1411281,-0.671326137
SRX1411282,-0.46939043700000005
SRX1411283,-0.49438484200000005
SRX1411284,0.145744661
SRX1411285,-0.014280002000000002
SRX1411286,-0.812972632
SRX1411288,0.118081246
SRX2662717,0.467041835
SRX2662718,1.074490857
SRX2662721,-0.205392129
SRX2662722,0.205392129
ERX2300159,0.07508503600000001
ERX2300160,-0.07508503600000001
ERX2300161,-0.103137401
ERX2300162,0.15796088
ERX2300163,0.044145384
ERX2300164,-0.355042846
ERX2300165,-0.574464693
ERX2300166,-0.058441987
ERX2300167,0.11011132600000001
ERX2300168,0.358160323
ERX2300169,-0.147796487
ERX2300170,0.023626326000000003
SRX6747256,0.045363751
SRX6747257,-0.053800903000000004
SRX6747258,-0.037242375
SRX6747259,0.07068995800000001
SRX6747260,-0.025010431000000003
SRX6747265,-0.128744889
SRX6747266,0.057791551000000004
SRX6747268,0.232451961
SRX6747269,0.009630844000000001
ERX2456848,0.308593361
ERX2456849,0.24133509700000003
ERX2456850,0.353686563
ERX2456851,-0.533720179
ERX2456852,-0.45191529300000005
ERX2456853,-0.359371121
ERX2456854,0.269908531
ERX2456855,0.33184169500000005
ERX2456856,0.22333065900000001
ERX2456857,-0.398676122
ERX2456858,-0.16582315
ERX2456859,-0.260581613
SRX1156127,0.156847497
SRX1156135,-0.156847497
SRX1156136,-0.223552944
SRX1156137,-0.44117182600000004
SRX1156138,0.365127425
SRX1156140,0.321460004
ERX3558798,-0.437810641
ERX3558799,-0.07247985700000001
ERX3558800,-0.311927394
ERX3558801,-0.291721367
ERX3558802,-0.0035735080000000004
ERX3558803,0.070564473
ERX3558804,0.203467416
ERX3558805,-0.27045838
ERX3593017,-2.118013479
ERX3593018,-2.326056964
ERX3593020,-0.09372678100000001
ERX3593021,-0.019583081000000002
ERX3593022,0.11330986200000001
SRX2520351,-0.634491115
SRX2520352,-0.417851391
SRX2520353,-0.295168254
SRX2520354,-0.913840277
SRX2520355,0.32923007400000004
SRX2520356,0.274735131
SRX2520357,0.44837730200000003
SRX2520358,-0.8315206580000001
SRX2520359,-0.26782010300000003
SRX2520360,-0.032748733
SRX3169722,-0.070133595
SRX3169723,-0.15544143200000002
SRX3169725,0.059189361
SRX3169726,0.045560544
SRX3169728,-0.104749905
SRX8143226,-0.348249792
SRX8143227,0.348249792
SRX8143228,-0.09260614900000001
SRX8143229,0.651642751
SRX6853212,-0.055644152
SRX6853213,0.055644152
SRX6853214,0.187755223
SRX6853215,0.031083016
SRX7747527,-0.47013511
SRX7747528,-0.864209505
SRX7747537,-0.5602204190000001
SRX7747538,0.049162621000000004
SRX7747540,-0.049162621000000004
Paeru_0017,-0.8467372860000001
Paeru_0018,-1.007380826
Paeru_0019,-0.551954216
Paeru_0020,-0.622308693
Paeru_0033,-0.173439957
Paeru_0034,-0.750449695
Paeru_0035,-0.223775879
Paeru_0036,-0.47570609900000005
Paeru_0037,-0.149532974
Paeru_0038,-0.38455047000000003
Paeru_0039,-0.69098074
Paeru_0041,-0.7882396370000001
Paeru_0040,-0.9746196850000001
Paeru_0042,-0.5215481230000001
Paeru_0043,-0.5907639490000001
Paeru_0044,-0.435971339
Paeru_0045,-0.402849379
Paeru_0046,0.0033569010000000002
Paeru_0047,-0.0033569010000000002
Paeru_0048,0.097620465
Paeru_0049,-0.002345773
Paeru_0050,0.05444683
Paeru_0051,-0.037316880000000004
Paeru_0052,-0.36572156
Paeru_0053,-0.477879264
Paeru_0056,-0.5656517160000001
Paeru_0057,-0.5977283130000001
Paeru_0058,-0.230944432
Paeru_0059,-0.25185351300000003
Paeru_0060,-0.30039888200000003
Paeru_0061,-0.40327834100000004
Paeru_0062,-0.451208743
Paeru_0063,0.047179036
Paeru_0064,0.016893345
Paeru_0065,-0.1850243
Paeru_0066,-0.24573851700000002
Paeru_0068,-0.42387364200000005
Paeru_0069,0.19368375300000001
Paeru_0070,-0.44349877
Paeru_0071,-0.8762839210000001
Paeru_0072,-0.678669998
Paeru_0073,-0.309619152
