k,name,in_iM,gene_weight,regulator,function,category
94,Lrp,False,-0.025595638,lrp,Alanine catabolism,Amino Acid and Nucleotide Biosynthesis
115,Uncharacterized-14,False,0.025453645,,,Uncharacterized
2,PrrF,False,0.023034611,PrrF,2-Oxocarboxylic acid metabolism,Amino Acid and Nucleotide Biosynthesis
75,Singlet-9,False,0.022985754,,,Singlet
100,Uncharacterized-4,False,0.022737463000000003,,,Uncharacterized
105,Translational-3,False,0.022088388,,,Translational
106,NarL,False,0.021097608,Dnr/NarL,Denitrification (Nitrate),Amino Acid and Nucleotide Biosynthesis
0,LexA,False,-0.02095382,LexA,SOS response for DNA protection and repair,Stress Response
72,HexR-2,False,0.019674178,HexR,Glucose metabolism,Carbon Source Utilization
6,Translational-2,False,0.018197279,,,Translational
68,MdcR,False,0.017404693000000002,MdcR,Malonate synthesis,Miscellaneous Metabolism
59,NRPS,False,-0.017355649,,Nonribosomal peptide synthetase,Biosynthetic Gene Cluster
86,k-opioid,False,-0.016369298,k-opioid,Nonribosomal peptide synthetase (Pyoveridine),Biosynthetic Gene Cluster
7,PprB,False,0.016002846,PprB,Flp pilus assembly protein,Structural Components
49,RpoN,False,-0.015266371,RpoN,Starch and sucrose metabolism,Carbon Source Utilization
103,Uncharacterized-12,False,-0.014989958000000001,,,Uncharacterized
1,EatR,False,-0.01433388,EatR,Ethanolamine utilization,Amino Acid and Nucleotide Biosynthesis
95,Singlet-11,False,0.012924781000000002,,,Singlet
35,QscR-2,False,0.012911118000000001,QscR,Phenazine/Pyocyanin biosynthesis,Biosynthetic Gene Cluster
8,PhhR-1,False,-0.012765292000000001,PhhR/HmgR,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid and Nucleotide Biosynthesis
34,Uncharacterized-3,False,0.012383517,,,Uncharacterized
80,AauR,False,-0.011644931,AauR,D-Glutamate transport,Amino Acid and Nucleotide Biosynthesis
104,AcoR,False,-0.011072896,AcoR,"2,3-butanediol and acetoin catabolism",Carbon Source Utilization
101,CzcR,False,-0.011013815000000001,Fur/CzcR,Resistance-nodulation-cell division (RND) divalent metal cation,Antibiotic Resistance
52,Singlet-6,False,-0.010814465,,,Singlet
76,Uncharacterized-10,False,0.010797267000000001,,,Uncharacterized
55,Singlet-8,False,0.010614367000000001,,,Singlet
102,Cell Division,False,-0.010038362,,Cell wall biosynthesis,Structural Components
33,Singlet-4,False,0.009669832000000001,,,Singlet
12,Singlet-1,False,0.009651799,,,Singlet
42,RpoS-1,False,-0.009572412,AlgU/RpoN,General stress response,Stress Response
44,FleN-2,False,-0.009483661000000001,FleN,Bacterial chemotaxis,Structural Components
112,Anr-4,False,0.009404884,Anr+Dnr,Nitrite reductases,Amino Acid and Nucleotide Biosynthesis
71,Sigma-70,False,0.009281286000000001,Sigma-70,Prophages (YMC11/02/R656),Prophages
24,Sfa2,False,-0.009042537,Sfa2,H2-T6SS/Secretion system (VI),Secretion System
111,Fur,False,-0.00903949,Fur,Uncharaterized,Metal Homeostasis
46,Singlet-5,False,-0.008749748,,,Singlet
99,Anr-3,False,-0.008555374000000001,Dnr/NarL,Nitrate reductases,Amino Acid and Nucleotide Biosynthesis
27,Translational-1,False,-0.008303523,,,Translational
74,HypR,False,0.008161698,HypR,Redox-sensing,Amino Acid and Nucleotide Biosynthesis
87,CpxR,False,0.008028783000000001,CpxR/ParB,Various stress response,Antibiotic Resistance
63,AtsR,False,-0.007913009,AtsR,ABC transporter (Sulphur metabolism),Metal Homeostasis
66,MvfR,False,-0.007899234,MvfR,PQS signalling,Miscellaneous Metabolism
81,Uncharacterized-2,False,-0.007703209000000001,,,Uncharacterized
13,SoxR,False,-0.007671923000000001,SoxR,RND efflux pump,Antibiotic Resistance
82,AntR,False,-0.007647163,AntR,Degradation of anthranilate to tricarboxylic acid cycle intermediates,Miscellaneous Metabolism
114,CysB-3,False,-0.007575098000000001,YdfF,ABC transporter (Sulphur metabolism),Metal Homeostasis
16,NagQ,False,0.007095234000000001,NagQ/GbuR,N-acetylglucosamine catabolism,Carbon Source Utilization
48,SouR,False,-0.007033523000000001,SouR/DguR,Sarcosine Catabolism,Amino Acid and Nucleotide Biosynthesis
45,PA1226,False,-0.006844438,PA1226,Lipopolysaccharide synthesis,Structural Components
89,PmrA,False,-0.006828795,PmrA,Polymyxins resistance,Antibiotic Resistance
29,FoxR,False,-0.006644917,FoxR,Iron chelator,Metal Homeostasis
11,ExsB,False,-0.006630359000000001,ExsB,T3SS system,Secretion System
83,Anr-1,False,-0.006626644,Anr,Molybdenum cofactor biosynthesis,Metal Homeostasis
110,LaoR,False,0.006352794,MvaT/LaoR,Oxidation of Long-Chain Alcohols,Carbon Source Utilization
19,TagR1,False,-0.006304101,TagR1,H1-Type VI secretion system,Secretion System
84,Iron acquisition,False,0.006298033000000001,,Iron acquisition,Metal Homeostasis
