,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,0.2854807129147645,2.0,0.0,0.201865348,1.0,-0.201865348,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,0.014107806,0.6120567140846332,2.0,2.0,-0.41868164700000005,3.0,0.44689725900000005,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,0.25210977,0.21347671730208007,3.0,4.0,0.051876723000000007,5.0,0.227717844,6.0,0.476734743,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,-0.227814715,0.18278354901804028,2.0,7.0,-0.098567228,8.0,-0.357062202,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,0.0,0.36324044661118643,2.0,9.0,0.256849783,10.0,-0.256849783,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,1.964989708,2.1272626851009715,2.0,11.0,0.460787838,12.0,3.469191578,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.0951656055215331,2.0,13.0,-0.067292245,14.0,0.067292245,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,0.015379208000000002,0.19169664709530038,4.0,15.0,-0.231855837,16.0,0.055377682000000004,17.0,0.233112063,18.0,0.004882924,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,-2.93839216925,0.33560244633272956,4.0,19.0,-3.181263263,20.0,-2.757216821,21.0,-3.256953046,22.0,-2.558135547,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,-0.203024608,0.248272018405783,3.0,23.0,-0.087463724,24.0,-0.033597531,25.0,-0.488012569,,,,,,,,,,
10,Catabolise_Nucleic_Acids__L_asp,-0.35656506050000003,0.019277172645872098,2.0,26.0,-0.37019608,27.0,-0.342934041,,,,,,,,,,,,
11,Catabolise_Nucleic_Acids__DNA_1,-9.25185853854297e-18,0.22131315785767502,3.0,28.0,0.2526131,29.0,-0.159765183,30.0,-0.092847917,,,,,,,,,,
12,Catabolite_repression__del_hfq_crc_wt,0.0,0.271807700213944,2.0,31.0,-0.192197068,32.0,0.192197068,,,,,,,,,,,,
13,Catabolite_repression__delHfq,-0.6521695725000001,0.12126975554683224,2.0,33.0,-0.737920239,34.0,-0.566418906,,,,,,,,,,,,
14,Catabolite_repression__deldcrc,-0.599606111,0.000554373130663859,2.0,35.0,-0.5999981120000001,36.0,-0.59921411,,,,,,,,,,,,
15,Diallyl_disulphide_treatment__PAO1_ctrl_wt,0.0,0.2398757030996358,3.0,37.0,0.008850145,38.0,-0.24417829800000002,39.0,0.235328153,,,,,,,,,,
16,Diallyl_disulphide_treatment__PAO1_DDS,-8.995833542,0.44267210996660583,3.0,40.0,-8.565184930000001,41.0,-8.972694168,42.0,-9.449621528,,,,,,,,,,
17,Dispersed_cells__PAO1_dispersed_wt,0.0,0.642419254186389,2.0,43.0,0.45425901100000005,44.0,-0.45425901100000005,,,,,,,,,,,,
18,Dispersed_cells__PyhjH_dispersed,0.09146871900000002,0.38473995051141746,2.0,45.0,-0.180583509,46.0,0.36352094700000004,,,,,,,,,,,,
19,Dispersed_cells__PA01_Planktonic,-0.88445742,1.1561911690736784,2.0,47.0,-0.066906804,48.0,-1.702008036,,,,,,,,,,,,
20,Dispersed_cells__PAO1_Biofilm,0.4493424575,0.9043395601820677,2.0,49.0,-0.190122178,50.0,1.088807093,,,,,,,,,,,,
21,Doxorubicin_treatment__PAO1 _wspFpelApslBCD_Doxorubicin,-0.0003615370000000044,0.7583366673231461,3.0,51.0,0.747682611,52.0,0.019820607,53.0,-0.768587829,,,,,,,,,,
22,Doxorubicin_treatment__PAO1 _wspFpelApslBCD_wt,-3.3333332390602283e-10,0.5782527195087717,3.0,54.0,0.606290019,55.0,-0.060894072,56.0,-0.545395948,,,,,,,,,,
23,Farnesol_treatment__RNA of 0-1F_L,0.0,0.023403214942567252,3.0,57.0,-0.026644798,58.0,0.009417079,59.0,0.017227719000000002,,,,,,,,,,
24,Farnesol_treatment__RNA of 6-F_L1,-0.6890616803333334,0.6864277400442114,3.0,60.0,-1.481607422,61.0,-0.302088155,62.0,-0.283489464,,,,,,,,,,
25,G_Quadruplex_Gene_Regulation__rG4seq_P_K_rep,0.0,0.18217067694336891,2.0,63.0,0.128814121,64.0,-0.128814121,,,,,,,,,,,,
26,G_Quadruplex_Gene_Regulation__rG4seq_P_Li_rep,-0.8108734345,0.7202244046442597,2.0,65.0,-1.320148995,66.0,-0.30159787400000004,,,,,,,,,,,,
27,Glucose_uptake_defective_mutants__PAO1_glu_wt,-2.4999999292951713e-10,0.44156468542692634,4.0,67.0,-0.067927649,68.0,0.28838545,70.0,-0.596468019,71.0,0.37601021700000004,,,,,,,,
28,Glucose_uptake_defective_mutants__PAO1_delglucose_60min,1.5747484010000001,0.2734331081870812,2.0,69.0,1.7680948060000001,72.0,1.3814019960000001,,,,,,,,,,,,
29,HapZ_SagS_mutant__PA_HapZ_SagS_wt,-3.33333360913457e-10,1.7316866786771759,3.0,73.0,-0.9321114170000001,76.0,1.998085402,77.0,-1.065973986,,,,,,,,,,
30,HapZ_SagS_mutant__delHapZp,-0.6010425686666666,0.5087958715189521,3.0,74.0,-0.260266277,75.0,-1.185890457,84.0,-0.356970972,,,,,,,,,,
31,HapZ_SagS_mutant__delHApZ,-0.5747470663333334,0.5013452858197689,3.0,78.0,-1.138146458,79.0,-0.40829900700000005,80.0,-0.177795734,,,,,,,,,,
32,HapZ_SagS_mutant__delSagS,0.6298293819999999,1.4964917862520866,3.0,81.0,0.259040922,82.0,-0.646410612,83.0,2.276857836,,,,,,,,,,
33,Lung_infection_transcriptome__PA01_LS1,2.9246201359999997,0.25718703856132635,2.0,85.0,2.742761437,86.0,3.106478835,,,,,,,,,,,,
34,Lung_infection_transcriptome__PA01_CS1,0.0,0.8580157087193021,2.0,87.0,0.606708726,88.0,-0.606708726,,,,,,,,,,,,
35,Metabolic_fitness_plasmid__PAO1_metabolites_wt,0.0,0.13761212816643714,2.0,89.0,-0.097306469,90.0,0.097306469,,,,,,,,,,,,
36,Metabolic_fitness_plasmid__PAO1_pAKD1,0.041352467,0.1737335057003087,2.0,91.0,0.164200607,92.0,-0.081495673,,,,,,,,,,,,
37,Metabolic_fitness_plasmid__PAO1_PAMBL1,-0.086050758,0.4905405339458778,2.0,93.0,0.26081378,94.0,-0.432915296,,,,,,,,,,,,
38,Metabolic_fitness_plasmid__PAO1_PAMBL2,0.31667598100000005,0.6113660984477975,2.0,95.0,-0.115625133,96.0,0.7489770950000001,,,,,,,,,,,,
39,Metabolic_fitness_plasmid__PAO1_pBS228,-0.184466607,1.0473811052373625,2.0,97.0,0.5561436750000001,98.0,-0.9250768890000001,,,,,,,,,,,,
40,Metabolic_fitness_plasmid__PAO1_RmS149,0.3353110235,0.19384507566168946,2.0,99.0,0.19824185600000002,100.0,0.472380191,,,,,,,,,,,,
41,Mucin_glycans__ABTGC,-1.1102230246251566e-17,0.31166719876009547,5.0,101.0,-0.28441465800000004,102.0,-0.153392481,103.0,-0.23466547000000001,104.0,0.374624014,105.0,0.297848595,,,,,,
42,Mucin_glycans__MUC5B,-1.5479900075000002,0.531681043800959,2.0,106.0,-1.923945279,107.0,-1.172034736,,,,,,,,,,,,
43,Mucin_glycans__Glycans,-0.098795883,0.28645907009985494,2.0,108.0,0.103761268,109.0,-0.301353034,,,,,,,,,,,,
44,Planktonic_biofilm_coumarin__E-MTAB-6629:BC_COU,0.03677333966666667,0.01622220965217422,3.0,110.0,0.053550337,111.0,0.021169624,112.0,0.035600058000000004,,,,,,,,,,
45,Planktonic_biofilm_coumarin__E-MTAB-6629:PC_COU,-0.30671219433333335,0.23253554320367228,3.0,113.0,-0.56880292,114.0,-0.125128554,115.0,-0.22620510900000002,,,,,,,,,,
46,Planktonic_biofilm_coumarin__E-MTAB-6629:BC_CTRL,0.0,0.26069687717399453,6.0,116.0,0.019282587,117.0,0.196903074,118.0,0.354208686,119.0,-0.349396026,120.0,0.009313537,121.0,-0.230311858,,,,
47,Pseudomonas_culture_Cisplatin_Bile__PAO1_untreated,0.0,1.543728368957646,2.0,122.0,1.091580798,123.0,-1.091580798,,,,,,,,,,,,
48,Pseudomonas_culture_Cisplatin_Bile__PAO1_cisplatin,0.45570469,0.29375900574937347,2.0,124.0,0.663423675,125.0,0.24798570500000003,,,,,,,,,,,,
49,Pseudomonas_culture_Cisplatin_Bile__PAO1_bile,1.091667442,0.1019119373725658,2.0,126.0,1.01960482,127.0,1.1637300640000001,,,,,,,,,,,,
50,Pseudomonas_culture_MOPS_Glycerol_Acetate__PAO1_Acetate,0.61338870075,0.28949667152536274,4.0,128.0,1.031817923,129.0,0.46371955200000003,130.0,0.5734149980000001,131.0,0.38460233,,,,,,,,
51,Pseudomonas_culture_MOPS_Glycerol_Acetate__PAO1_Glycerol,-1.3877787807814457e-17,0.5432340153713011,4.0,132.0,0.325753402,133.0,0.543145647,134.0,-0.6654195820000001,135.0,-0.20347946700000002,,,,,,,,
