locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,CueR,link
PA3519,0.305478831,PA3519,,hypothetical protein,Coenzyme transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3519&e1=1&assembly=complete
PA3518,0.28105138500000004,PA3518,,hypothetical protein,Coenzyme transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3518&e1=1&assembly=complete
PA3523,0.24018983900000002,PA3523,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3523&e1=1&assembly=complete
PA3517,0.214348851,PA3517,,adenylosuccinate lyase,Nucleotide transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3517&e1=1&assembly=complete
PA3516,0.20790631,PA3516,,adenylosuccinate lyase,Nucleotide transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3516&e1=1&assembly=complete
PA3920,0.207877361,PA3920,,metal transporting P-type ATPase,Inorganic ion transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3920&e1=1&assembly=complete
PA3574a,0.18857725800000003,PA3574a,,copper chaperone CopZ,Inorganic ion transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3574a&e1=1&assembly=complete
PA3522,0.15535742200000002,PA3522,,resistance-nodulation-cell division (RND) efflux transporter,"Intracellular trafficking, secretion, and vesicular transport",CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3522&e1=1&assembly=complete
PA3521,0.120614471,PA3521,,hypothetical protein,Cell wall/membrane/envelope biogenesis,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3521&e1=1&assembly=complete
PA3515,0.11613440300000001,PA3515,,hypothetical protein,"Translation, ribosomal structure and biogenesis",CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3515&e1=1&assembly=complete
PA4878,0.08715882100000001,PA4878,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4878&e1=1&assembly=complete
PA1137,0.083220628,PA1137,,oxidoreductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1137&e1=1&assembly=complete
PA3520,0.076521906,PA3520,,hypothetical protein,Inorganic ion transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3520&e1=1&assembly=complete
