,0
name,AmrZ
TF,RsmA/AmrZ
regulator,"<a href=""https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=RsmA&e1=1&assembly=complete"" target=""_blank"">RsmA</a> or <a href=""https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=AmrZ&e1=1&assembly=complete"" target=""_blank"">AmrZ</a>"
function,Exopolysaccharide biosynthesis
category,Structural Components
has_venn,True
scatter,2
exp_var,0.003563082169714682
precision,0.27777778000000003
recall,0.57692308
