,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,1.5204746353809315,2.0,0.0,1.0751379253,1.0,-1.0751379253,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,-4.66613223235,0.03128317509963768,2.0,2.0,-4.6440116871,3.0,-4.6882527776,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,-1.9362958729666666,0.40349867812722423,3.0,4.0,-1.7824054729,5.0,-2.3940947087,6.0,-1.6323874373,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,-4.7006240294,0.11118377760155981,2.0,7.0,-4.6220052263,8.0,-4.7792428325,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,4.999999025923074e-11,0.27592597969800364,2.0,9.0,-0.19510913130000002,10.0,0.1951091314,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,-14.81969214005,0.10987411126170923,2.0,11.0,-14.8973848692,12.0,-14.7419994109,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.06417012395759959,2.0,13.0,-0.045375129800000004,14.0,0.045375129800000004,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,1.6897117112750002,2.7825664816095226,4.0,15.0,5.316816722,16.0,2.4240958043,17.0,-0.3872920151,18.0,-0.5947736661,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,5.5923999354,0.49649988967054115,4.0,19.0,5.9083236207,20.0,4.8691626617,21.0,5.6662408741,22.0,5.9258725851000005,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,-0.5421902319666667,0.25366894966818637,3.0,23.0,-0.7926341065,24.0,-0.2854147493,25.0,-0.5485218401,,,,,,,,,,
10,Catabolise_Nucleic_Acids__L_asp,0.38310986505,0.15062746092078674,2.0,26.0,0.27660016600000004,27.0,0.4896195641,,,,,,,,,,,,
11,Catabolise_Nucleic_Acids__DNA_1,3.700743415417188e-17,0.7313692236096239,3.0,28.0,0.26338788700000004,29.0,0.5631952973000001,30.0,-0.8265831843,,,,,,,,,,
12,Catabolite_repression__del_hfq_crc_wt,0.0,0.06100434523851609,2.0,31.0,0.0431365862,32.0,-0.0431365862,,,,,,,,,,,,
13,Catabolite_repression__delHfq,-7.9216575378,0.07006162848115885,2.0,33.0,-7.8721164852,34.0,-7.9711985904,,,,,,,,,,,,
14,Catabolite_repression__deldcrc,-11.97115064295,0.14881129335717644,2.0,35.0,-11.8659251683,36.0,-12.0763761176,,,,,,,,,,,,
15,Diallyl_disulphide_treatment__PAO1_ctrl_wt,-3.614007241618348e-20,0.005463718876560555,3.0,37.0,-0.0051337253,38.0,0.0057426889,39.0,-0.0006089636,,,,,,,,,,
16,Diallyl_disulphide_treatment__PAO1_DDS,-5.5309252485,0.8545050754869654,3.0,40.0,-5.1725087844,41.0,-6.5062692433,42.0,-4.9139977178,,,,,,,,,,
