,98
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,0.5348994696
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-0.5348994696
AB569_EDTA_NaNO2:NaNO2:1,5.7230742269
AB569_EDTA_NaNO2:NaNO2:2,5.3061079809
AB569_EDTA_NaNO2:EDTA:1,1.2731282631
AB569_EDTA_NaNO2:EDTA:2,2.3258100701
AB569_EDTA_NaNO2:EDTA:3,0.6033574783
AB569_EDTA_NaNO2:NaNO2_EDTA:1,7.2295560672
AB569_EDTA_NaNO2:NaNO2_EDTA:2,7.3228212241
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.5555274866000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.5555274866000001
Anthranilate_metabolism_GntR_AntP:antP:1,0.6216390033
Anthranilate_metabolism_GntR_AntP:antP:2,0.751109078
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.0429673602
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.0429673602
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.4763305316
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,0.4993030807
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.3654595337
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.9016167132
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-8.16857052
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-6.1636872727
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-8.5450061376
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-8.3673188093
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.8408519524
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,1.4331735085
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,1.8139535017
Catabolise_Nucleic_Acids:L_asp:1,1.6160012721
Catabolise_Nucleic_Acids:L_asp:2,-4.9235655172
Catabolise_Nucleic_Acids:DNA_1:1,-0.09269504370000001
Catabolise_Nucleic_Acids:DNA_1:2,0.4491404456
Catabolise_Nucleic_Acids:DNA_1:3,-0.3564454019
Catabolite_repression:del_hfq_crc_wt:1,-0.0124624379
Catabolite_repression:del_hfq_crc_wt:2,0.0124624379
Catabolite_repression:delHfq:1,0.008938730800000001
Catabolite_repression:delHfq:2,-0.42029822310000003
Catabolite_repression:deldcrc:1,0.146237898
Catabolite_repression:deldcrc:2,0.6593298847
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,-0.4011242453
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,0.1670732881
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,0.23405095720000002
Diallyl_disulphide_treatment:PAO1_DDS:1,-2.5576985834
Diallyl_disulphide_treatment:PAO1_DDS:2,-2.0955164221
Diallyl_disulphide_treatment:PAO1_DDS:3,-1.2980716191
Dispersed_cells:PAO1_dispersed_wt:1,1.1743933249
Dispersed_cells:PAO1_dispersed_wt:2,-1.1743933249
Dispersed_cells:PyhjH_dispersed:1,-2.7391336155
Dispersed_cells:PyhjH_dispersed:2,-0.19700888190000002
Dispersed_cells:PA01_Planktonic:1,-0.9286829562000001
Dispersed_cells:PA01_Planktonic:2,0.9927993175000001
Dispersed_cells:PAO1_Biofilm:1,1.6590543246
Dispersed_cells:PAO1_Biofilm:2,-1.4799411822000001
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:1,-0.9858792740000001
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:2,-0.940482326
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:3,-0.7905867445
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:1,0.3199335985
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:2,0.17074888570000002
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:3,-0.4906824842
Farnesol_treatment:RNA of 0-1F_L:1,-0.2453304832
Farnesol_treatment:RNA of 0-1F_L:2,0.3473511191
Farnesol_treatment:RNA of 0-1F_L:3,-0.1020206359
Farnesol_treatment:RNA of 6-F_L1:1,0.8980135835
Farnesol_treatment:RNA of 6-F_L1:2,0.08345177890000001
Farnesol_treatment:RNA of 6-F_L1:3,0.5449637762
G_Quadruplex_Gene_Regulation:rG4seq_P_K_rep:1,1.2045278579
G_Quadruplex_Gene_Regulation:rG4seq_P_K_rep:2,-1.2045278579
G_Quadruplex_Gene_Regulation:rG4seq_P_Li_rep:1,-0.9062339909
G_Quadruplex_Gene_Regulation:rG4seq_P_Li_rep:2,-0.2917199414
Glucose_uptake_defective_mutants:PAO1_glu_wt:1,0.0282752366
Glucose_uptake_defective_mutants:PAO1_glu_wt:2,-0.6851111178
Glucose_uptake_defective_mutants:PAO!_delglucose_60min:1,2.730241413
Glucose_uptake_defective_mutants:PAO1_glu_wt:3,-0.926092436
Glucose_uptake_defective_mutants:PAO1_glu_wt:4,1.5829283172
Glucose_uptake_defective_mutants:PAO!_delglucose_60min:2,0.8413685305
HapZ_SagS_mutant:PA_HapZ_SagS_wt:1,-0.3748041541
HapZ_SagS_mutant:delHapZp:1,0.3894338014
HapZ_SagS_mutant:delHapZp:2,-0.5958918973
HapZ_SagS_mutants:PA_HapZ_SagS_wt:2,0.8714323301
HapZ_SagS_mutants:PA_HapZ_SagS_wt:3,-0.49662817600000003
HapZ_SagS_mutants:delHApZ:1,0.1451172423
HapZ_SagS_mutants:delHApZ:2,0.5288645624
HapZ_SagS_mutants:delHApZ:3,0.8785958286000001
HapZ_SagS_mutants:delSagS:1,0.1900694768
HapZ_SagS_mutants:delSagS:2,-0.3020998593
HapZ_SagS_mutants:delSagS:3,0.9984846103
