,regulator,regulator_id,gene_id,gene_name,Pputida,evidence
0,Zur,PP_0119,PP_0117,znuB,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
1,Zur,PP_0119,PP_0118,znuC,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
2,Zur,PP_0119,PP_0119,zur,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
3,Zur,PP_0119,PP_0120,znuA,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
4,Zur,PP_0119,PP_0506,PP_0506,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067, same operon with PP_0508"
5,Zur,PP_0119,PP_0507,PP_0507,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067, same operon with PP_0508"
6,Zur,PP_0119,PP_0508,PP_0508,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
7,Zur,PP_0119,PP_1446,PP_1446,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
8,Zur,PP_0119,PP_3320,PP_3320,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
9,Zur,PP_0119,PP_3321,PP_3321,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
10,Zur,PP_0119,PP_3322,hemBB,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
11,Zur,PP_0119,PP_3323,PP_3323,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
12,Zur,PP_0119,PP_3324,folEB,True,"RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
