,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,ALE__GalactoseA5,1.3152397560000004,0.2503875534935521,2.0,0.0,1.4922904930000005,1.0,1.1381890190000004,,,,
1,ALE__GalactoseA6,3.1562184070000003,0.01761275712715048,2.0,2.0,3.168672507,3.0,3.1437643070000005,,,,
2,ALE__GalactoseA8,1.3746691610000004,0.16448815100433206,2.0,4.0,1.2583584740000004,5.0,1.4909798480000005,,,,
3,ALE__IL_Control,4.163336342344337e-16,0.6050061963566481,4.0,6.0,-0.5667727679999994,7.0,-0.4033250469999996,8.0,0.2170469080000003,9.0,0.7530509070000004
4,ALE__IL_TEOH_OAc,0.6678029910000003,0.13666484973859344,2.0,10.0,0.5711663490000003,11.0,0.7644396330000003,,,,
5,ALE__IL_TEA_HS,0.8914608710000007,0.04933863870101407,2.0,12.0,0.8565731850000007,13.0,0.9263485570000008,,,,
6,ALE__IL_Mixed,0.8014639480000005,0.03698863692992918,2.0,14.0,0.8276188640000006,15.0,0.7753090320000005,,,,
7,ALE__IL_PP5350,0.9940761865000007,0.20891167137743547,2.0,16.0,1.141799046000001,17.0,0.8463533270000005,,,,
8,ALE__IL_T8,1.0148710920000008,0.1480839581601683,2.0,18.0,0.9101599210000008,19.0,1.1195822630000007,,,,
9,ALE__IL_T9,4.0052403420000005,0.02217263702900827,2.0,20.0,4.020918764,21.0,3.9895619200000008,,,,
10,ALE__IL_Control2,2.5989396685000004,0.03317057780246626,2.0,22.0,2.5754845280000005,23.0,2.622394809,,,,
11,ALE__IL_Glc+Ace,1.0795769675000009,0.14541274845004437,2.0,24.0,0.9767546270000008,25.0,1.1823993080000008,,,,
12,ALE__XyloseA1,1.2878497980000003,0.10897969451048166,2.0,26.0,1.2107895170000005,27.0,1.3649100790000004,,,,
13,ALE__XyloseA2,0.9880958745000005,0.03667676112012573,2.0,28.0,1.0140302610000005,29.0,0.9621614880000005,,,,
14,ALE__XyloseA3,1.2557751740000005,0.12006488306834986,2.0,30.0,1.1708764810000003,31.0,1.3406738670000005,,,,
15,ALE__XyloseA4,1.4308383120000006,0.13569947079136538,2.0,32.0,1.5267923280000009,33.0,1.3348842960000002,,,,
16,Aromatic__Coumarate,0.2657780656666663,0.34294476720682315,3.0,34.0,0.646082122666666,35.0,-0.0199654453333337,36.0,0.1712175196666665,,
17,Aromatic__Coumarate+ferulate,0.5793604313333333,0.15716229236250004,3.0,37.0,0.7579202446666669,38.0,0.4620219976666666,39.0,0.5181390516666662,,
18,Aromatic__Ferulate,0.09017807233333312,0.28087809686966625,3.0,40.0,-0.2280299283333335,41.0,0.1949658086666668,42.0,0.3035983366666661,,
19,Aromatic__Glucose,-1.3415194880887307e-16,0.16349514589105343,3.0,43.0,0.1879456006666666,44.0,-0.0785455153333334,45.0,-0.1094000853333336,,
20,Bioreactor1__24h,0.0,0.3628345432771548,2.0,46.0,-0.256562766,47.0,0.256562766,,,,
21,Bioreactor2__S_0min,-4.070817756958907e-16,0.22874491698992847,3.0,48.0,0.2597265643333331,60.0,-0.0882601466666672,72.0,-0.1714664176666671,,
22,Bioreactor2__S_15min,0.5575735906666662,0.25928324093203897,3.0,49.0,0.3964078563333331,61.0,0.8566673353333325,73.0,0.419645580333333,,
23,Bioreactor2__P1_15min,0.24928420766666634,0.24038506352542283,3.0,50.0,0.103950064333333,62.0,0.5267523263333329,74.0,0.1171502323333331,,
24,Bioreactor2__P3_15min,0.196010839333333,0.1082607393088024,3.0,51.0,0.197956629333333,63.0,0.3032855683333331,75.0,0.0867903203333329,,
25,Bioreactor2__P5_15min,-0.2385420306666669,0.10524506618544796,3.0,52.0,-0.1209792216666669,64.0,-0.2706632886666669,76.0,-0.3239835816666669,,
26,Bioreactor2__S_1h,0.33040031833333305,0.13497691835847975,3.0,53.0,0.4758883703333332,65.0,0.209244635333333,77.0,0.3060679493333329,,
27,Bioreactor2__S_3h,0.25461133566666616,0.14774017203979822,3.0,54.0,0.0847475883333328,66.0,0.3532139423333329,78.0,0.3258724763333327,,
28,Bioreactor2__S_9h,0.34808245066666627,0.12104401423544855,3.0,55.0,0.4288490893333332,67.0,0.4064878753333327,79.0,0.2089103873333329,,
29,Bioreactor2__S_25h,0.27417633066666625,0.3294923819613324,3.0,56.0,0.2175958033333329,68.0,0.6282950963333329,80.0,-0.0233619076666671,,
30,Bioreactor2__P1_25h,0.26753830766666625,0.14412749978787515,3.0,57.0,0.2500721733333328,69.0,0.419602937333333,81.0,0.1329398123333329,,
31,Bioreactor2__P3_25h,-0.10436970966666707,0.14233413293126593,3.0,58.0,-0.0970396486666671,70.0,-0.250227243666667,82.0,0.0341577633333329,,
32,Bioreactor2__P5_25h,-0.39603165866666723,0.29116976013203305,3.0,59.0,-0.1779074926666672,71.0,-0.2835170836666671,83.0,-0.7266703996666672,,
33,Carbon__Citrate,-0.23119603450000023,0.4548215080124829,3.0,84.0,-0.6817071605000002,85.0,0.2278166634999996,86.0,-0.2396976065,,
34,Carbon__Ferulate,-0.14932800983333325,0.21598562120421763,3.0,87.0,-0.3430556495000001,88.0,0.0835578295000001,89.0,-0.1884862094999997,,
35,Carbon__Glucose,0.0,0.11567977945670432,2.0,90.0,-0.0817979564999999,91.0,0.0817979564999999,,,,
36,Carbon__Serine,-1.4346757481666668,0.8300918536255142,3.0,92.0,-1.3714312945000002,93.0,-0.6380150585000002,94.0,-2.2945808915,,
37,Carbon2__Glucose,-5.9905784037065735e-16,0.030127510762032197,3.0,95.0,-0.0108721486666674,96.0,0.034054498333333,97.0,-0.0231823496666674,,
38,Carbon2__Coumarate,-0.019028238000000346,0.30669929674047314,3.0,98.0,0.3340822583333329,99.0,-0.219018324666667,100.0,-0.1721486476666669,,
39,Crc__Control,0.0,0.020128657903855186,2.0,101.0,0.0142331105000002,102.0,-0.0142331105000002,,,,
40,Crc__Del_crc,0.33663638649999994,0.3966421203447741,2.0,103.0,0.0561680534999995,104.0,0.6171047195000003,,,,
41,Crc__Del_crcZ_crcY,0.1854906559999998,0.27204287756540574,2.0,105.0,0.3778540194999999,106.0,-0.0068727075000003,,,,
42,FinR__Control,-1.3415194880887307e-16,0.04173602940809109,3.0,107.0,-0.0328887180000001,108.0,-0.0140621210000002,109.0,0.0469508389999999,,
43,FinR__Del_finR,-0.1294690626666668,0.16993342124596092,3.0,110.0,-0.0875691550000001,111.0,-0.31643307,112.0,0.0155950369999997,,
44,FleQ__Del_fleQ,0.2946555920000001,0.1628525793625346,3.0,113.0,0.4504430873333334,114.0,0.1255551843333333,115.0,0.3079685043333335,,
45,FleQ__OE_wspR,-0.0577400846666666,0.3071832111358444,3.0,116.0,-0.0274117216666667,117.0,0.2331540093333335,119.0,-0.3789625416666666,,
46,FleQ__Control,3.180326372624146e-17,0.04173686027399997,3.0,118.0,0.0469518613333335,120.0,-0.0328890886666668,121.0,-0.0140627726666666,,
47,Fuel__Butanol,-0.1473645415000005,0.34118828926398326,2.0,122.0,0.0938920114999994,123.0,-0.3886210945000004,,,,
48,Fuel__Control,-4.510281037539698e-16,0.09732311912568727,2.0,124.0,-0.0688178375000001,125.0,0.0688178374999992,,,,
49,Fuel__Isopentanol,0.4714278184999996,1.0987664899723657,2.0,126.0,-0.3055174175000008,127.0,1.2483730545,,,,
