k,name,in_iM,gene_weight,regulator,function,category
51,Phage-2,True,0.096543458860578,,Phage related,Phage
75,Noise-5,False,0.0298887829901436,,"Noise, PP_1864, hypothetical protein, 153 bp",Uncharacterized
7,Genomic-1,False,-0.0295280056741067,,Muconate production study,Genomic
18,Unchar-1,False,0.0286008197911993,,Unknown,Uncharacterized
60,GlnG,False,0.0265044374902273,GlnG,Amino acid transportation,Amino acid
15,Phage-1,False,0.0248791773682445,,Phage related,Phage
69,FnrA-2,False,0.0242916870586683,FnrA,potentially iron metabolism,Energy generation
48,Metr-I,False,0.0238743235499833,Metr-I,Homocysteine metabolism,Amino acid
33,Unchar-4,False,0.0226055394363197,,ICE related,Uncharacterized
41,Unchar-5,False,0.0221731511910393,,Unknown,Uncharacterized
79,Null-3,False,-0.021544073473775,,Null,Uncharacterized
56,PP_5350,False,0.02149063784558,PP_5350,Glyoxylate and dicarboxylate metabolism,Carbon
43,AcoR,False,-0.0214766404016959,AcoR,Acetoin catabolism,Carbon
27,BenR,False,0.021177436525283,BenR,Aromatic acid catabolism,Carbon
81,AA transport,False,0.0198416318658704,,Amino acid transportation,Amino acid
63,Noise-4,False,-0.019357043115069,,"Noise, kdpF, too small peptide",Uncharacterized
17,Putrescine,False,0.0188907354570821,,Polyamine metabolism,Carbon
67,TurA-2,False,0.0186570154516197,TurA,Chaeperone,Translation
0,Null-1,False,-0.0171605325042273,,Null,Uncharacterized
30,PvdS,False,0.015683341678894,PvdS,Pyoverdine biosynthesis,Secondary metabolite
78,HmgR,False,0.0144499241530744,HmgR,Tyrosine metabolism,Amino acid
39,PplR1,False,-0.0138629484690893,PplR1,Light inducible iModulon,Stress
13,FnrA-1,False,-0.0137972590949607,FnrA,Redox state homeostasis,Energy generation
26,Exporters,False,0.0114960037947214,,"FleQ related exporters, aldehyde stress",Stress
54,RbsR,False,-0.0113968185144408,RbsR,"Ribose, nicotinic acid catabolism",Carbon
80,GlcC,False,-0.0113275022736581,GlcC,Glycolate catabolism,Carbon
42,Unchar-6,False,-0.0111241577050769,,mfsR related,Uncharacterized
28,PtxS,False,-0.0111193746874453,PtxS,Sugar catabolism,Carbon
31,BkdR,False,0.0109216645041302,BkdR,Starvation response,Stress
29,Noise-2,False,-0.0108774075157319,,"Noise, PP_1176 hypothetical protein, 135 bp",Uncharacterized
68,FleQ/AmrZ,False,0.0106401974404907,FleQ,Flagella synthesis,Structural components
70,FruR,False,0.0103743425968822,FruR,Fructose catabolism,Carbon
3,Multiple stress-1,False,0.0101285908896782,,Multiple stress response,Stress
64,PsrA,False,-0.0100422611581766,PsrA,Fatty acid catabolism,Carbon
73,GcsR,False,0.0093950041661791,GcsR,Glycine metabolism,Amino acid
4,PedR1-1,False,-0.0091409845061974,PedR1,Alcohol/aromatics catabolism,Carbon
58,PP_0204/CysB,False,0.0088928012779738,PP_0204,Sulfur metabolism,Element homeostasis
45,Genomic-2,False,0.0085831165531105,,TurA deletion,Genomic
38,FliA,False,-0.008459606443356,FliA,Cell mobility,Structural components
49,AmrZ,False,-0.0079751929001688,AmrZ,Alginate biosynthesis,Structural components
35,T6SS,False,-0.0075916277463009,,T6SS system,Structural components
23,Osmotic stress-2,False,-0.0075784177472997,,Osmotic stress response,Stress
37,PydR/RpoS,False,0.0072218820795202,PydR,Stationary phase response,Stress
72,PP_2260-3,False,-0.0066662599861498,,"PP_2260-3, sugar transport",Carbon
82,Genomic-3,False,-0.0066171493236027,,TurB deletion,Genomic
6,Noise-1,False,0.0065086095019593,,"Noise, PP_2520 hypothetical protein, 117 bp",Uncharacterized
32,GltR-II,False,0.0063370032657397,GltR-II,Sugar catabolism,Carbon
22,VanR,False,0.0062258859034772,VanR,Aromatic acid catabolism,Carbon
59,IonicLiquid,False,0.0060627558046522,,Triethylamine hydrogen sulfate stress,Stress
5,Acetate stress,False,-0.0058993360018052,,Acetate specific response,Stress
14,Osmotic stress-1,False,0.0055897692056148,,"Osmotic stress, lipoprotein, membrane",Stress
2,PP_2034-7,False,-0.0052683902635132,,Benzoate catabolism,Carbon
83,Noise-6,False,0.0052168564357235,,"Noise, PP_0943, hypothetical protein, 393 bp",Uncharacterized
9,TCA cycle,False,-0.0051806252717348,,TCA cycle,Carbon
46,HutC,False,-0.0051745946016761,HutC,Histidine metabolism,Amino acid
11,Pentose and glucuronate,False,0.0051142284990764,,Pentose and glucuronate interconversions,Carbon
55,Translation,False,0.0049864869318555,,Protein synthesis,Translation
21,LldR,False,-0.0049166091565679,LldR,Lactate catabolism,Carbon
1,GbdR,False,-0.0048596205731412,GbdR,Glycine Betaine Catabolism,Stress
12,GclR,False,-0.004775593678198,GclR,C2 carbon metabolism,Carbon
8,Zinc,False,0.0046707520688948,,Metal related response,Element homeostasis
50,Noise-3,False,0.0040170564602196,,"Noise, PP_5437 hypothetical protein, 183 bp",Uncharacterized
61,Unchar-8,False,0.0037424920504371,,potentially iron metabolism,Uncharacterized
44,TurA-1,False,-0.0036724470526537,TurA,Biosynthesis of lipodepsinonapeptide phytotoxins,Secondary metabolite
65,PcaR,False,-0.0035142275312282,PcaR,Aromatic acid catabolism,Carbon
53,Acetate,False,-0.0034190613009793,,Acetate utilization,Carbon
10,Redox,False,0.0029801168061173,,Redox state homeostasis,Stress
74,PP_0615-8,False,0.0029505624990515,,Branched amino acid transportation,Amino acid
76,LiuR,False,0.0028566907142208,LiuR,Ribose and lipid catabolism,Carbon
24,ColR,False,0.0027256007560225,ColR,Metal related response,Element homeostasis
20,Unchar-2,False,0.0027084615735737,,Unknown,Uncharacterized
57,PedR1-2,False,-0.0026647666150609,PedR1,Alcohol/aromatics catabolism,Carbon
40,Citrate,False,-0.002661321538938,,Citrate transportation,Carbon
16,Multiple stress-2,False,0.0025820307300694,,"Multiple stress response, PP_3231-89",Stress
47,Unchar-7,False,-0.0022138295013924,,Galactose ALE specific,Uncharacterized
36,InfA,False,0.0019695722509871,,Translation,Translation
25,Unchar-3,False,0.0018448568695536,,Unknown,Uncharacterized
34,Null-2,False,-0.0018128295008092,,Null,Uncharacterized
66,Sulfur,False,0.0016340370269922,,PP_3636-3639,Element homeostasis
62,OxyR,False,-0.001296741273165,OxyR,Oxidative stress,Stress
19,Zur,False,0.0007208186930299,Zur,Metal homeostasis,Element homeostasis
77,Unchar-9,False,-0.0004856281386303,,Unknown,Uncharacterized
71,FleQ/Fur,False,-5.259202471827056e-05,FleQ,Inorganic ion transport and metabolism,Element homeostasis
52,HexR,False,-1.7063004810017323e-05,HexR,Sugar catabolism,Carbon
