,PP_5088
SRX8894563,1.0697801134999998
SRX8894564,0.9806941124999996
SRX8894565,1.3813094565
SRX8894566,1.6292725375
SRX8894567,1.6921309865
SRX8894568,1.5546687894999995
SRX8245718,0.0828589614999999
SRX8245719,-0.3619243275000001
SRX8245720,0.0710147974999997
SRX8245721,0.2080505684999996
SRX8245722,-0.3273512155000002
SRX8245723,0.3101702614999997
SRX8245724,0.1258646294999996
SRX8245725,0.2836206424999998
SBRG_IL__IL3__1,0.5230628784999998
SBRG_IL__IL3__2,0.4827807864999998
SRX8245728,0.4302960614999995
SRX8245729,0.1930606974999995
SRX8245730,0.3630502084999998
SRX8245731,0.5307936094999999
SRX8245732,0.8398197614999998
SRX8245733,0.8916538174999995
SBRG_IL__wt__1,0.8374110225
SBRG_IL__wt__2,0.7345747394999997
SRX8245726,0.0967400774999998
SRX8245727,0.2606689684999996
SRX8894553,0.4466439074999999
SRX8894554,0.5282928254999999
SRX8894555,0.8808696924999997
SRX8894556,1.0461444734999996
SRX8894557,0.7895802794999995
SRX8894558,1.0246301735
SRX8894559,0.9276761875
SRX8894560,0.4244897095
SBRG_UNeb__coum__1,0.1440229296666668
SBRG_UNeb__coum__2,0.012265184666667
SBRG_UNeb__coum__3,-0.2518185173333331
SBRG_UNeb__coumferul__1,-0.339020634333333
SBRG_UNeb__coumferul__2,-0.2979607533333333
SBRG_UNeb__coumferul__3,-0.370145383333333
SBRG_UNeb__ferulate__1,-0.6800018063333333
SBRG_UNeb__ferulate__2,-0.6299746253333334
SBRG_UNeb__ferulate__3,-0.427340253333333
SBRG_UNeb__glc__1,-0.0537433403333333
SBRG_UNeb__glc__2,-0.1421190013333331
SBRG_UNeb__glc__3,0.1958623416666669
SRX5659920,0.4112370064999999
SRX5659925,-0.4112370064999999
SRX5704140,-0.051654263
SRX5704141,0.575446517
SRX5704142,0.4514634749999999
SRX5704143,0.570879892
SRX5704144,0.7076573680000002
SRX5704145,0.596638075
SRX5704146,0.4595439050000001
SRX5704147,0.782461597
SRX5704148,0.2678021610000001
SRX5704149,0.063497372
SRX5704150,0.2714048170000001
SRX5704151,0.5880206800000001
SRX5704152,-0.0392429249999999
SRX5704153,0.618112524
SRX5704154,0.4819180119999999
SRX5704155,0.6730171649999999
SRX5704156,0.5597753599999999
SRX5704157,0.7358634530000001
SRX5704158,0.35139528
SRX5704159,0.5894955399999999
SRX5704160,0.596987543
SRX5704161,0.2270947869999999
SRX5704162,-0.097857676
SRX5704163,0.424815707
SRX5704164,0.090897188
SRX5704165,0.199242656
SRX5704166,0.203634657
SRX5704167,0.3306631609999999
SRX5704168,0.2842650769999999
SRX5704169,0.2693602749999999
SRX5704170,0.2468224350000001
SRX5704171,0.3870142000000001
SRX5704172,0.2175614219999999
SRX5704173,0.546696233
SRX5704174,0.1549882229999999
SRX5704175,0.3029709519999999
SRX4552613,-1.1614892239999994
SRX4552614,-0.9545009319999996
SRX4552615,-1.1521183909999997
SRX4552616,-0.3644515909999999
SRX4552617,-0.2346292879999998
SRX4552618,-0.5205393309999993
SRX4552619,-0.3624570659999993
SRX4552621,0.3624570660000001
SRX4552622,-1.3391413939999994
SRX4552623,-1.6191347389999995
SRX4552624,-1.6702054319999995
SRX7195897,-0.365259513666667
SRX7195898,0.318365178333333
SRX7195899,0.046894335333333
SRX7195900,-0.0213820616666668
SRX7195901,-0.438399624666667
SRX7195902,0.1191747993333329
SRX801088,-0.1771139804999997
SRX801089,0.1771139804999997
SRX801090,0.5221810714999995
SRX801091,0.5182877574999996
SRX801092,0.7193612895000001
SRX801093,0.7486383155
SRX3921725,0.1720798616666665
SRX3921834,-0.0706428163333332
SRX3921973,-0.1014370453333333
SRX3922005,0.3192391256666664
SRX3922933,-0.0168491423333332
SRX3923031,0.2864818666666666
SRX5739419,0.1868118616666665
SRX5739420,0.0818828876666666
SRX5739421,0.3276011056666665
SRX5739422,0.1450460606666666
SRX5739423,0.0450029916666667
SRX5739424,-0.1014361513333335
SRX5739425,-0.1377843833333334
SRX5739426,0.1720795216666664
SRX5739427,-0.0706433703333333
SBRG_Stress3__butanol__1,-3.169131935
SBRG_Stress3__butanol__2,-2.997233264
SBRG_Stress3__glc__1,0.0187353599999999
SBRG_Stress3__glc__2,-0.0187353599999999
SBRG_Stress3__isopentanol__1,-3.836553614
SBRG_Stress3__isopentanol__2,-3.701711031
SRX3141766,0.7184741580000003
SRX3141767,-0.1182004179999998
SRX3141769,0.2399902330000003
SRX3141770,0.1182004180000002
SRX7584765,0.050354993
SRX7584767,-0.6193791319999997
SRX7584769,-0.0073417639999995
SRX7584771,0.0231517879999998
SRX7584773,-0.129611326
SRX7584774,-0.7754573329999994
SRX7584775,-0.2484077989999997
SRX7584776,-0.3633788289999993
SRX7584777,-0.0184792369999993
SRX7584778,-0.2688835989999996
SRX7584779,-0.1814921409999996
SRX7584780,-0.2727906079999993
SRX7584781,-0.237711784
SRX7584783,0.0657634410000005
SRX7584785,-0.0823084629999995
SRX7584787,-0.050354993
SRX7584789,-0.0232217539999997
SRX7584791,-0.9461404479999996
DRX086758,0.1445477447500001
DRX086759,0.0128018937499998
DRX086760,-0.1321953752500002
DRX086761,-0.0251542632500001
DRX086762,0.4391561207499999
DRX086763,0.27358859975
DRX086764,0.2895192687499999
DRX086765,0.4605720077499997
DRX086766,0.17057826975
DRX086767,0.0844195347499998
DRX086768,-0.0774604322500001
DRX086769,0.2604111557499999
DRX086770,0.70849193475
DRX086771,0.1975678377499998
DRX086772,0.5599342137499996
DRX086773,0.5605263437499999
DRX086775,-2.58352556425
DRX086776,-2.63859665925
DRX086742,-0.3449188914999999
DRX086745,0.1074312275000002
DRX086746,-0.1701938085000001
DRX086747,0.5655852115000002
DRX086748,-0.4228648325000002
DRX086749,0.0274734295
CJ522_f_1,-0.3897649119999999
CJ522_f_2,-0.8556652920000003
CJ522_f_3,-0.8397908190000001
CJ522_fg_1,-0.2129321600000002
CJ522_fg_2,-0.1952122659999999
CJ522_fg_3,0.0957833049999998
CJ522_gfg_1,-0.5087964760000001
CJ522_gfg_2,-0.7502241820000002
CJ522_gfg_3,-0.457129976
CJ522_gg_1,-0.1001313989999999
CJ522_gg_2,-0.3453838710000001
CJ522_gg_3,0.0476369439999997
CJ522_glc_1,-0.2119498740000001
CJ522_glc_2,-0.2007077650000002
CJ522_glc_3,0.0077585049999999
CJ522_glu_1,-0.190118806
CJ522_glu_2,0.1395882949999998
CJ522_glu_3,-0.4088405230000003
GB032_f_1,-0.0078405260000002
GB032_f_2,-0.4970054680000002
GB032_f_3,-0.6186327600000001
GB032_fg_1,-0.1570570020000001
GB032_fg_2,-0.2900849820000002
GB032_fg_3,-0.0666690380000001
GB032_gfg_1,-0.463492376
GB032_gfg_2,-0.185184354
GB032_gfg_3,-0.3901317880000001
GB032_gg_1,0.1380945360000001
GB032_gg_2,0.040884042
GB032_gg_3,0.0921274489999999
GB032_glc_1,-0.021421139
GB032_glc_2,-0.4188697120000002
GB032_glc_3,-0.0924404780000003
GB032_glu_1,-0.3832661160000001
GB032_glu_2,0.245154684
GB032_glu_3,-0.12755713
GB045_f_1,0.2165103379999999
GB045_f_2,0.1632516389999998
GB045_f_3,0.1066151930000001
GB045_fg_1,0.7569471919999997
GB045_fg_2,1.0091984889999996
GB045_gfg_1,0.7618797499999999
GB045_gfg_2,1.036152345
GB045_gfg_3,0.5610789959999996
GB045_gg_1,0.0490582079999999
GB045_gg_2,-0.1284170929999999
GB045_gg_3,0.1494684610000001
GB045_glc_1,0.9183370299999996
GB045_glc_2,0.9190163319999995
GB045_glc_3,1.1075254500000002
GB045_glu_1,0.21724991
GB045_glu_2,0.0385725669999996
GB045_glu_3,0.8686815139999999
GB062_f_1,-0.5707758150000002
GB062_f_2,-0.854160732
GB062_f_3,-0.3400287150000003
GB062_fg_1,-0.5212454430000002
GB062_fg_2,-0.1256960290000002
GB062_fg_3,-0.1626345050000002
GB062_gfg_1,-0.2965052200000002
GB062_gfg_2,-0.2622660630000002
GB062_gfg_3,-0.4958503960000002
GB062_gg_1,-0.041010736
GB062_gg_2,-0.5385308430000002
GB062_gg_3,0.1280878369999998
GB062_glc_1,-0.066215841
GB062_glc_2,-0.1615017629999999
GB062_glc_3,-0.2095458830000001
GB062_glu_1,0.3927314019999999
GB062_glu_2,-0.0137723069999999
GB062_glu_3,0.4301247099999998
KT2440_f_1,0.5547032089999999
KT2440_f_2,0.3423328889999997
KT2440_f_3,0.0433046369999998
KT2440_fg_1,0.1881749880000001
KT2440_fg_2,0.1660352779999998
KT2440_fg_3,0.2591592349999998
KT2440_gfg_1,-0.3068422550000003
KT2440_gfg_2,0.0289587929999997
KT2440_gfg_3,-0.0469817050000003
KT2440_gg_1,-0.050656354
KT2440_gg_2,-0.0942142990000003
KT2440_gg_3,0.2129466659999996
KT2440_glc_1,0.14360573
KT2440_glc_2,0.3499280609999999
KT2440_glc_3,-0.2626034750000001
KT2440_glu_1,0.1903694479999997
KT2440_glu_2,-0.1230369449999999
KT2440_glu_3,-0.0673325030000002
SRX2012748,-0.3109404643333331
SRX2012749,0.2522445366666677
SRX2012750,0.0586959276666672
SRX2012751,-1.1847192153333328
SRX2012752,-1.6546248543333326
SRX2012753,-0.9243136293333328
SRX2012754,-1.5317453653333328
SRX2012755,-0.7406218103333329
SRX2012756,-1.8399252513333328
SRX2012757,0.063174712666667
SRX2012758,-1.692991766333333
SRX2012759,-1.1555615493333329
SRX2012760,-0.4689774663333326
SRX2012761,-0.798262314333333
SRX2012762,-0.6744857113333325
SRX2012763,-0.706414032333333
SRX2012764,-0.6133235643333323
SRX2012765,-1.8877647083333329
SRX2012766,-0.4982850563333327
SRX2012767,-0.8787440583333326
SRX2012768,-0.3647592463333327
SRX4364709,-0.1145865533333334
SRX4364710,-0.1987734233333333
SRX4364711,0.3133599766666668
SRX4364712,0.3693989606666665
SRX4364713,0.5782602596666666
SRX4364714,0.7046658596666666
SRX2020724,-1.032786144999999
SRX2020727,-1.1522172629999998
SRX2021818,0.0380555860000004
SRX2021819,-0.0380555859999995
SRX2021820,-0.5414917989999992
SRX2021821,-0.7314982559999992
SRX2021822,-0.9637722589999996
SRX2021823,-0.8394096279999994
SBRG_relA__LB_control__1,0.1880773443333332
SBRG_relA__LB_control__2,-0.0784180396666665
SBRG_relA__LB_control__3,-0.1096593046666667
SBRG_relA__relA_control__1,-0.2244779166666664
SBRG_relA__relA_control__2,-0.2415699656666667
SBRG_relA__relA_control__3,-0.178699692666667
SBRG_relA__relA_lignin__1,-0.2500368266666664
SBRG_relA__relA_lignin__2,-0.0969194786666669
SBRG_relA__relA_lignin__3,-0.1970739746666669
SRX7747531,0.1403689129999996
SRX7747532,0.0879533389999993
SRX7747533,-0.1166304240000002
SRX7747534,-0.0487118760000004
SRX7747535,0.0113858799999997
SRX7747536,0.0373259959999998
ERX1035001,0.3241700109999996
ERX1035002,-0.3241700110000005
ERX1035005,0.2103221089999998
ERX1035006,0.44260784
ERX1035007,-0.0484417700000001
ERX1035009,0.0220758909999991
ERX1035010,0.3738049939999994
ERX1035011,-0.2444999170000006
