,A,HexR
R2,,0.02293767970772953
xmin,,-5.004021395333333
xmid,,-0.4911008277724639
xmax,,1.6305825100000004
ystart,,-2.8184974381093575
yend,,1.2949689902509347
ALE:GalactoseA5:1.0,1.018634088665189,1.5775942282499995
ALE:GalactoseA5:2.0,0.9745637198606504,1.43594517925
ALE:GalactoseA6:1.0,3.949093029120673,1.1411743202500002
ALE:GalactoseA6:2.0,4.3401168573874624,1.3820485742499995
ALE:GalactoseA8:1.0,4.290975552143439,1.5866199952500004
ALE:GalactoseA8:2.0,3.964226374011481,1.3579653712499995
ALE:IL_Control:1.0,0.6264043383416166,0.1999441212499997
ALE:IL_Control:2.0,-0.6347110977186797,-0.0488978537499997
ALE:IL_Control:3.0,-0.7171436500116638,-0.3160598857499996
ALE:IL_Control:4.0,0.72545041088487,0.1650136182499997
ALE:IL_TEOH_OAc:1.0,-1.578492308279004,-0.3383176317499998
ALE:IL_TEOH_OAc:2.0,-4.1099216321118766,-0.3073415937499995
ALE:IL_TEA_HS:1.0,2.266608585960201,0.2759130302499999
ALE:IL_TEA_HS:2.0,1.4850274715128118,0.77303594325
ALE:IL_Mixed:1.0,-3.4450234203338783,0.0868925782500005
ALE:IL_Mixed:2.0,-3.5251630494572974,-0.2995006077499997
ALE:IL_PP5350:1.0,-7.775240245520025,-0.4267899047499996
ALE:IL_PP5350:2.0,-8.181811145713917,-0.28464025275
ALE:IL_T8:1.0,-4.735385570954502,-0.1711459287499996
ALE:IL_T8:2.0,-3.281756960137502,0.02444755425
ALE:IL_T9:1.0,5.136321724012547,-0.8098952337499998
ALE:IL_T9:2.0,4.705852503525752,-0.6681131757500003
ALE:IL_Control2:1.0,1.5233851189611645,0.9311332632500005
ALE:IL_Control2:2.0,1.525285213136006,0.7523569272500001
ALE:IL_Glc+Ace:1.0,-4.041192567634367,-0.23030903175
ALE:IL_Glc+Ace:2.0,-4.65891285287968,-0.1439752377499994
ALE:XyloseA1:1.0,-10.054116949963388,0.1252561912500001
ALE:XyloseA1:2.0,-9.29003175263933,0.0894103852499998
ALE:XyloseA2:1.0,-10.47725506738382,0.5408660302500001
ALE:XyloseA2:2.0,-9.616793516542662,0.6666317852499999
ALE:XyloseA3:1.0,-11.131400857747272,0.2539432882500003
ALE:XyloseA3:2.0,-10.295893837574276,0.3760759442500001
ALE:XyloseA4:1.0,-8.18191913396882,0.4000264602500003
ALE:XyloseA4:2.0,-9.874541960838975,0.0984452082500002
Aromatic:Coumarate:1.0,-9.31571080195901,-0.5533050053333328
Aromatic:Coumarate:2.0,-9.246117466290317,-0.2505353063333322
Aromatic:Coumarate:3.0,-8.783912729685229,-0.5180968263333323
Aromatic:Coumarate+ferulate:1.0,-8.570579960341075,-0.5664395213333329
Aromatic:Coumarate+ferulate:2.0,-9.426928507007998,-0.8025322673333326
Aromatic:Coumarate+ferulate:3.0,-8.967350587964882,-0.9799692053333326
Aromatic:Ferulate:1.0,-10.301602547155063,-0.6026564203333327
Aromatic:Ferulate:2.0,-10.85500281999715,-0.4483260383333327
