,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
0,algU_regulon__empty_vector,0.0,0.05045889699196164,3.0,0.0,0.0092821463,2.0,-0.054455545,4.0,0.0451733987,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-4.475005729133334,0.17413298016942375,3.0,1.0,-4.388264946,3.0,-4.6754726585,5.0,-4.3612795829,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,0.9271525521250001,0.22513084792558752,4.0,6.0,1.2542551395000001,20.0,0.7706553759,40.0,0.8966728530000001,63.0,0.7870268401,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,0.39497635835,0.06288720358851113,4.0,7.0,0.32438156960000003,33.0,0.3615072489,81.0,0.460160269,82.0,0.4338563459,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,0.5495069857,0.5783390316722749,4.0,8.0,0.0337003112,51.0,1.3387639566,65.0,0.6090692324,76.0,0.2164944426,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,0.5878571761,0.8204382236153173,3.0,9.0,0.0362692664,22.0,0.19661892620000002,49.0,1.5306833357,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,0.70467922145,0.08474043771642449,2.0,10.0,0.7645997596,26.0,0.6447586833,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,0.2812790842333333,0.14721882969748265,3.0,11.0,0.2078648626,54.0,0.1852038624,83.0,0.45076852770000003,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,0.6109856964,0.40444169564693544,4.0,12.0,0.2365546724,48.0,1.1857376709,64.0,0.5184603375,78.0,0.5031901048,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,0.605633249025,0.189261741025014,4.0,13.0,0.4739245145,38.0,0.8299264011,67.0,0.4260753773,72.0,0.6926067032000001,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,0.7593143523000001,0.03787481865177664,3.0,14.0,0.7862987001,41.0,0.7756279768000001,85.0,0.71601638,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,0.9326498816,0.09608572011373963,4.0,15.0,0.9656846389,52.0,0.9977795653,71.0,0.7899031075,80.0,0.9772322147,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,0.6106182973,0.36336168852717105,3.0,16.0,0.3128707143,53.0,1.0155028294,77.0,0.5034813482,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,0.6913469594333334,0.43337789256134834,3.0,17.0,0.2910825245,50.0,1.1515900847,66.0,0.6313682691,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,0.751736207,0.3107605200249366,3.0,18.0,0.4003198738,25.0,0.864579269,62.0,0.9903094782,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,0.56025831285,0.30110296082579785,4.0,19.0,0.7344191677,28.0,0.2824976134,56.0,0.3299771248,73.0,0.8941393455000001,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,0.6942455824,0.177910383489289,4.0,21.0,0.5492756147,34.0,0.5416984026,45.0,0.7863863430000001,58.0,0.8996219693,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,0.742437085525,0.1342704657187774,4.0,23.0,0.7261376729,42.0,0.8759686732,70.0,0.5631610902,79.0,0.8044809058,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,0.504616457275,0.11283925034437021,4.0,24.0,0.4414020313,29.0,0.6546719365,68.0,0.3982884808,74.0,0.5241033805,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,0.5722804081,0.1520510141053945,4.0,27.0,0.38403124250000004,31.0,0.6764748012,69.0,0.5154854528,75.0,0.7131301359000001,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,0.61755902925,0.19082140024169747,4.0,30.0,0.4077389094,32.0,0.8708886369000001,59.0,0.6025685222,86.0,0.5890400485,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,0.9473361770000001,,1.0,35.0,0.9473361770000001,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,0.59651229055,0.33013208595722066,4.0,36.0,0.9602648997000001,44.0,0.7855204416,60.0,0.3755814898,61.0,0.2646823311,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,0.0,0.07607598961952158,4.0,37.0,-0.020349150700000002,46.0,-0.0147258295,57.0,0.10730553420000001,84.0,-0.072230554,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,0.8388322433,0.04733638014874239,2.0,39.0,0.8053603679,43.0,0.8723041187,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-0.31627561530000003,0.02417122018165304,2.0,47.0,-0.33336724900000003,55.0,-0.29918398160000004,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,0.0,0.7932297593392237,3.0,87.0,0.4109965599,90.0,0.5033915718,93.0,-0.9143881317,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,0.13518302913333338,0.5014818446538856,3.0,88.0,-0.2942121994,91.0,0.013430284800000001,94.0,0.6863310020000001,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,-0.24073268486666666,0.07862268904049509,3.0,89.0,-0.1730297952,92.0,-0.2222031572,95.0,-0.3269651022,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,0.0,0.3109401335671677,4.0,96.0,0.4389671383,97.0,-0.2045794139,98.0,0.0012071771,99.0,-0.2355949015,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,0.5948672414,1.240362331030472,2.0,100.0,1.4719358568,104.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,0.5326426211,0.10701556796417783,2.0,101.0,0.4569711873,105.0,0.6083140549,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,-2.500002057222635e-11,0.581983039910763,12.0,102.0,0.11556731890000001,110.0,-0.282201374,117.0,-0.282201374,125.0,-0.282201374,131.0,-0.282201374,134.0,1.0430508254,138.0,-0.282201374,159.0,-0.282201374,162.0,1.3811942214,164.0,-0.282201374,170.0,-0.282201374,174.0,-0.282201374,,,,
33,immunity_isolated__WT_npr1,-0.282201374,0.0,2.0,103.0,-0.282201374,126.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,,,
34,immunity_isolated__AvrRpt2_WT,0.1300385358857143,0.47286167344190166,14.0,106.0,-0.282201374,113.0,-0.0632064512,121.0,-0.282201374,127.0,0.41094059990000004,136.0,0.5484533912,142.0,-0.282201374,145.0,-0.282201374,150.0,1.0895319815,160.0,-0.282201374,161.0,-0.282201374,163.0,0.0108762348,167.0,0.9032750342,172.0,0.2911924368,176.0,0.3226845192
35,immunity_isolated__AvrRpt2_npr1,0.2898624729333334,0.5300689862324702,3.0,107.0,0.7643893471000001,128.0,0.3873994457,146.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,
36,immunity_isolated__AvrRpt2_DE,0.5069619784,0.36884259669812264,3.0,108.0,0.9188773290000001,129.0,0.20725373460000002,147.0,0.3947548716,,,,,,,,,,,,,,,,,,,,,,
37,immunity_isolated__AvrRpt2_DEPS,0.05734218085000001,0.48018710028524286,2.0,109.0,-0.282201374,148.0,0.3968857357,,,,,,,,,,,,,,,,,,,,,,,,
38,immunity_isolated__WT_pad4,0.2946763283,0.7685936540953353,4.0,111.0,0.0817755356,119.0,-0.0460358614,140.0,-0.282201374,165.0,1.425167013,,,,,,,,,,,,,,,,,,,,
39,immunity_isolated__WT_PS,0.29409085875,0.10451941124094656,4.0,112.0,0.3473708118,120.0,0.1519359917,141.0,0.39227209300000004,166.0,0.2847845385,,,,,,,,,,,,,,,,,,,,
40,immunity_isolated__AvrRpt2_sid2,0.10551280070000002,0.6715406493950358,3.0,114.0,0.8809411501000001,122.0,-0.282201374,143.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,
41,immunity_isolated__AvrRpt2_pad4,0.098248406925,0.49797389402233194,4.0,115.0,0.7658965985,123.0,0.1914997772,144.0,-0.282201374,168.0,-0.282201374,,,,,,,,,,,,,,,,,,,,
42,immunity_isolated__AvrRpt2_PS,0.18570545630000002,0.40728801579146645,3.0,116.0,-0.282201374,124.0,0.46065797420000004,169.0,0.3786597687,,,,,,,,,,,,,,,,,,,,,,
43,immunity_isolated__WT_sid2,0.1462968461,0.007647377374780677,2.0,118.0,0.1517043585,139.0,0.1408893337,,,,,,,,,,,,,,,,,,,,,,,,
44,immunity_isolated__WT_WT_mock,-0.1677292741666667,0.19827149296043015,3.0,130.0,-0.282201374,152.0,-0.282201374,156.0,0.0612149255,,,,,,,,,,,,,,,,,,,,,,
45,immunity_isolated__WT_SP,0.0034547628000000004,0.007390165444646447,2.0,132.0,-0.0017708733000000002,135.0,0.0086803989,,,,,,,,,,,,,,,,,,,,,,,,
46,immunity_isolated__AvrRpt2_b2b3,-0.12942193035,0.21606276126164603,2.0,133.0,-0.282201374,137.0,0.0233575133,,,,,,,,,,,,,,,,,,,,,,,,
47,immunity_isolated__AvrRpt2_RR,0.34836678985,0.05483427748343261,2.0,149.0,0.3095931004,151.0,0.3871404793,,,,,,,,,,,,,,,,,,,,,,,,
48,immunity_isolated__WT_WT_SA,-0.12343101776666666,0.27499832373194333,3.0,153.0,-0.282201374,155.0,-0.282201374,158.0,0.1941096947,,,,,,,,,,,,,,,,,,,,,,
49,immunity_isolated__WT_WT_chitin,-0.282201374,0.0,2.0,154.0,-0.282201374,157.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,,,
50,immunity_isolated__WT_stp,0.008866378600000002,0.4116319632963767,2.0,171.0,-0.282201374,175.0,0.2999341312,,,,,,,,,,,,,,,,,,,,,,,,
51,immunity_isolated__AvrRpt2_stp,-0.02646724304999999,0.36166267635118715,2.0,173.0,0.22926688790000002,177.0,-0.282201374,,,,,,,,,,,,,,,,,,,,,,,,
52,immunity_no_isolation__WT_WT_mock,0.0,0.2987870017207842,3.0,178.0,0.2383256101,182.0,0.0968796678,183.0,-0.3352052779,,,,,,,,,,,,,,,,,,,,,,
53,immunity_no_isolation__WT_WT_flg22,0.0580928775,0.2344277980396516,3.0,179.0,0.2616417626,180.0,0.1108573654,181.0,-0.1982204955,,,,,,,,,,,,,,,,,,,,,,
54,immunity_time__mock_1hpi,9.25185853854297e-18,0.12910323720127082,3.0,184.0,-0.1006907997,185.0,-0.0448578984,186.0,0.1455486981,,,,,,,,,,,,,,,,,,,,,,
55,immunity_time__flg22_1hpi,-0.073996134,0.01819340220855718,3.0,187.0,-0.0637832792,188.0,-0.0950014004,189.0,-0.06320372240000001,,,,,,,,,,,,,,,,,,,,,,
56,immunity_time__mock_3hpi,-0.7215267587666666,0.7722522606316715,3.0,190.0,-0.5657476692,191.0,-1.5597933222,192.0,-0.0390392849,,,,,,,,,,,,,,,,,,,,,,
57,immunity_time__flg22_3hpi,-0.4631136113999999,0.739930283264184,3.0,193.0,-0.1101267404,194.0,-1.3134371633,195.0,0.0342230695,,,,,,,,,,,,,,,,,,,,,,
58,immunity_time__mock_5hpi,-0.1874307345,0.12043853938325161,3.0,196.0,-0.3183967693,197.0,-0.0814339532,198.0,-0.16246148100000002,,,,,,,,,,,,,,,,,,,,,,
