,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
0,algU_regulon__empty_vector,5.782411586589357e-19,0.11071659326276065,3.0,0.0,-0.1034473535,2.0,0.11677863670000001,4.0,-0.0133312832,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-0.7717314891666667,0.45576567768551957,3.0,1.0,-0.8382423861,3.0,-1.1905872863,5.0,-0.2863647951,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,0.25126733015,0.43364754271631983,4.0,6.0,0.6163002200000001,20.0,0.44178513150000004,40.0,-0.3731246952,63.0,0.3201086643,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,0.18978093357500003,0.17483898043841747,4.0,7.0,0.1874572878,33.0,0.19039244,81.0,-0.0234876897,82.0,0.4047616962,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,0.7151586415500001,0.23749264909148698,4.0,8.0,0.5094697259000001,51.0,1.0149820032,65.0,0.7957151819,76.0,0.5404676552000001,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,0.7362660984999999,0.38935910793989015,3.0,9.0,0.4140122409,22.0,0.6258882329000001,49.0,1.1688978217,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,0.1923608507,0.004563995829009876,2.0,10.0,0.1955880831,26.0,0.1891336183,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,0.6548227453666666,0.24054796920454619,3.0,11.0,0.9320256466,54.0,0.5009819001,83.0,0.5314606894,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,0.684752574375,0.2984918515807817,4.0,12.0,0.3822139936,48.0,1.0959912316,64.0,0.611199971,78.0,0.6496051013,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,0.178498977875,0.24531722982474227,4.0,13.0,0.08625252060000001,38.0,0.5414457903000001,67.0,0.00035574550000000004,72.0,0.0859418551,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,0.11544343996666667,0.14483232472757493,3.0,14.0,-0.0312503162,41.0,0.2583396438,85.0,0.1192409923,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,0.3896676053,0.1652365561063239,4.0,15.0,0.6285063914,52.0,0.3617698776,71.0,0.31452070060000004,80.0,0.2538734516,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,0.6055366943333333,0.23097141995655224,3.0,16.0,0.34236253640000003,53.0,0.6996762262,77.0,0.7745713204,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,0.4349575307333334,0.15827856720141534,3.0,17.0,0.44291517890000004,50.0,0.27285024080000003,66.0,0.5891071725,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,0.7083597126333334,0.3856713114833972,3.0,18.0,0.8719969916,25.0,0.2678497139,62.0,0.9852324324,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,0.340357262925,0.1711227772454873,4.0,19.0,0.29379967300000004,28.0,0.5042142682,56.0,0.1205357356,73.0,0.4428793749,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,0.7415184421500001,0.2927577075762883,4.0,21.0,0.9144010272,34.0,0.3717786193,45.0,0.6513351378000001,58.0,1.0285589843,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,0.0941737943,0.0594799578451301,4.0,23.0,0.0405943084,42.0,0.1787829416,70.0,0.08582510260000001,79.0,0.0714928246,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,0.2586082661,0.05405952807638058,4.0,24.0,0.215968607,29.0,0.23812429140000002,68.0,0.24253990660000002,74.0,0.3378002594,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,0.20233655405,0.08263950108340025,4.0,27.0,0.1896189681,31.0,0.32282008100000004,69.0,0.14720957,75.0,0.1496975971,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,0.7348049737000001,0.19413767188512274,4.0,30.0,0.6755146172000001,32.0,0.49855629440000004,59.0,0.9535246898,86.0,0.8116242934,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,0.5878737227,,1.0,35.0,0.5878737227,,,,,,,,,,,,,,,,,,,,,,,,,,
