,PSPTOB0077
SRX1828913,-0.0244608074
SRX1828914,-0.6052152703
SRX1828915,-0.1146532299
SRX1828916,-0.5122870599
SRX1828917,0.1391140373
SRX1828918,-0.5399304458
SRX3983989,0.9361081141
SRX3983990,0.4027682292
SRX3983993,-0.1252669435
SRX3983994,-0.45821451160000004
SRX3983995,0.2859038479
SRX3983996,-0.3196780979
SRX3983997,-0.081388841
SRX3983998,-0.1463460174
SRX3983999,0.3429736975
SRX3984000,1.0030044876
SRX3984001,0.3340016348
SRX3984002,0.5434938714
SRX3984003,0.5986443167000001
SRX3984004,0.5060066896000001
SRX3984005,0.4296590319
SRX3984006,0.5039508764
SRX3984007,-0.0591375026
SRX3984008,0.6442773856
SRX3984009,0.4008399711
SRX3984010,0.6489149421
SRX3984011,0.4773988698
SRX3984012,0.4384129054
SRX3984013,1.049050543
SRX3984014,0.6101528811
SRX3984015,0.19879072620000002
SRX3984016,0.6455439217000001
SRX3984017,0.5486196889
SRX3984019,0.6481054717
SRX3984020,0.10711215260000001
SRX3984021,0.6988098965
SRX3984022,0.6858535568
SRX3984023,0.0105139814
SRX3984024,0.4725509359
SRX3984025,0.5736559196000001
SRX3984026,0.8228508095
SRX3984027,0.5391326147000001
SRX3984028,0.1751724469
SRX3984029,0.7018162947000001
SRX3984031,0.558388422
SRX3984032,0.2923893127
SRX3984034,-0.077397882
SRX3984035,-0.855807822
SRX3984036,0.9904842465
SRX3984037,1.1271672679
SRX3984038,0.44374628400000005
SRX3984039,1.1909770822
SRX3984040,0.8040153831
SRX3984041,0.8098964299
SRX3984042,-0.1446716009
SRX3984043,-0.4537898664
SRX3984045,-0.07654851530000001
SRX3984046,0.0279495324
SRX3984047,0.8509014521
SRX3984048,0.2065806387
SRX3984049,0.056509065100000005
SRX3984050,0.11319426560000001
SRX3984051,0.7464003659
SRX3984052,0.6865330376000001
SRX3984056,0.39862249450000004
SRX3984057,0.1470411254
SRX3984058,0.5563308112
SRX3984059,0.22928345420000001
SRX3984061,0.1263943519
SRX3984062,0.1531866993
SRX3984063,0.1844247172
SRX3984064,0.41651197230000003
SRX3984065,0.2042789607
SRX3984066,0.12314965530000001
SRX3984067,0.559005859
SRX3984068,0.4833642939
SRX3984069,0.31024504070000003
SRX3984070,0.6413347979
SRX3984071,0.74848065
SRX3984073,0.44263239460000003
SRX3984074,0.7488542273000001
SRX3984077,0.8679804015
SRX3984078,0.6246848572
SRX3984079,0.10295976650000001
SRX3984080,0.0389343682
SRX3984082,0.2913577201
SRX3984084,0.3248459031
SRX6997963,0.2205193167
SRX6997964,-0.7275305378
SRX6997965,-0.47600650200000005
SRX6997967,0.1574615266
SRX6997968,-0.6285889236000001
SRX6997969,-0.8013535444000001
SRX6997971,-0.37798084330000004
SRX6997972,0.5643736866
SRX6997973,-1.0168166587
SRX3159100,-0.4318799907
SRX3159101,-0.0148115026
SRX3159102,0.17294893890000002
SRX3159103,0.2737425544
SRX3159000,0.3211067385
SRX3159001,-0.6182544573000001
SRX3159002,-0.5989619593000001
SRX3159003,1.2174141091
SRX3159004,0.20813569980000002
SRX3159005,0.0886867419
SRX3159006,0.2610906958
SRX3159007,0.2710013926
SRX3159008,1.5791740624
SRX3159009,1.056516021
SRX3159010,0.6064740040000001
SRX3159012,0.1316609043
SRX3159013,-0.43350247500000005
SRX3159014,0.36733447350000004
SRX3159015,0.0663192896
SRX3159016,0.7170668655
SRX3159017,1.6727171914999999
SRX3159018,1.1751246868
SRX3159019,-0.0661471766
SRX3159020,0.038494911300000004
SRX3159021,1.4560534469
SRX3159022,0.4449264847
SRX3159023,1.7909956813
SRX3159024,-3.0426008989
SRX3159025,0.4634645444
SRX3159026,-1.527524272
SRX3159027,0.8148272431
SRX3159028,0.7585451003
SRX3159029,0.8684211806000001
SRX3159030,0.5777871056
SRX3159034,0.1978060688
SRX3159036,-0.24272458200000002
SRX3159037,-1.2767943529
SRX3159041,-1.3387640762
SRX3159042,1.0655920108
SRX3159043,-0.45790594030000004
SRX3159045,-0.9495811755
SRX3159047,-0.5522955853
SRX3159048,-0.6619412582
SRX3159049,-0.10282027910000001
SRX3159050,-0.1847436339
SRX3159051,0.522584539
SRX3159052,0.6377254687
SRX3159053,0.4382035922
SRX3159054,0.3673726102
SRX3159055,-3.0426008989
SRX3159056,-0.17471466160000002
SRX3159057,-0.09784586590000001
SRX3159058,0.1911891316
SRX3159060,-0.3040336348
SRX3159061,-1.0567520062
SRX3159062,0.7862915073000001
SRX3159063,1.6535051977
SRX3159066,0.5120705813
SRX3159069,1.7015671915000001
SRX3159070,1.0118726054
SRX3159071,-0.3958889847
SRX3159073,0.8745617976000001
SRX3159074,-1.3697545935
SRX3159075,0.7597187493
SRX3159076,1.4150948758
SRX3159080,0.8694476339
SRX3159082,0.5319669248000001
SRX3159083,-0.3047712529
SRX3159086,1.3026972241
SRX3159087,0.5532100029
SRX3159088,1.0583541693
SRX3159089,1.4420707358
SRX3159090,-0.1762151414
SRX3159091,0.1474194616
SRX3159092,-0.5869504599
SRX3159093,0.2152744197
