,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
0,algU_regulon__empty_vector,-4.625929269271485e-18,0.18714423124556198,3.0,0.0,-0.1592652337,2.0,0.2061193841,4.0,-0.0468541504,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,0.09987950746666667,0.12507358993197865,3.0,1.0,0.2111581579,3.0,0.1239659583,5.0,-0.0354855938,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-0.0333655722,0.2116335000545081,4.0,6.0,-0.0731376094,20.0,-0.31362742120000003,40.0,0.08774859510000001,63.0,0.16555414670000002,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,0.132750715025,0.09559257747730691,4.0,7.0,0.0577624813,33.0,0.1042543969,81.0,0.2728785696,82.0,0.0961074123,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-0.37470847705,0.3619854461891154,4.0,8.0,-0.5706635627000001,51.0,0.11128488900000001,65.0,-0.32421375550000003,76.0,-0.715241479,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-0.42636249450000013,0.8919473109600259,3.0,9.0,-0.7317772640000001,22.0,-1.1254833609000001,49.0,0.5781731414,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,0.12523762030000002,0.05968897106201724,2.0,10.0,0.1674440965,26.0,0.08303114410000001,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-0.22546730753333333,0.1623428520933934,3.0,11.0,-0.2369246861,54.0,-0.3817779591,83.0,-0.057699277400000006,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-0.28362599902499996,0.288669625288215,4.0,12.0,-0.2733125675,48.0,0.08544458220000001,64.0,-0.3289142618,78.0,-0.617721749,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.0499670044,0.05387771837184793,4.0,13.0,-0.0868653107,38.0,-0.0994271271,67.0,-0.0309926214,72.0,0.017417041600000002,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,0.1814665614666667,0.12877043254136503,3.0,14.0,0.2780522917,41.0,0.0352695502,85.0,0.23107784250000002,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,0.2086738223,0.11056739541979399,4.0,15.0,0.1565683681,52.0,0.07759568380000001,71.0,0.2996039078,80.0,0.3009273295,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,-0.34879178203333333,0.2858845497077379,3.0,16.0,-0.5169254211000001,53.0,-0.0186999936,77.0,-0.5107499314,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,-0.21027991393333334,0.21873526582467806,3.0,17.0,-0.3838472639,50.0,0.035409071800000004,66.0,-0.28240154970000003,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,-0.4489572092666667,0.24057356628235457,3.0,18.0,-0.7255330758,25.0,-0.2881974418,62.0,-0.33314111020000003,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,0.176789189725,0.2586668471909173,4.0,19.0,0.2696718408,28.0,-0.20168104820000002,56.0,0.2560276106,73.0,0.3831383557,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,-0.24029502055000002,0.20739767374584514,4.0,21.0,-0.4851214835,34.0,-0.029529869700000003,45.0,-0.3330353829,58.0,-0.1134933461,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,0.12311313385,0.05866265193656046,4.0,23.0,0.055368394700000004,42.0,0.16329907870000002,70.0,0.1801355465,79.0,0.0936495155,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,-0.10591569120000002,0.27508826125192576,4.0,24.0,-0.4170572866,29.0,0.2506890341,68.0,-0.16035832560000002,74.0,-0.09693618670000001,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,0.053150928475000005,0.2921014469045513,4.0,27.0,-0.3319831835,31.0,0.297040279,69.0,0.2619478818,75.0,-0.014401263400000001,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,-0.46733913925,0.16481196955061367,4.0,30.0,-0.6978293204,32.0,-0.3103541777,59.0,-0.4531414126,86.0,-0.4080316463,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,-0.22793083900000002,,1.0,35.0,-0.22793083900000002,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,-0.53566984575,0.37013854199872875,4.0,36.0,-0.2964665983,44.0,-0.2164772406,60.0,-0.5957758462,61.0,-1.0339596979,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,-1.734723475976807e-18,0.060454711633044125,4.0,37.0,-0.0209203146,46.0,-0.0102844866,57.0,0.0860794055,84.0,-0.054874604300000004,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,0.03783545210000001,0.03969054271110976,2.0,39.0,0.06590090400000001,43.0,0.0097700002,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-1.1770185529000001,0.003855650903849474,2.0,47.0,-1.1742921960000001,55.0,-1.1797449098000001,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,0.0,0.9200948806660569,3.0,87.0,0.2069796243,90.0,0.7989757915,93.0,-1.0059554158,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,-0.6375979283000001,0.5475448181297401,3.0,88.0,-0.0166137778,91.0,-0.8451854775000001,94.0,-1.0509945296,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,-0.4021118045666667,0.2423018446519531,3.0,89.0,-0.1332568999,92.0,-0.6036061198,95.0,-0.469472394,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,-1.734723475976807e-17,0.3520279343569348,4.0,96.0,-0.2181132004,97.0,-0.27159893690000003,98.0,0.5003190408,99.0,-0.0106069035,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,1.28129182275,0.47453273066755813,2.0,100.0,0.9457465110000001,104.0,1.6168371344999999,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,0.81045905865,0.5581725697605413,2.0,101.0,1.2051466678,105.0,0.4157714495,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,0.0,0.8829316985257875,12.0,102.0,0.1456614147,110.0,0.08424570590000001,117.0,-1.4873528804,125.0,0.1466174422,131.0,-0.09914481650000001,134.0,-0.2467505164,138.0,-1.0988053152,159.0,1.0060040471,162.0,1.4108288660000001,164.0,-0.9243499001000001,170.0,-0.0221896855,174.0,1.0852356382,,,,
33,immunity_isolated__WT_npr1,0.3650998655,0.07041297810275793,2.0,103.0,0.3153103712,126.0,0.4148893598,,,,,,,,,,,,,,,,,,,,,,,,
34,immunity_isolated__AvrRpt2_WT,0.4621234332571428,0.8715328508425354,14.0,106.0,0.8132615160000001,113.0,1.088468824,121.0,0.5973685718,127.0,-0.1380106147,136.0,-0.1425641241,142.0,0.33757971210000004,145.0,1.1405869338,150.0,0.8263964744000001,160.0,0.9459322137,161.0,1.7010047582,163.0,0.24601713520000001,167.0,0.7457868744,172.0,0.3131475689,176.0,-2.0052477781
35,immunity_isolated__AvrRpt2_npr1,0.11547491816666666,0.28528552317395905,3.0,107.0,0.4294275924,128.0,-0.1278907614,146.0,0.0448879235,,,,,,,,,,,,,,,,,,,,,,
36,immunity_isolated__AvrRpt2_DE,0.9892389222333332,0.41609403669457334,3.0,108.0,1.1352259857,129.0,0.5198237963,147.0,1.3126669847,,,,,,,,,,,,,,,,,,,,,,
37,immunity_isolated__AvrRpt2_DEPS,0.6703124087000001,0.2276709105092411,2.0,109.0,0.8313000534,148.0,0.509324764,,,,,,,,,,,,,,,,,,,,,,,,
38,immunity_isolated__WT_pad4,0.3966139759,0.6886520767568111,4.0,111.0,-0.6070161598,119.0,0.5074231198,140.0,0.8910258838,165.0,0.7950230598,,,,,,,,,,,,,,,,,,,,
