,PSPTO_3816
SRX1828913,0.2015687659
SRX1828914,0.2620230429
SRX1828915,-0.26001280590000003
SRX1828916,0.286933787
SRX1828917,0.05844404
SRX1828918,0.5073246476000001
SRX3983989,0.09501223460000001
SRX3983990,0.0408949485
SRX3983993,0.8460280103000001
SRX3983994,0.6697537401
SRX3983995,0.48293718020000004
SRX3983996,1.1186331387
SRX3983997,0.6604590683
SRX3983998,0.3285051975
SRX3983999,0.1297196232
SRX3984000,-0.1981161462
SRX3984001,0.422052435
SRX3984002,0.4091234902
SRX3984003,0.2908130986
SRX3984004,0.48770061900000006
SRX3984005,-0.47590134310000004
SRX3984006,0.49530675960000003
SRX3984007,0.5213182448
SRX3984008,0.0320065979
SRX3984009,0.24294873260000002
SRX3984010,0.2851280545
SRX3984011,0.19342201890000002
SRX3984012,0.3063914191
SRX3984013,-0.010968911000000001
SRX3984014,0.5652019352000001
SRX3984015,0.46743875430000004
SRX3984016,0.4589221906
SRX3984017,0.311456236
SRX3984019,0.3450336041
SRX3984020,0.42757647660000003
SRX3984021,0.6336665474000001
SRX3984022,0.38210147520000004
SRX3984023,0.2025377585
SRX3984024,0.13309815560000002
SRX3984025,0.2699014012
SRX3984026,-0.6368625991
SRX3984027,0.0076413517
SRX3984028,0.0300523034
SRX3984029,-0.0856462518
SRX3984031,0.38099178040000004
SRX3984032,0.263258884
SRX3984034,-0.041524024900000005
SRX3984035,0.3395091691
SRX3984036,0.3254625912
SRX3984037,0.972811764
SRX3984038,-0.3125185948
SRX3984039,0.5997784434
SRX3984040,-0.0289866675
SRX3984041,0.19621046790000002
SRX3984042,0.6249710471000001
SRX3984043,0.5362540746000001
SRX3984045,-0.1518125689
SRX3984046,-0.0711642821
SRX3984047,0.4287992256
SRX3984048,0.4902170307
SRX3984049,0.3721750639
SRX3984050,0.4250648812
SRX3984051,0.044273010700000004
SRX3984052,0.2922647289
SRX3984056,0.4381239744
SRX3984057,0.4029894731
SRX3984058,0.2403342877
SRX3984059,0.3281968025
SRX3984061,0.2762335758
SRX3984062,0.35965716870000003
SRX3984063,0.2894045241
SRX3984064,0.2936674114
SRX3984065,0.1817286187
SRX3984066,0.36146340600000004
SRX3984067,0.2309531255
SRX3984068,0.1570610718
SRX3984069,0.46326443840000003
SRX3984070,0.26281692770000004
SRX3984071,0.3668270025
SRX3984073,0.09599900880000001
SRX3984074,0.156591358
SRX3984077,0.3177884145
SRX3984078,0.1323154913
SRX3984079,0.8035401612
SRX3984080,-0.0898494514
SRX3984082,0.1366788326
SRX3984084,0.3011604227
SRX6997963,-0.0064577484
SRX6997964,0.11580684470000001
SRX6997965,-0.08406617970000001
SRX6997967,-0.4020611358
SRX6997968,0.0527882744
SRX6997969,-0.1029296128
SRX6997971,0.4085188843
SRX6997972,0.4119489713
SRX6997973,0.0425723371
SRX3159100,-0.0924623923
SRX3159101,0.0009690990000000001
SRX3159102,-0.24618463310000002
SRX3159103,0.3376779264
SRX3159000,0.0043148478
SRX3159001,0.1181540846
SRX3159002,0.19146324720000002
SRX3159003,0.1388609632
SRX3159004,-0.21593223760000002
SRX3159005,-0.3103971747
SRX3159006,0.049402316200000004
SRX3159007,0.1640052157
SRX3159008,0.3830420598
SRX3159009,0.108243591
SRX3159010,-0.105449125
SRX3159012,0.3213096412
SRX3159013,-0.0418550932
SRX3159014,0.2935613317
SRX3159015,-0.1623823279
SRX3159016,0.28072576600000004
SRX3159017,-0.1200661345
SRX3159018,0.022736496800000002
SRX3159019,-0.1957833468
SRX3159020,0.1252090847
SRX3159021,0.1568890962
SRX3159022,-0.9187992881
SRX3159023,0.1558773748
SRX3159024,0.1155940293
SRX3159025,-0.017690309
SRX3159026,0.151607672
SRX3159027,-0.211958727
SRX3159028,0.0740915448
SRX3159029,0.2347176782
SRX3159030,0.3032124839
SRX3159034,-0.0682904204
SRX3159036,0.3119562256
SRX3159037,0.2659856259
SRX3159041,0.41114755750000004
SRX3159042,0.1989345629
SRX3159043,0.23476531390000002
SRX3159045,0.265966345
SRX3159047,0.4401788821
SRX3159048,-0.9283063836000001
SRX3159049,0.0198781193
SRX3159050,-0.1923408221
SRX3159051,0.3974406616
SRX3159052,-0.2809117445
SRX3159053,-0.041052548200000004
SRX3159054,0.0396953529
SRX3159055,0.2818096383
SRX3159056,0.039536603600000005
SRX3159057,0.2049123034
SRX3159058,0.2477496882
SRX3159060,0.0874885946
SRX3159061,0.2272979909
SRX3159062,0.4054643471
SRX3159063,-0.08255898390000001
SRX3159066,-0.1525097184
SRX3159069,0.3164727858
SRX3159070,0.1780715195
SRX3159071,0.24943224430000002
SRX3159073,-0.0017791143000000001
SRX3159074,0.3931636445
SRX3159075,-0.36788191000000003
SRX3159076,0.0441529269
SRX3159080,0.3330163762
SRX3159082,0.33979558660000003
SRX3159083,0.3948514749
SRX3159086,-0.4813899687
SRX3159087,0.048031827000000006
SRX3159088,0.058517476400000004
SRX3159089,0.047985831
SRX3159090,0.1564242456
SRX3159091,-0.2918183719
SRX3159092,0.1395640046
SRX3159093,0.5058583575
SRX3159094,0.5260070306
SRX3159095,0.5493011799
SRX3159096,0.5269695916
SRX3159097,0.7367235506
SRX3159098,0.3497926029
SRX3159099,0.41874983460000004
SRX3158988,0.0790095818
SRX3158989,0.21622338570000002
SRX3158990,-0.3746001692
SRX3158991,0.0440955572
SRX3158992,0.06297105900000001
SRX3158996,-0.1419806408
SRX3644656,0.021225293500000002
SRX3644657,0.0022107548
SRX3644658,-0.0234360483
SRX3644659,-0.2547978627
SRX3644660,-0.15585719920000002
SRX3644661,-0.044440246600000004
SRX3644662,-0.2454991964
SRX3644663,-0.0691531641
SRX3644664,0.2581219072
SRX3644665,-0.1218050167
SRX3644666,-0.40015803650000004
SRX3644667,0.27549315690000004
SRX3644668,0.0898473363
SRX3644669,-0.0541013204
SRX3644670,0.1690304937
SRX3644671,-0.188385714
SRX3644672,-0.3558352647
SRX3644673,-0.10992692620000001
