,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
0,algU_regulon__empty_vector,4.625929269271485e-18,0.13805096384420928,3.0,0.0,0.033638169100000004,2.0,-0.1517613826,4.0,0.1181232135,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-0.28816749496666666,0.3003297778820927,3.0,1.0,-0.1848441354,3.0,-0.6265192304,5.0,-0.0531391191,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,0.2147069959,0.33306274768410726,4.0,6.0,0.3014647975,20.0,-0.07571240180000001,40.0,-0.015262610000000001,63.0,0.6483381979,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,0.164968617275,0.0883602658245372,4.0,7.0,0.208178054,33.0,0.22646425250000002,81.0,0.0342188074,82.0,0.1910133552,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,0.075627168025,0.3742417059759802,4.0,8.0,0.3188266206,51.0,-0.3710407161,65.0,0.4427033233,76.0,-0.0879805557,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,0.2129296827,0.023565066840373062,3.0,9.0,0.2309732565,22.0,0.22154689970000002,49.0,0.1862688919,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,0.11767753210000001,0.1646439522254929,2.0,10.0,0.2340983872,26.0,0.001256677,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,0.4555211993333333,0.1312024076021558,3.0,11.0,0.40743647780000003,54.0,0.35514504690000004,83.0,0.6039820733,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-0.004822478125,0.16443796860651236,4.0,12.0,0.2077331252,48.0,-0.1813974113,64.0,-0.0681649946,78.0,0.0225393682,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,0.26680890242500005,0.15449572313350293,4.0,13.0,0.2989075995,38.0,0.3866078405,67.0,0.0413806085,72.0,0.34033956120000003,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,0.1494676324666667,0.1534245116609918,3.0,14.0,0.0451239198,41.0,0.07765008200000001,85.0,0.3256288956,,,,,,,,,,,,,,,,,,,,,,
