,PSPTO_RS26935
SRX1828913,0.10629810590000001
SRX1828914,0.2678591913
SRX1828915,0.0496276713
SRX1828916,-0.5010398036
SRX1828917,-0.1559257771
SRX1828918,0.2629984717
SRX3983989,1.4661521576
SRX3983990,-0.08071998250000001
SRX3983993,-0.2829295157
SRX3983994,-0.4081569682
SRX3983995,1.0311886266
SRX3983996,0.1962429604
SRX3983997,-0.1802485811
SRX3983998,0.7607662221
SRX3983999,0.8747699238000001
SRX3984000,1.0123926287
SRX3984001,0.0387748811
SRX3984002,0.5955447655
SRX3984003,-0.7099203264
SRX3984004,-0.0657119504
SRX3984005,0.9881663756000001
SRX3984006,-0.1379382114
SRX3984007,-0.7914038533000001
SRX3984008,0.6187509648
SRX3984009,-0.2156764216
SRX3984010,1.5577121794000002
SRX3984011,0.7041442138
SRX3984012,0.3953278488
SRX3984013,0.0395007244
SRX3984014,0.6927014158
SRX3984015,-1.1787961177
SRX3984016,0.5540686284
SRX3984017,1.3703044363
SRX3984019,0.11527487400000001
SRX3984020,0.8054018005
SRX3984021,0.9369219144
SRX3984022,1.5625905408
SRX3984023,0.0860590698
SRX3984024,0.5305748529000001
SRX3984025,0.8665109573
SRX3984026,0.9481550910000001
SRX3984027,1.1683974047
SRX3984028,1.3860777564
SRX3984029,0.22446594900000003
SRX3984031,0.29845344020000003
SRX3984032,0.6737222872
SRX3984034,-0.040130206700000004
SRX3984035,-0.1474437907
SRX3984036,1.181794338
SRX3984037,0.8825763724000001
SRX3984038,0.9354276497
SRX3984039,0.9662878472
SRX3984040,1.34754612
SRX3984041,1.3834423793
SRX3984042,0.048865815900000005
SRX3984043,-0.175937156
SRX3984045,0.7380831755
SRX3984046,0.251144193
SRX3984047,0.12952761740000002
SRX3984048,-0.029821744100000002
SRX3984049,-0.7267750554
SRX3984050,0.0152080327
SRX3984051,0.4033582791
SRX3984052,0.1103525236
SRX3984056,0.5431582778
SRX3984057,0.5457109254
SRX3984058,0.6381638115
SRX3984059,0.4464964557
SRX3984061,0.2724409001
SRX3984062,0.42864272810000004
SRX3984063,0.4152355196
SRX3984064,0.4624057945
SRX3984065,0.2853275421
SRX3984066,0.5582960359
SRX3984067,0.7284497424
SRX3984068,0.3374155981
SRX3984069,-0.45477704020000004
SRX3984070,-0.0078604307
SRX3984071,-0.0920322999
SRX3984073,0.9726576784000001
SRX3984074,0.6716958159
SRX3984077,-0.024793648800000002
SRX3984078,-0.1574139329
SRX3984079,0.1545750626
SRX3984080,-0.2970730561
SRX3984082,0.5313963969000001
SRX3984084,0.6960989433
SRX6997963,2.268942879
SRX6997964,0.4612069827
SRX6997965,1.6495206888
SRX6997967,-1.1344714395
SRX6997968,-1.1344714395
SRX6997969,0.2532121888
SRX6997971,-1.1344714395
SRX6997972,-1.1344714395
SRX6997973,2.1789910088
SRX3159100,0.9347345565
SRX3159101,-1.4316446331
SRX3159102,0.9858049693000001
SRX3159103,-0.4888948926
SRX3159000,-0.6114911365
SRX3159001,0.9868426026
SRX3159002,0.3608533021
SRX3159003,-0.6114911365
SRX3159004,0.3317469732
SRX3159005,-0.6114911365
SRX3159006,-0.6114911365
SRX3159007,-0.6114911365
SRX3159008,-0.6114911365
SRX3159009,-0.6114911365
SRX3159010,0.7465820302
SRX3159012,-0.6114911365
SRX3159013,-0.6114911365
SRX3159014,-0.6114911365
SRX3159015,-0.6114911365
SRX3159016,-0.6114911365
SRX3159017,-0.6114911365
SRX3159018,-0.6114911365
SRX3159019,-0.6114911365
SRX3159020,-0.6114911365
SRX3159021,-0.6114911365
SRX3159022,-0.6114911365
SRX3159023,-0.6114911365
SRX3159024,2.172782654
SRX3159025,-0.6114911365
SRX3159026,-0.6114911365
SRX3159027,-0.6114911365
SRX3159028,0.9091038208000001
SRX3159029,-0.6114911365
SRX3159030,-0.6114911365
SRX3159034,-0.6114911365
SRX3159036,-0.6114911365
SRX3159037,0.5903603654
SRX3159041,-0.6114911365
SRX3159042,-0.6114911365
SRX3159043,-0.6114911365
SRX3159045,-0.6114911365
SRX3159047,-0.6114911365
SRX3159048,1.1018513668
SRX3159049,0.41191883900000004
SRX3159050,-0.6114911365
SRX3159051,0.3168236827
SRX3159052,-0.6114911365
SRX3159053,0.3892423205
SRX3159054,-0.6114911365
SRX3159055,2.5160691753
SRX3159056,-0.6114911365
SRX3159057,-0.6114911365
SRX3159058,-0.6114911365
SRX3159060,-0.6114911365
SRX3159061,-0.6114911365
SRX3159062,-0.6114911365
SRX3159063,-0.6114911365
SRX3159066,0.9448616275
SRX3159069,2.3862592458
SRX3159070,-0.6114911365
SRX3159071,1.4785716843
SRX3159073,-0.6114911365
SRX3159074,1.1415996368
SRX3159075,-0.6114911365
SRX3159076,3.3388872453
SRX3159080,-0.6114911365
SRX3159082,0.5987132925
SRX3159083,-0.6114911365
SRX3159086,-0.6114911365
SRX3159087,0.8302039757
SRX3159088,1.8152013787999999
SRX3159089,-0.6114911365
SRX3159090,1.0987878973
SRX3159091,-0.6114911365
SRX3159092,1.472437964
SRX3159093,-0.6114911365
SRX3159094,-0.6114911365
SRX3159095,1.227980436
SRX3159096,-0.6114911365
SRX3159097,-0.6114911365
SRX3159098,1.4439537172999999
SRX3159099,-0.6114911365
SRX3158988,-0.6722313374000001
SRX3158989,0.8576492560000001
SRX3158990,-1.3274548649
SRX3158991,0.15950202130000002
SRX3158992,-0.36926080440000003
SRX3158996,1.0414921418
SRX3644656,0.2306105387
SRX3644657,-0.1484947405
SRX3644658,-0.0821157982
SRX3644659,0.0185447252
SRX3644660,-0.5442503563000001
SRX3644661,0.38529654700000004
SRX3644662,-0.15050065
SRX3644663,-0.2370060173
SRX3644664,0.3176593874
SRX3644665,0.0285021459
