,23
algU_regulon__empty_vector__1.0,-0.8326859394
algU_regulon__algU_overexpression__1.0,13.6014447245
algU_regulon__empty_vector__2.0,2.2808881487
algU_regulon__algU_overexpression__2.0,13.8305731428
algU_regulon__empty_vector__3.0,-1.4482022092
algU_regulon__algU_overexpression__3.0,12.4943365004
co_culture__c_viol_40__1.0,0.700996574
co_culture__c_viol_12.5__1.0,-4.8755568148
co_culture__b_thai_30__1.0,2.6725461801
co_culture__b_thai_25__1.0,-0.564688002
co_culture__mono_30__1.0,-4.6114657176
co_culture__b_thai_12.5__1.0,-4.8832428544
co_culture__b_thai_35__1.0,0.9518852336
co_culture__mono_25__1.0,-5.583905317
co_culture__c_viol_30__1.0,-4.9165951685
co_culture__c_viol_35__1.0,-3.8717500552
co_culture__b_thai_40__1.0,2.1035229532
co_culture__b_thai_45__1.0,0.7205903811000001
co_culture__b_thai_c_viol_40__1.0,7.1315646986
co_culture__mono_35__1.0,-3.672915541
co_culture__c_viol_40__2.0,-5.710965683
co_culture__b_thai_c_viol_45__1.0,5.2166657298
co_culture__b_thai_25__2.0,0.7689501044
co_culture__c_viol_25__1.0,-5.3447515475
co_culture__mono_45__1.0,-4.3135430152
co_culture__b_thai_c_viol_40__2.0,-1.1228858547
co_culture__mono_30__2.0,-0.7206618713
co_culture__mono_40__1.0,-1.2762108865
co_culture__mono_35__2.0,-1.0732059159
co_culture__mono_45__2.0,-2.2693908549
co_culture__b_thai_c_viol_35__1.0,6.7905883499
co_culture__mono_40__2.0,-3.4136608028
co_culture__b_thai_c_viol_35__2.0,-1.8982264755
co_culture__c_viol_12.5__2.0,-2.1494548241
co_culture__b_thai_c_viol_45__2.0,-1.7174993317
co_culture__b_thai_c_viol_25__1.0,-4.2728569273
co_culture__b_thai_c_viol_30__1.0,-3.3546173857
co_culture__mono_12.5__1.0,1.2887873656
co_culture__mono_25__2.0,-0.8150775648
co_culture__c_viol_45__1.0,-4.1096080881
co_culture__c_viol_40__3.0,-3.9041539051000003
co_culture__c_viol_30__2.0,-3.8577369782
co_culture__c_viol_25__2.0,-5.123381582
co_culture__c_viol_45__2.0,-4.4873581607
co_culture__b_thai_c_viol_30__2.0,-2.1361200823
co_culture__b_thai_c_viol_45__3.0,-2.1816398216
co_culture__mono_12.5__2.0,0.9038958434000001
co_culture__b_thai_c_viol_12.5__1.0,-4.6764859941
co_culture__b_thai_35__2.0,-2.6317384841
co_culture__b_thai_25__3.0,-4.2614287455
co_culture__b_thai_45__2.0,-0.5866535837
co_culture__b_thai_30__2.0,-3.3082132599
co_culture__c_viol_35__2.0,-3.2855988483
co_culture__b_thai_40__2.0,-1.7258284692
co_culture__b_thai_12.5__2.0,-4.9722738662
co_culture__b_thai_c_viol_12.5__2.0,-7.1682890409
co_culture__mono_35__3.0,-1.5024802043
co_culture__mono_12.5__3.0,-0.1401937829
co_culture__b_thai_c_viol_45__4.0,5.1956386255
co_culture__b_thai_c_viol_35__3.0,6.5823029138999996
co_culture__b_thai_c_viol_30__3.0,8.4878183244
co_culture__b_thai_c_viol_30__4.0,4.1829113783
co_culture__b_thai_c_viol_40__3.0,4.3879999062
co_culture__c_viol_40__4.0,0.4475899002
co_culture__b_thai_35__3.0,-2.0075881322
co_culture__b_thai_30__3.0,-3.1821772969
co_culture__b_thai_45__3.0,-1.2151851771
