,SACI_RS00310
SRX5495523,0.18362807074454235
SRX5495524,0.17562236997555306
SRX5495525,0.5603541968562507
SRX5495526,0.8221020049110423
SRX6762909,-0.08495936790124414
SRX6762910,0.08495936790124414
SRX6762911,-0.151639453319393
SRX6762912,-0.00841692317669196
SRX3467357,0.04657691440943612
SRX3467358,-0.04657691440943612
SRX3467359,0.18328486932733407
SRX3467360,0.2668785698944509
SRX3565164,-0.1964136675474517
SRX3565165,-0.35515910853903865
SRX3565166,0.4935296828737981
SRX3565167,-0.2858893875807933
SRX3565168,-0.011437743879040065
SRX3565169,-0.0008587020094630303
SRX3565170,0.0005570227463618238
SRX3565171,-0.2903871203373676
SRX3565172,-0.3963456271716277
SRX3565173,-0.07172109347694455
SRX3565174,-0.08423858961263342
SRX3565176,-0.1337639899101175
SRX3565177,-0.24879781309064694
SRX3565178,0.3438941725124982
SRX3565179,-0.22923013637751044
SRX3565180,0.12967758760552872
SRX3565181,-0.23662680891825086
SRX3565182,-0.2722517286806587
SRX3565183,-0.0168262977179916
SRX3565184,-0.06080276541070706
SRX3565185,0.16216804905085258
SRX3565186,0.062065039988280724
SRX3565187,-0.2626220130226047
SRX3565188,-0.014663555012321085
SRX3565191,0.23223523264698095
SRX3565192,0.08219320304993705
SRX3565193,0.2686947327542475
SRX3565194,0.09998787778080764
SRX3565195,0.15953216764944056
SRX3565197,0.5969881632063005
SRX3565198,-0.2552351469016481
SRX3565199,-0.06362791646441758
SRX3565200,-0.046013329545036015
SRX3565201,0.18407693462184135
SRX3565202,-0.11132299980070748
SRX3565203,-0.0006818503352619133
SRX3565204,0.2110352830429667
SRX3565205,0.04002198296821646
SRX3565206,0.06673607994192299
SRX3565208,0.0029518623113382607
SRX3565209,0.017672810988618615
SRX3565210,0.23724207805481345
SRX3565211,-0.12524473970622466
SRX4001511,0.15974887087861322
SRX4001513,-0.15974887087861234
SRX4001514,0.6422704802604962
SRX4001515,0.9761769995884056
SRX4001516,0.39591615852062745
SRX4001517,0.5681029772912627
SRX4001518,0.6881906574094927
SRX4001519,0.16713614132471832
SRX4001520,0.1579963596094256
SRX4001521,0.5389712609631552
SRX4001522,-0.03058611163376135
SRX4001523,-0.1902569810860557
SRX4001524,0.4204810740923932
SRX4001525,0.16877223551293685
SRX4001526,-0.556042726298676
SRX4001528,-0.21753580865467192
SRX3823521,-0.0025601487424280482
SRX3823522,-0.03991742208433191
SRX3823523,0.04247757082675818
SRX3823524,-0.4373001146424187
SRX3823525,-0.3585582249378474
SRX3823526,-0.3622719986418268
SRX3823527,-0.22250755199639105
SRX3823528,-0.5411994079674258
SRX3823529,-0.4672257757968508
SRX3823530,-0.02598937699579817
SRX3823531,-0.07336012403313674
SRX3823532,0.06316815419538457
SRX3823533,-0.31286700325084915
SRX3823534,0.017700307663877982
SRX3823536,0.21915492478548693
SRX3823537,-0.1263731993558288
SRX3823538,0.01973955201292377
SRX3823539,-0.038070292450518295
SRX5653264,0.11539878310005758
SRX5653265,0.06854157956039497
SRX5653266,0.4505449363296226
SRX5653267,-0.17648415212607738
SRX5653268,0.2887407877468453
SRX5653269,-0.11225663562077147
