,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,Chrom__sac_log,0.4087585816589838,0.021018289519346343,2.0,0.0,0.4236207567070558,1.0,0.3938964066109119,,
1,Chrom__sac_sta,-1.0693467404288461,0.328156314560305,2.0,2.0,-0.8373051851140687,3.0,-1.3013882957436236,,
2,Chrom__sac_MW001,8.81239525796218e-16,0.1057471861187125,2.0,4.0,0.07477455239593844,5.0,-0.07477455239593668,,
3,Chrom__sac_fadR,-0.03433675936857661,0.03119869189246241,2.0,6.0,-0.012275952767266674,7.0,-0.056397565969886536,,
4,FadR__wt_p,8.881784197001252e-16,0.27774713585297606,2.0,8.0,-0.19639688321677973,9.0,0.1963968832167815,,
5,FadR__ko_p,0.006080317179369743,0.19316572082841013,2.0,10.0,-0.13050847391118658,11.0,0.14266910826992607,,
6,GDGT__75_2.4_log,9.066821367772111e-16,0.41380435427769074,3.0,12.0,0.21581097198875465,27.0,-0.4770982024665846,50.0,0.26128723047783264
7,GDGT__80_3.5_stat,-1.1056439850707973,0.15430582827042755,3.0,13.0,-1.0187757800035941,20.0,-1.0143534616092813,42.0,-1.2838027135995171
8,GDGT__80_2.4_log,-0.47234249407792933,0.22704822559719204,3.0,14.0,-0.3967836548735226,37.0,-0.2927074635844793,41.0,-0.7275363637757861
9,GDGT__75_3.5_stat,-0.9680715571101702,0.21200378756170574,3.0,15.0,-0.7233514697088079,24.0,-1.0958781646093405,28.0,-1.0849850370123626
10,GDGT__80_1.6_stat,-1.3858288294215093,0.1400493517690446,3.0,16.0,-1.5385751624507753,17.0,-1.3554473930386512,33.0,-1.2634639327751014
11,GDGT__75_2.4_stat,-0.7932929088992724,0.12478959622450939,3.0,18.0,-0.8905297185913632,26.0,-0.6525810979018951,31.0,-0.8367679102045589
12,GDGT__80_2.4_stat,-0.5652554932938717,0.28125348235347886,3.0,19.0,-0.5955643606939267,29.0,-0.2700750773106764,30.0,-0.8301270418770121
13,GDGT__80_1.6_log,-0.4104496316303039,0.11279901580413766,2.0,21.0,-0.3306886826440296,39.0,-0.4902105806165782,,
14,GDGT__65_3.5_stat,-0.7409100848463833,0.18501955031217332,3.0,22.0,-0.5939989869987246,23.0,-0.6800336532346174,34.0,-0.948697614305808
15,GDGT__75_1.6_stat,-1.1957258490143399,0.22018032781857824,3.0,25.0,-1.4358612496919738,32.0,-1.1479811655120784,38.0,-1.0033351318389672
16,GDGT__75_1.6_log,-0.5389481335410187,0.4422587392749758,2.0,35.0,-0.22622397996067004,36.0,-0.8516722871213673,,
17,GDGT__65_2.4_stat,0.40720538032705483,0.38438304940857715,3.0,40.0,-0.0048667991364022,46.0,0.7560620493070624,49.0,0.4704208908105043
18,GDGT__65_2.4_log,0.4568530807219888,0.18704278688267345,3.0,43.0,0.5849892444753086,44.0,0.2422165865578441,47.0,0.5433534111328138
19,GDGT__80_3.5_log,-0.4766101337829018,0.20153980902046986,3.0,45.0,-0.7078384907498547,51.0,-0.3382279992914743,52.0,-0.3837639113073763
20,GDGT__65_1.6_log,-0.18826589341448852,0.13992242033906238,3.0,48.0,-0.2427997033843319,53.0,-0.29271015496897235,54.0,-0.029287821890161325
21,NutLim__t0,0.0,0.24916778748963406,2.0,55.0,-0.17618823218716884,56.0,0.17618823218716884,,
22,NutLim__t05,-1.2344808840688917,0.12204389437977306,3.0,57.0,-1.3735076973637383,58.0,-1.184926711980717,59.0,-1.14500824286222
23,NutLim__t1,-1.7550913838998259,0.23819808329559747,3.0,60.0,-2.025900790943392,61.0,-1.57803304094245,62.0,-1.6613403198136352
24,NutLim__t15,-1.8346121768855432,0.14871651658544233,3.0,63.0,-2.0063197018537995,64.0,-1.746759237754671,65.0,-1.7507575910481592
25,NutLim__t2,-2.1022068026584253,0.15807748858781603,3.0,66.0,-2.0586659937692438,67.0,-1.97046290526378,68.0,-2.2774915089422514
26,NutLim__t4,-2.3520087068462523,0.42869349744919055,2.0,69.0,-2.048876627749352,70.0,-2.655140785943153,,
27,UV_irr__wt0,-5.921189464667501e-16,0.04864884183705732,3.0,71.0,0.02017342598335503,72.0,0.03531686038264503,73.0,-0.05549028636600184
28,UV_irr__wt1,0.126647438400191,0.20375918243110122,3.0,74.0,0.03839524432364705,75.0,-0.018108615929785188,76.0,0.3596556868067111
29,UV_irr__wt2,-0.16301433124801373,0.05765156766351804,3.0,77.0,-0.12088114880111787,78.0,-0.2287161042985097,79.0,-0.13944574064441362
30,UV_irr__mut0,0.00338147295324139,0.058211135926736754,3.0,80.0,-0.06365519585015278,81.0,0.04115423125119655,82.0,0.0326453834586804
31,UV_irr__mut1,-0.04556816874526485,0.09182534320714221,3.0,83.0,0.05910655130255904,84.0,-0.0832666800339883,85.0,-0.1125443775043653
32,UV_irr__mut2,-0.11955944561111014,0.1557153351867125,3.0,86.0,-0.04466319563325527,87.0,-0.015444229947341626,88.0,-0.2985709112527335
33,YtrA__overexpr,0.2147813717418868,0.09810816059527995,3.0,89.0,0.2886216030224773,90.0,0.2522650621783704,91.0,0.10345745002481266
34,YtrA__wt,-8.881784197001252e-16,0.21194858139335568,3.0,92.0,0.00474515325271696,93.0,0.2095361626816548,94.0,-0.2142813159343744
