k,name,in_iM,gene_weight,regulator,function,category
21,translation-2,True,0.049832334815072966,,,Other Functional
34,Replication,False,0.038683573891655006,,Replication and Cell Division,Other Functional
35,translation-related,False,0.03727033122363476,,,Other Functional
29,FadR,False,-0.03444622590529802,FadR,Fatty acid degradation,Misc Metabolism
16,single_gene_2,False,0.030580071354688387,,,Uncharacterized
31,TCA-BCAA,False,-0.02682203546186333,,,Amino Acid & Nucleotide Biosynthesis
42,unchar-3,False,-0.01998866822572064,,Unknown Function,Uncharacterized
7,carbon-fixation,False,-0.018040493767819184,,,Misc Metabolism
6,cold-stress,False,-0.016810870628853943,,,Stress Response
11,XylR-SoxM,False,0.014553989010585132,XylR,,Misc Metabolism
44,Gly-Ser-Thr,False,-0.014105771482637018,,,Amino Acid & Nucleotide Biosynthesis
22,unchar-1,False,-0.01409548856441614,,Unknown Function,Uncharacterized
17,translation-1,False,-0.013251469864144737,,,Other Functional
19,Arginine,False,-0.012303216391278926,,Arginine biosynthesis,Amino Acid & Nucleotide Biosynthesis
43,single_gene_5,False,-0.011867920102623615,,,Uncharacterized
26,4-HPA,False,-0.011743329718961738,,4-hydoxyphenylacetate,Misc Metabolism
10,Purine,False,-0.01102936734902947,,,Amino Acid & Nucleotide Biosynthesis
4,Riboflavin,False,-0.009822587860827087,,,Vitamin B
9,HMG-CoA,False,-0.009577013304512666,,,Misc Metabolism
41,Thiamin,False,0.00938398901734683,,,Vitamin B
28,single_gene_3,False,-0.008897501942324828,,,Uncharacterized
15,single_gene_1,False,0.00834064421806505,,,Uncharacterized
37,aromatic-degradation,False,0.007632119780583756,,,Misc Metabolism
27,ArnRAB,False,0.007542166503404156,ArnR+ArnR1+ArnA+ArnB,Archaellum formation operon,Other Functional
39,carotenoid,False,0.006671293172554114,,,Other Functional
14,Phenylacetate,False,-0.006488305623525675,,,Misc Metabolism
30,SoxLABCD,False,-0.006445455644385861,,SoxLABCD terminal oxidase gene cluster,Other Functional
18,UV-tfb3,False,0.006326994800791148,tfb3,tfb3-dependent UV stress response,Stress Response
12,YtrA,False,0.006156147235037149,YtrA,,Other Functional
1,heat-stress,False,0.005922455006756961,,,Stress Response
23,sulfur-assimilation,False,-0.004247159722924639,,,Amino Acid & Nucleotide Biosynthesis
2,SoxL2N,False,-0.004109647967945832,,Cytochrome Oxidase bc1 complex (SoxL2N---CbsAB---OdsN),Other Functional
8,Fe-S-lipoylation,False,-0.004050494688804068,,,Other Functional
5,niacin-transport,False,0.003987680270320841,,,Vitamin B
25,Cobalamin,False,-0.003883562844976223,,,Vitamin B
40,single_gene_4,False,0.0038763229838606602,,,Uncharacterized
13,LysM,False,0.003772254309866278,LysM,Lysine biosynthesis,Amino Acid & Nucleotide Biosynthesis
33,DARC,False,-0.003269971597493797,,Unknown Function,Uncharacterized
38,Ammonium-Uptake,False,-0.003241652497487076,,,Other Functional
0,pseudogene,False,0.0031910018149328514,,,Genomic
3,fatty-acid-related,False,0.0026571409179107033,,,Misc Metabolism
36,Quinolinate,False,-0.0025432220339068577,,,Other Functional
32,UV-related,False,0.0013563201220703825,,,Stress Response
20,Pyroglutamate,False,0.0009772952756390827,,,Amino Acid & Nucleotide Biosynthesis
24,FadR-KO,False,-0.0006365815122706968,,Accounts for fadR knock-out,Genomic
