sample,LAC_H_00237
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,2.522975865723503
USA300_LAC_U01-Set001_CAMHB_Control_1,2.7745228636945467
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,2.643270431676497
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,0.9772477933465228
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,2.3491513933884454
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,2.3747636539548003
USA300_LAC_U01-Set001_CAMHB_Control_2,0.7767013143640631
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,2.941223801852896
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,1.07169741909924
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,2.3327291217920134
USA300_TCH1516_U01-Set000_CAMHB_Control_1,0.0
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.0
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_R10LB_PreCulture_1,2.6906514996410604
USA300_LAC_U01-Set001_R10LB_PreCulture_2,2.975735541766998
USA300_LAC_U01-Set001_R10LB_Control_1,3.6180753021704097
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,4.307296275033159
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,3.42382460628056
USA300_LAC_U01-Set001_R10LB_Control_2,3.8500279334796126
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,4.08792034715305
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,3.574704604749267
USA300_TCH1516_U01-Set000_R10LB_Control_1,0.0
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,0.0
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,0.0
USA300_TCH1516_U01-Set000_R10LB_Control_2,0.0
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,0.0
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,0.0
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,0.0
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,0.0
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.0
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,0.0
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.0
