k,Name,in_iM,gene_weight,Regulator,Function,Category
12,Urease,False,0.029547616,,Urea Metabolism,Miscellaneous Metabolism
4,SigB,False,-0.018977408,SigB,Stress Response,Stress Response
6,Rex,False,-0.017491233000000002,Rex,Redox Balance,Energy Metabolism
14,CcpA-1,False,-0.015656831,CcpA,Glucose Dependent Carbon Metabolism,Carbon Source Utilization
1,Vim-3,False,-0.014311788999999997,,Virulence Expression,Virulence
5,SaeR,False,0.014183502,SaeR,Virulence Expression,Virulence
10,Guanine Responsive (GR),False,-0.013039449,Guanine Riboswitch,Purine Salvage,Amino Acid and Nucleotide Metabolism
27,PerR,False,0.012963111,PerR,Oxidative Stress Response,Stress Response
9,CodY,False,0.010817359,CodY,Amino Acid Metabolism,Amino Acid and Nucleotide Metabolism
3,CymR,False,0.010020366,CymR,Cysteine Metabolism,Amino Acid and Nucleotide Metabolism
21,Gal/Man.,False,-0.008804922,,Galactose/Mannose Metabolism,Carbon Source Utilization
8,Fur,False,0.008796198,Fur,Iron Metabolism,Metal Homeostasis
24,Autolysin,False,0.007919462,,Autolysin Expression,Biological Enrichment
2,Unc-1,False,0.006751752,,,Uncharacterized
25,B-Lactam Resistance,False,-0.006069438000000001,,B-lactam Resistance,Stress Response
0,TreR,False,-0.005742496,TreR,Trehalose Metabolism,Carbon Source Utilization
28,Agr,False,0.005535752,AgrA,Quorum Sensor/ Virulence Expression,Virulence
19,PyrR,False,0.005535001,PyrR,Pyrimidine Metabolism,Amino Acid and Nucleotide Metabolism
23,Phi-Sa3,False,0.004403802,,Prophage Expression,Mobile Elements
26,MntR,False,0.004273880999999999,MntR,Manganese Acquisition,Metal Homeostasis
15,PurR,False,-0.004157032,PurR,Purine Metabolism,Amino Acid and Nucleotide Metabolism
20,CcpA-2,False,0.004002708,CcpA,Glucose Independent Carbon Metabolism,Carbon Source Utilization
7,Translation,False,0.003199964,,Translation Machinery Expression,Biological Enrichment
17,SNFR,False,-0.003186468,,,Genomic Strain Difference
13,FMN,False,0.002399,,Riboflavin Biosynthesis,Miscellaneous Metabolism
22,VraR,False,0.001911673,VraR,Cell Wall Biosynthesis,Structural Components
16,SigS,False,0.001456531,SigS,Stress Response,Stress Response
11,NreC/Rex,False,0.0008031339999999999,NreC/Rex,Redox Balance,Energy Metabolism
18,LacR,False,0.000113938,LacR,Lactose Metabolism,Carbon Source Utilization
