,USA300HOU_RS02615
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,8.154133505983513
USA300_LAC_U01-Set001_CAMHB_Control_1,8.637534097985897
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,8.745020447357216
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,8.428169985686733
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,8.655294557404535
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,8.17944438136596
USA300_LAC_U01-Set001_CAMHB_Control_2,8.669874382096827
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,8.671520151518962
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,8.72730243653519
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,8.688721006255157
USA300_TCH1516_U01-Set000_CAMHB_Control_1,7.739680485829918
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,7.420699724623482
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,7.643851755342553
USA300_LAC_U01-Set001_R10LB_PreCulture_1,9.23857635265352
USA300_LAC_U01-Set001_R10LB_PreCulture_2,9.251274475986287
USA300_LAC_U01-Set001_R10LB_Control_1,7.698617969437383
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,7.810893495746432
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,8.04055155110182
USA300_LAC_U01-Set001_R10LB_Control_2,7.815378124069895
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,7.67348981795576
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,7.999584044164188
USA300_TCH1516_U01-Set000_R10LB_Control_1,7.7995589318248575
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,7.740894794544336
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,8.085048635339572
USA300_TCH1516_U01-Set000_R10LB_Control_2,8.599405358679629
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,7.910987694923308
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,8.026166059803487
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,8.570094423638803
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,8.537863304924818
USA300_TCH1516_U01-Set000_CAMHB_Control_2,7.59767967470121
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,7.280490388604712
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,7.174868167114742
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,7.8069686027196274
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,7.6432709216807675
USA300_LAC_U01-Set004_CAMHB_Control_1,8.777592305382742
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,8.737195942737571
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,8.617737541489666
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,8.59075793280396
USA300_LAC_U01-Set004_CAMHB_Control_2,8.763162498298152
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,8.622965964147928
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,8.675307293723012
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,8.588634101406608
USA300_LAC_U01-Set004_R10LB_Control_1,8.214403957757433
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,8.101528667683048
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,8.361212574546919
USA300_LAC_U01-Set004_R10LB_Control_2,8.27109571390674
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,7.900970272923126
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,8.264266496552883
USA300_TCH1516_U01-Set003_CAMHB_Control_2,7.510493727032353
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,7.885204306389203
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,7.529351388195036
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,7.511369147401342
USA300_TCH1516_U01-Set003_CAMHB_Control_3,7.621653586142576
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,7.441524919159923
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,7.173199791195266
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,7.553977410134268
USA300_LAC_ICA-Set001_R10LB_Control_1,7.31887736815321
USA300_LAC_ICA-Set001_R10LB_Control_2,7.540817802853898
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,7.3748541270167935
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,7.232878903180567
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,7.8750578478138875
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,7.715403158567125
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,7.579804187514386
